EN         E-LVL      ANG-CM     DATA-CM                          F045200200014 
MEV        MEV        ADEG       MB/SR                            F045200200015 
     3.1        0.        43.48       3.655                       F045200200314 
     3.1        0.        54.75       2.876                       F045200200315 
     3.1        0.        67.23       2.735                       F045200200316 
     3.1        0.        76.52       2.749                       F045200200317 
     3.1        0.        87.19       3.082                       F045200200318 
     3.1        0.        96.48       3.095                       F045200200319 
     3.1        0.       102.7        3.104                       F045200200320 
     3.1        0.       107.4        2.952                       F045200200321 
     3.1        0.       112.2        2.72                        F045200200322 
     3.1        0.       115.5        2.327                       F045200200323 
     3.1        0.       120.4        1.857                       F045200200324 
     3.1        0.       129.8        1.632                       F045200200325 
     3.1        0.       139.2        1.407                       F045200200326 
     3.1        0.       146.9        1.497                       F045200200327 
     3.1        0.       156.2        1.511                       F045200200328 
     3.1        0.       164.         1.442                       F045200200329 
     3.1        0.48      17.02       5.015                       F045200200330 
     3.1        0.48      23.23       4.944                       F045200200331 
     3.1        0.48      27.85       4.95                        F045200200332 
     3.1        0.48      35.56       4.961                       F045200200333 
     3.1        0.48      40.44       4.487                       F045200200334 
     3.1        0.48      45.23       4.173                       F045200200335 
     3.1        0.48      57.85       3.63                        F045200200336 
     3.1        0.48      68.89       3.164                       F045200200337 
     3.1        0.48      78.39       2.697                       F045200200338 
     3.1        0.48      89.35       2.392                       F045200200339 
     3.1        0.48      98.77       2.084                       F045200200340 
     3.1        0.48     106.5        2.015                       F045200200341 
     3.1        0.48     110.8        2.743                       F045200200342 
     3.1        0.48     115.8        1.868                       F045200200343 
     3.1        0.48     118.9        1.872                       F045200200344 
     3.1        0.48     123.7        1.638                       F045200200345 
     3.1        0.48     131.5        1.409                       F045200200346 
     3.1        0.48     140.8        1.422                       F045200200347 
     3.1        0.48     150.         1.435                       F045200200348 
     3.1        0.48     156.1        1.604                       F045200200349 
     3.1        0.48     166.9        1.62                        F045200200350 
ENDDATA            337          0                                 F045200200351 
ENDSUBENT          350          0                                 F045200299999 
SUBENT        F0452003   19990412                             0000F045200300001 
BIB                  4          4                                 F045200300002 
REACTION   (4-BE-9(D,A)3-LI-7,PAR,SIG,,,EXP)                      F045200300003 
ERR-ANALYS (EN-ERR) Digitizing error                              F045200300004 
EN-SEC     (E-LVL,3-LI-7)                                         F045200300005 
STATUS     (CURVE) Fig 3                                          F045200300006 
ENDBIB               4          0                                 F045200300007 
COMMON               2          3                                 F045200300008 
EN-ERR     DATA-ERR                                               F045200300009 
MEV        MB                                                     F045200300010 
 0.015      0.4                                                   F045200300011 
ENDCOMMON            3          0                                 F045200300012 
DATA                 3         42                                 F045200300013 
