ENTRY            F0117   20220421                             F089F0117  0    1 
SUBENT        F0117001   20220421                             F089F0117  1    1 
BIB                  9         15                                 F0117  1    2 
TITLE      Backscattering cross section of 5.5 to 8 MeV alpha     F0117  1    3 
           particles from carbon, oxygen and silicon              F0117  1    4 
AUTHOR     (H.Yonezawa,K.Shikano,T.Shigematsu)                    F0117  1    5 
INSTITUTE  (2JPNJPN) NTT Interdisciplinary Research Lab., Tokai   F0117  1    6 
REFERENCE  (J,NIM/B,88,207,1994)                                  F0117  1    7 
FACILITY   (CYCLO,2JPNJPN) NTT  cyclotron                         F0117  1    8 
SAMPLE     The samples were quartz glass, silicon single crystal  F0117  1    9 
           and carbon film deposited on silicon substrates, all   F0117  1   10 
           with a mirror surface.                                 F0117  1   11 
DETECTOR   (SIBAR) The detector had a thickness of 500 mu-m and   F0117  1   12 
           an area of 100 mm**2. Particles were measured with a   F0117  1   13 
           detector at an angle of 169 degr.                      F0117  1   14 
ERR-ANALYS  No information about source of uncertainty            F0117  1   15 
HISTORY    (20030925C)                                            F0117  1   16 
           (20220421A) SD: Corrections in Subent 006.             F0117  1   17 
ENDBIB              15          0                                 F0117  1   18 
COMMON               1          3                                 F0117  1   19 
ANG                                                               F0117  1   20 
ADEG                                                              F0117  1   21 
  169.                                                            F0117  1   22 
ENDCOMMON            3          0                                 F0117  1   23 
ENDSUBENT           22          0                                 F0117  199999 
SUBENT        F0117002   20040209                             0000F011700200001 
BIB                  3          3                                 F011700200002 
REACTION   (6-C-12(A,EL)6-C-12,,DA)                               F011700200003 
    -1.9158      7.152   5.19E-03                                 F0117  6  230 
    -1.9158      7.158   4.59E-03                                 F0117  6  231 
    -1.9158      7.163   3.99E-03                                 F0117  6  232 
    -1.9158      7.169   3.50E-03                                 F0117  6  233 
    -1.9158      7.171   2.98E-03                                 F0117  6  234 
    -1.9158      7.180   2.61E-03                                 F0117  6  235 
    -1.9158      7.185   2.31E-03                                 F0117  6  236 
    -1.9158      7.191   2.08E-03                                 F0117  6  237 
    -1.9158      7.197   1.97E-03                                 F0117  6  238 
    -1.9158      7.203   2.12E-03                                 F0117  6  239 
    -1.9158      7.208   2.27E-03                                 F0117  6  240 
    -1.9158      7.214   2.45E-03                                 F0117  6  241 
    -1.9158      7.226   2.60E-03                                 F0117  6  242 
    -1.9158      7.235   2.71E-03                                 F0117  6  243 
    -1.9158      7.238   2.90E-03                                 F0117  6  244 
    -1.9158      7.243   3.13E-03                                 F0117  6  245 
    -1.9158      7.249   3.39E-03                                 F0117  6  246 
    -1.9158      7.252   3.54E-03                                 F0117  6  247 
    -1.9158      7.258   3.72E-03                                 F0117  6  248 
    -1.9158      7.264   3.95E-03                                 F0117  6  249 
    -1.9158      7.267   4.21E-03                                 F0117  6  250 
    -1.9158      7.273   4.43E-03                                 F0117  6  251 
    -1.9158      7.279   4.70E-03                                 F0117  6  252 
    -1.9158      7.285   4.96E-03                                 F0117  6  253 
    -1.9158      7.290   5.22E-03                                 F0117  6  254 
    -1.9158      7.293   5.44E-03                                 F0117  6  255 
    -1.9158      7.305   5.56E-03                                 F0117  6  256 
    -1.9158      7.316   5.59E-03                                 F0117  6  257 
    -1.9158      7.322   5.44E-03                                 F0117  6  258 
    -1.9158      7.328   5.25E-03                                 F0117  6  259 
    -1.9158      7.337   5.07E-03                                 F0117  6  260 
    -1.9158      7.342   4.92E-03                                 F0117  6  261 
    -1.9158      7.348   4.65E-03                                 F0117  6  262 
    -1.9158      7.354   4.39E-03                                 F0117  6  263 
    -1.9158      7.359   4.20E-03                                 F0117  6  264 
    -1.9158      7.371   4.09E-03                                 F0117  6  265 
    -1.9158      7.382   4.16E-03                                 F0117  6  266 
    -1.9158      7.388   4.35E-03                                 F0117  6  267 
    -1.9158      7.402   4.42E-03                                 F0117  6  268 
    -1.9158      7.408   4.24E-03                                 F0117  6  269 
    -1.9158      7.414   4.01E-03                                 F0117  6  270 
    -1.9158      7.420   3.90E-03                                 F0117  6  271 
    -1.9158      7.434   3.82E-03                                 F0117  6  272 
    -1.9158      7.440   3.64E-03                                 F0117  6  273 
    -1.9158      7.445   3.45E-03                                 F0117  6  274 
    -1.9158      7.448   3.26E-03                                 F0117  6  275 
    -1.9158      7.460   3.33E-03                                 F0117  6  276 
    -1.9158      7.465   3.48E-03                                 F0117  6  277 
    -1.9158      7.477   3.48E-03                                 F0117  6  278 
    -1.9158      7.483   3.26E-03                                 F0117  6  279 
    -1.9158      7.491   3.03E-03                                 F0117  6  280 
    -1.9158      7.497   2.84E-03                                 F0117  6  281 
    -1.9158      7.503   2.66E-03                                 F0117  6  282 
    -1.9158      7.508   2.47E-03                                 F0117  6  283 
    -1.9158      7.511   2.28E-03                                 F0117  6  284 
    -1.9158      7.517   2.13E-03                                 F0117  6  285 
    -1.9158      7.520   1.94E-03                                 F0117  6  286 
    -1.9158      7.525   1.76E-03                                 F0117  6  287 
    -1.9158      7.528   1.53E-03                                 F0117  6  288 
    -1.9158      7.534   1.34E-03                                 F0117  6  289 
    -1.9158      7.545   1.49E-03                                 F0117  6  290 
    -1.9158      7.551   1.64E-03                                 F0117  6  291 
    -1.9158      7.560   1.79E-03                                 F0117  6  292 
    -1.9158      7.563   2.05E-03                                 F0117  6  293 
    -1.9158      7.569   2.46E-03                                 F0117  6  294 
    -1.9158      7.575   2.91E-03                                 F0117  6  295 
    -1.9158      7.578   3.21E-03                                 F0117  6  296 
    -1.9158      7.581   3.51E-03                                 F0117  6  297 
    -1.9158      7.590   3.92E-03                                 F0117  6  298 
    -1.9158      7.593   4.41E-03                                 F0117  6  299 
    -1.9158      7.599   4.86E-03                                 F0117  6  300 
    -1.9158      7.605   5.35E-03                                 F0117  6  301 
    -1.9158      7.608   5.72E-03                                 F0117  6  302 
    -1.9158      7.614   5.98E-03                                 F0117  6  303 
    -1.9158      7.619   6.13E-03                                 F0117  6  304 
    -1.9158      7.622   6.32E-03                                 F0117  6  305 
    -1.9158      7.625   6.58E-03                                 F0117  6  306 
    -1.9158      7.631   6.80E-03                                 F0117  6  307 
    -1.9158      7.637   6.95E-03                                 F0117  6  308 
    -1.9158      7.643   7.14E-03                                 F0117  6  309 
    -1.9158      7.646   7.37E-03                                 F0117  6  310 
    -1.9158      7.655   7.59E-03                                 F0117  6  311 
    -1.9158      7.657   7.78E-03                                 F0117  6  312 
    -1.9158      7.660   7.93E-03                                 F0117  6  313 
    -1.9158      7.663   8.04E-03                                 F0117  6  314 
    -1.9158      7.669   8.34E-03                                 F0117  6  315 
    -1.9158      7.672   8.71E-03                                 F0117  6  316 
    -1.9158      7.675   8.94E-03                                 F0117  6  317 
    -1.9158      7.684   9.08E-03                                 F0117  6  318 
    -1.9158      7.696   9.12E-03                                 F0117  6  319 
    -1.9158      7.698   8.97E-03                                 F0117  6  320 
    -1.9158      7.701   8.75E-03                                 F0117  6  321 
    -1.9158      7.704   8.48E-03                                 F0117  6  322 
    -1.9158      7.710   8.11E-03                                 F0117  6  323 
    -1.9158      7.715   7.62E-03                                 F0117  6  324 
    -1.9158      7.718   6.98E-03                                 F0117  6  325 
    -1.9158      7.720   6.39E-03                                 F0117  6  326 
    -1.9158      7.726   5.94E-03                                 F0117  6  327 
    -1.9158      7.731   5.56E-03                                 F0117  6  328 
    -1.9158      7.737   5.30E-03                                 F0117  6  329 
    -1.9158      7.740   5.04E-03                                 F0117  6  330 
    -1.9158      7.748   4.81E-03                                 F0117  6  331 
    -1.9158      7.754   4.59E-03                                 F0117  6  332 
    -1.9158      7.757   4.40E-03                                 F0117  6  333 
    -1.9158      7.766   4.58E-03                                 F0117  6  334 
    -1.9158      7.772   4.96E-03                                 F0117  6  335 
    -1.9158      7.778   5.41E-03                                 F0117  6  336 
    -1.9158      7.781   5.93E-03                                 F0117  6  337 
    -1.9158      7.787   6.53E-03                                 F0117  6  338 
    -1.9158      7.793   7.02E-03                                 F0117  6  339 
    -1.9158      7.798   7.20E-03                                 F0117  6  340 
    -1.9158      7.807   7.09E-03                                 F0117  6  341 
    -1.9158      7.813   6.87E-03                                 F0117  6  342 
    -1.9158      7.816   6.53E-03                                 F0117  6  343 
    -1.9158      7.821   6.23E-03                                 F0117  6  344 
    -1.9158      7.827   5.93E-03                                 F0117  6  345 
    -1.9158      7.832   5.59E-03                                 F0117  6  346 
    -1.9158      7.835   5.07E-03                                 F0117  6  347 
    -1.9158      7.840   4.47E-03                                 F0117  6  348 
    -1.9158      7.846   3.98E-03                                 F0117  6  349 
    -1.9158      7.852   3.64E-03                                 F0117  6  350 
    -1.9158      7.857   3.38E-03                                 F0117  6  351 
    -1.9158      7.866   3.15E-03                                 F0117  6  352 
    -1.9158      7.875   3.00E-03                                 F0117  6  353 
    -1.9158      7.883   2.78E-03                                 F0117  6  354 
    -1.9158      7.900   2.85E-03                                 F0117  6  355 
    -1.9158      7.915   2.63E-03                                 F0117  6  356 
    -1.9158      7.920   2.40E-03                                 F0117  6  357 
    -1.9158      7.929   2.14E-03                                 F0117  6  358 
    -1.9158      7.935   1.99E-03                                 F0117  6  359 
    -1.9158      7.946   1.76E-03                                 F0117  6  360 
    -1.9158      7.952   1.46E-03                                 F0117  6  361 
    -1.9158      7.963   1.31E-03                                 F0117  6  362 
    -3.1819      5.622   3.91E-03                                 F0117  6  363 
    -3.1819      5.630   4.02E-03                                 F0117  6  364 
    -3.1819      5.636   3.87E-03                                 F0117  6  365 
    -3.1819      5.644   3.56E-03                                 F0117  6  366 
    -3.1819      5.659   3.60E-03                                 F0117  6  367 
    -3.1819      5.667   3.33E-03                                 F0117  6  368 
    -3.1819      5.673   3.52E-03                                 F0117  6  369 
    -3.1819      5.679   3.90E-03                                 F0117  6  370 
    -3.1819      5.682   4.10E-03                                 F0117  6  371 
    -3.1819      5.688   4.29E-03                                 F0117  6  372 
    -3.1819      5.694   4.52E-03                                 F0117  6  373 
    -3.1819      5.711   4.79E-03                                 F0117  6  374 
    -3.1819      5.714   4.52E-03                                 F0117  6  375 
    -3.1819      5.722   4.02E-03                                 F0117  6  376 
    -3.1819      5.728   3.51E-03                                 F0117  6  377 
    -3.1819      5.737   3.74E-03                                 F0117  6  378 
    -3.1819      5.737   4.02E-03                                 F0117  6  379 
    -3.1819      5.748   3.16E-03                                 F0117  6  380 
    -3.1819      5.756   2.51E-03                                 F0117  6  381 
    -3.1819      5.762   2.70E-03                                 F0117  6  382 
    -3.1819      5.768   2.47E-03                                 F0117  6  383 
    -3.1819      5.773   2.24E-03                                 F0117  6  384 
    -3.1819      5.782   1.93E-03                                 F0117  6  385 
    -3.1819      5.788   1.81E-03                                 F0117  6  386 
    -3.1819      5.802   1.77E-03                                 F0117  6  387 
    -3.1819      5.811   1.58E-03                                 F0117  6  388 
    -3.1819      5.822   1.42E-03                                 F0117  6  389 
    -3.1819      5.836   1.38E-03                                 F0117  6  390 
    -3.1819      5.848   1.26E-03                                 F0117  6  391 
    -3.1819      5.859   1.19E-03                                 F0117  6  392 
    -3.1819      5.868   9.92E-04                                 F0117  6  393 
    -3.1819      5.882   1.07E-03                                 F0117  6  394 
    -3.1819      5.891   1.22E-03                                 F0117  6  395 
    -3.1819      5.900   1.37E-03                                 F0117  6  396 
    -3.1819      5.906   1.57E-03                                 F0117  6  397 
    -3.1819      5.912   1.76E-03                                 F0117  6  398 
    -3.1819      5.920   1.95E-03                                 F0117  6  399 
    -3.1819      5.923   2.15E-03                                 F0117  6  400 
    -3.1819      5.929   2.45E-03                                 F0117  6  401 
    -3.1819      5.935   2.84E-03                                 F0117  6  402 
    -3.1819      5.941   3.34E-03                                 F0117  6  403 
    -3.1819      5.947   3.65E-03                                 F0117  6  404 
    -3.1819      5.947   3.84E-03                                 F0117  6  405 
    -3.1819      5.959   4.03E-03                                 F0117  6  406 
    -3.1819      5.967   3.88E-03                                 F0117  6  407 
    -3.1819      5.970   3.69E-03                                 F0117  6  408 
    -3.1819      5.979   3.45E-03                                 F0117  6  409 
    -3.1819      5.984   3.18E-03                                 F0117  6  410 
    -3.1819      5.990   2.76E-03                                 F0117  6  411 
    -3.1819      5.995   2.22E-03                                 F0117  6  412 
    -3.1819      6.001   1.71E-03                                 F0117  6  413 
    -3.1819      6.006   1.44E-03                                 F0117  6  414 
    -3.1819      6.021   1.29E-03                                 F0117  6  415 
    -3.1819      6.026   1.06E-03                                 F0117  6  416 
    -3.1819      6.035   9.00E-04                                 F0117  6  417 
    -3.1819      6.049   8.22E-04                                 F0117  6  418 
    -3.1819      6.064   7.05E-04                                 F0117  6  419 
    -3.1819      6.078   7.42E-04                                 F0117  6  420 
    -3.1819      6.090   8.96E-04                                 F0117  6  421 
    -3.1819      6.098   1.09E-03                                 F0117  6  422 
    -3.1819      6.107   1.32E-03                                 F0117  6  423 
    -3.1819      6.110   1.55E-03                                 F0117  6  424 
    -3.1819      6.116   1.74E-03                                 F0117  6  425 
    -3.1819      6.122   2.01E-03                                 F0117  6  426 
    -3.1819      6.125   2.28E-03                                 F0117  6  427 
    -3.1819      6.131   2.67E-03                                 F0117  6  428 
    -3.1819      6.137   3.17E-03                                 F0117  6  429 
    -3.1819      6.140   3.56E-03                                 F0117  6  430 
    -3.1819      6.146   3.82E-03                                 F0117  6  431 
    -3.1819      6.152   4.29E-03                                 F0117  6  432 
    -3.1819      6.158   4.71E-03                                 F0117  6  433 
    -3.1819      6.167   4.90E-03                                 F0117  6  434 
    -3.1819      6.173   5.06E-03                                 F0117  6  435 
    -3.1819      6.181   4.67E-03                                 F0117  6  436 
    -3.1819      6.189   4.28E-03                                 F0117  6  437 
    -3.1819      6.195   4.05E-03                                 F0117  6  438 
    -3.1819      6.198   3.90E-03                                 F0117  6  439 
    -3.1819      6.204   3.74E-03                                 F0117  6  440 
    -3.1819      6.206   3.36E-03                                 F0117  6  441 
    -3.1819      6.209   2.74E-03                                 F0117  6  442 
    -3.1819      6.220   2.31E-03                                 F0117  6  443 
    -3.1819      6.220   2.54E-03                                 F0117  6  444 
    -3.1819      6.226   2.04E-03                                 F0117  6  445 
    -3.1819      6.231   1.81E-03                                 F0117  6  446 
    -3.1819      6.237   1.58E-03                                 F0117  6  447 
    -3.1819      6.240   1.38E-03                                 F0117  6  448 
    -3.1819      6.248   1.23E-03                                 F0117  6  449 
    -3.1819      6.260   1.15E-03                                 F0117  6  450 
    -3.1819      6.269   1.30E-03                                 F0117  6  451 
    -3.1819      6.277   1.50E-03                                 F0117  6  452 
    -3.1819      6.286   1.65E-03                                 F0117  6  453 
    -3.1819      6.295   1.84E-03                                 F0117  6  454 
    -3.1819      6.301   2.04E-03                                 F0117  6  455 
    -3.1819      6.315   2.03E-03                                 F0117  6  456 
    -3.1819      6.324   1.76E-03                                 F0117  6  457 
    -3.1819      6.332   1.65E-03                                 F0117  6  458 
    -3.1819      6.344   1.49E-03                                 F0117  6  459 
    -3.1819      6.352   1.34E-03                                 F0117  6  460 
    -3.1819      6.367   1.34E-03                                 F0117  6  461 
    -3.1819      6.372   1.45E-03                                 F0117  6  462 
    -3.1819      6.387   1.49E-03                                 F0117  6  463 
    -3.1819      6.398   1.37E-03                                 F0117  6  464 
    -3.1819      6.407   1.22E-03                                 F0117  6  465 
    -3.1819      6.413   1.02E-03                                 F0117  6  466 
    -3.1819      6.424   8.67E-04                                 F0117  6  467 
    -3.1819      6.441   7.50E-04                                 F0117  6  468 
    -3.1819      6.456   1.06E-03                                 F0117  6  469 
    -3.1819      6.462   1.25E-03                                 F0117  6  470 
    -3.1819      6.468   1.56E-03                                 F0117  6  471 
    -3.1819      6.473   1.79E-03                                 F0117  6  472 
    -3.1819      6.479   2.06E-03                                 F0117  6  473 
    -3.1819      6.482   2.29E-03                                 F0117  6  474 
    -3.1819      6.488   2.56E-03                                 F0117  6  475 
    -3.1819      6.494   2.71E-03                                 F0117  6  476 
    -3.1819      6.497   2.95E-03                                 F0117  6  477 
    -3.1819      6.503   3.29E-03                                 F0117  6  478 
    -3.1819      6.509   3.52E-03                                 F0117  6  479 
    -3.1819      6.515   3.72E-03                                 F0117  6  480 
    -3.1819      6.518   3.91E-03                                 F0117  6  481 
    -3.1819      6.526   4.06E-03                                 F0117  6  482 
    -3.1819      6.535   4.33E-03                                 F0117  6  483 
    -3.1819      6.544   3.87E-03                                 F0117  6  484 
    -3.1819      6.549   3.40E-03                                 F0117  6  485 
    -3.1819      6.555   3.17E-03                                 F0117  6  486 
    -3.1819      6.561   2.98E-03                                 F0117  6  487 
    -3.1819      6.566   2.75E-03                                 F0117  6  488 
    -3.1819      6.569   2.48E-03                                 F0117  6  489 
    -3.1819      6.575   2.28E-03                                 F0117  6  490 
    -3.1819      6.580   2.20E-03                                 F0117  6  491 
    -3.1819      6.583   2.40E-03                                 F0117  6  492 
    -3.1819      6.589   2.86E-03                                 F0117  6  493 
    -3.1819      6.595   3.21E-03                                 F0117  6  494 
    -3.1819      6.598   3.44E-03                                 F0117  6  495 
    -3.1819      6.607   3.63E-03                                 F0117  6  496 
    -3.1819      6.616   3.79E-03                                 F0117  6  497 
    -3.1819      6.630   3.71E-03                                 F0117  6  498 
    -3.1819      6.636   3.55E-03                                 F0117  6  499 
    -3.1819      6.638   3.20E-03                                 F0117  6  500 
    -3.1819      6.647   2.78E-03                                 F0117  6  501 
    -3.1819      6.652   2.31E-03                                 F0117  6  502 
    -3.1819      6.655   1.81E-03                                 F0117  6  503 
    -3.1819      6.661   1.58E-03                                 F0117  6  504 
    -3.1819      6.672   1.77E-03                                 F0117  6  505 
    -3.1819      6.675   1.54E-03                                 F0117  6  506 
    -3.1819      6.684   1.31E-03                                 F0117  6  507 
    -3.1819      6.692   1.04E-03                                 F0117  6  508 
    -3.1819      6.698   8.43E-04                                 F0117  6  509 
    -3.1819      6.709   8.81E-04                                 F0117  6  510 
    -3.1819      6.721   9.57E-04                                 F0117  6  511 
    -3.1819      6.732   1.03E-03                                 F0117  6  512 
    -3.1819      6.741   8.40E-04                                 F0117  6  513 
    -3.1819      6.753   6.84E-04                                 F0117  6  514 
    -3.1819      6.764   5.67E-04                                 F0117  6  515 
    -3.1819      6.778   4.89E-04                                 F0117  6  516 
    -3.1819      6.790   5.27E-04                                 F0117  6  517 
    -3.1819      6.801   6.03E-04                                 F0117  6  518 
    -3.1819      6.810   7.18E-04                                 F0117  6  519 
    -3.1819      6.816   9.49E-04                                 F0117  6  520 
    -3.1819      6.822   1.14E-03                                 F0117  6  521 
    -3.1819      6.825   1.30E-03                                 F0117  6  522 
    -3.1819      6.833   1.45E-03                                 F0117  6  523 
    -3.1819      6.845   1.53E-03                                 F0117  6  524 
    -3.1819      6.857   1.45E-03                                 F0117  6  525 
    -3.1819      6.862   1.25E-03                                 F0117  6  526 
    -3.1819      6.865   1.06E-03                                 F0117  6  527 
    -3.1819      6.871   8.29E-04                                 F0117  6  528 
    -3.1819      6.876   5.97E-04                                 F0117  6  529 
    -3.1819      6.885   4.80E-04                                 F0117  6  530 
    -3.1819      6.896   4.02E-04                                 F0117  6  531 
    -3.1819      6.911   3.23E-04                                 F0117  6  532 
    -3.1819      6.922   4.00E-04                                 F0117  6  533 
    -3.1819      6.934   4.76E-04                                 F0117  6  534 
    -3.1819      6.943   5.91E-04                                 F0117  6  535 
    -3.1819      6.951   7.06E-04                                 F0117  6  536 
    -3.1819      6.963   8.21E-04                                 F0117  6  537 
    -3.1819      6.974   8.58E-04                                 F0117  6  538 
    -3.1819      6.986   7.41E-04                                 F0117  6  539 
    -3.1819      6.992   5.48E-04                                 F0117  6  540 
    -3.1819      6.997   3.54E-04                                 F0117  6  541 
    -3.1819      7.003   1.61E-04                                 F0117  6  542 
    -3.1819      7.017   1.98E-04                                 F0117  6  543 
    -3.1819      7.029   1.20E-04                                 F0117  6  544 
    -3.1819      7.043   1.19E-04                                 F0117  6  545 
    -3.1819      7.046   3.12E-04                                 F0117  6  546 
    -3.1819      7.055   4.65E-04                                 F0117  6  547 
    -3.1819      7.067   6.57E-04                                 F0117  6  548 
    -3.1819      7.078   7.72E-04                                 F0117  6  549 
    -3.1819      7.084   9.65E-04                                 F0117  6  550 
    -3.1819      7.084   1.23E-03                                 F0117  6  551 
    -3.1819      7.090   1.51E-03                                 F0117  6  552 
    -3.1819      7.096   1.74E-03                                 F0117  6  553 
    -3.1819      7.102   2.04E-03                                 F0117  6  554 
    -3.1819      7.108   2.31E-03                                 F0117  6  555 
    -3.1819      7.114   2.66E-03                                 F0117  6  556 
    -3.1819      7.117   2.89E-03                                 F0117  6  557 
    -3.1819      7.128   2.85E-03                                 F0117  6  558 
    -3.1819      7.134   3.16E-03                                 F0117  6  559 
    -3.1819      7.146   3.01E-03                                 F0117  6  560 
    -3.1819      7.154   2.62E-03                                 F0117  6  561 
    -3.1819      7.157   2.27E-03                                 F0117  6  562 
    -3.1819      7.162   1.92E-03                                 F0117  6  563 
    -3.1819      7.165   1.58E-03                                 F0117  6  564 
    -3.1819      7.179   1.61E-03                                 F0117  6  565 
    -3.1819      7.185   1.27E-03                                 F0117  6  566 
    -3.1819      7.191   1.07E-03                                 F0117  6  567 
    -3.1819      7.202   1.26E-03                                 F0117  6  568 
    -3.1819      7.214   1.26E-03                                 F0117  6  569 
    -3.1819      7.222   1.11E-03                                 F0117  6  570 
    -3.1819      7.231   9.52E-04                                 F0117  6  571 
    -3.1819      7.245   1.03E-03                                 F0117  6  572 
    -3.1819      7.260   9.88E-04                                 F0117  6  573 
    -3.1819      7.271   1.10E-03                                 F0117  6  574 
    -3.1819      7.280   1.26E-03                                 F0117  6  575 
    -3.1819      7.295   1.29E-03                                 F0117  6  576 
    -3.1819      7.306   1.41E-03                                 F0117  6  577 
    -3.1819      7.312   1.64E-03                                 F0117  6  578 
    -3.1819      7.321   1.83E-03                                 F0117  6  579 
    -3.1819      7.327   1.99E-03                                 F0117  6  580 
    -3.1819      7.332   2.14E-03                                 F0117  6  581 
    -3.1819      7.338   2.33E-03                                 F0117  6  582 
    -3.1819      7.344   2.52E-03                                 F0117  6  583 
    -3.1819      7.353   2.60E-03                                 F0117  6  584 
    -3.1819      7.364   2.56E-03                                 F0117  6  585 
    -3.1819      7.379   2.52E-03                                 F0117  6  586 
    -3.1819      7.390   2.44E-03                                 F0117  6  587 
    -3.1819      7.402   2.29E-03                                 F0117  6  588 
    -3.1819      7.413   2.29E-03                                 F0117  6  589 
    -3.1819      7.422   2.40E-03                                 F0117  6  590 
    -3.1819      7.428   2.56E-03                                 F0117  6  591 
    -3.1819      7.431   2.79E-03                                 F0117  6  592 
    -3.1819      7.437   3.02E-03                                 F0117  6  593 
    -3.1819      7.442   3.17E-03                                 F0117  6  594 
    -3.1819      7.457   3.29E-03                                 F0117  6  595 
    -3.1819      7.463   3.52E-03                                 F0117  6  596 
    -3.1819      7.471   3.71E-03                                 F0117  6  597 
    -3.1819      7.483   3.71E-03                                 F0117  6  598 
    -3.1819      7.489   3.52E-03                                 F0117  6  599 
    -3.1819      7.497   3.32E-03                                 F0117  6  600 
    -3.1819      7.512   3.28E-03                                 F0117  6  601 
    -3.1819      7.520   3.09E-03                                 F0117  6  602 
    -3.1819      7.532   2.97E-03                                 F0117  6  603 
    -3.1819      7.540   2.86E-03                                 F0117  6  604 
    -3.1819      7.552   2.97E-03                                 F0117  6  605 
    -3.1819      7.558   3.16E-03                                 F0117  6  606 
    -3.1819      7.564   3.32E-03                                 F0117  6  607 
    -3.1819      7.572   3.74E-03                                 F0117  6  608 
    -3.1819      7.575   4.13E-03                                 F0117  6  609 
    -3.1819      7.581   4.43E-03                                 F0117  6  610 
    -3.1819      7.587   4.74E-03                                 F0117  6  611 
    -3.1819      7.590   5.09E-03                                 F0117  6  612 
    -3.1819      7.593   5.40E-03                                 F0117  6  613 
    -3.1819      7.602   5.44E-03                                 F0117  6  614 
    -3.1819      7.608   5.13E-03                                 F0117  6  615 
    -3.1819      7.608   5.24E-03                                 F0117  6  616 
    -3.1819      7.616   5.09E-03                                 F0117  6  617 
    -3.1819      7.619   4.70E-03                                 F0117  6  618 
    -3.1819      7.619   4.97E-03                                 F0117  6  619 
    -3.1819      7.625   4.24E-03                                 F0117  6  620 
    -3.1819      7.633   3.62E-03                                 F0117  6  621 
    -3.1819      7.636   3.08E-03                                 F0117  6  622 
    -3.1819      7.641   2.65E-03                                 F0117  6  623 
    -3.1819      7.647   2.23E-03                                 F0117  6  624 
    -3.1819      7.652   1.80E-03                                 F0117  6  625 
    -3.1819      7.658   1.46E-03                                 F0117  6  626 
    -3.1819      7.663   1.22E-03                                 F0117  6  627 
    -3.1819      7.669   1.07E-03                                 F0117  6  628 
    -3.1819      7.672   9.53E-04                                 F0117  6  629 
    -3.1819      7.681   8.36E-04                                 F0117  6  630 
    -3.1819      7.692   8.35E-04                                 F0117  6  631 
    -3.1819      7.701   9.89E-04                                 F0117  6  632 
    -3.1819      7.712   1.14E-03                                 F0117  6  633 
    -3.1819      7.718   1.30E-03                                 F0117  6  634 
    -3.1819      7.727   1.45E-03                                 F0117  6  635 
    -3.1819      7.736   1.64E-03                                 F0117  6  636 
    -3.1819      7.739   1.84E-03                                 F0117  6  637 
    -3.1819      7.745   1.99E-03                                 F0117  6  638 
    -3.1819      7.756   2.10E-03                                 F0117  6  639 
    -3.1819      7.762   2.53E-03                                 F0117  6  640 
    -3.1819      7.768   3.07E-03                                 F0117  6  641 
    -3.1819      7.771   3.57E-03                                 F0117  6  642 
    -3.1819      7.777   4.15E-03                                 F0117  6  643 
    -3.1819      7.780   4.69E-03                                 F0117  6  644 
    -3.1819      7.786   5.19E-03                                 F0117  6  645 
    -3.1819      7.792   5.61E-03                                 F0117  6  646 
    -3.1819      7.795   6.12E-03                                 F0117  6  647 
    -3.1819      7.804   6.42E-03                                 F0117  6  648 
    -3.1819      7.813   6.27E-03                                 F0117  6  649 
    -3.1819      7.818   5.92E-03                                 F0117  6  650 
    -3.1819      7.824   5.61E-03                                 F0117  6  651 
    -3.1819      7.830   5.26E-03                                 F0117  6  652 
    -3.1819      7.832   4.88E-03                                 F0117  6  653 
    -3.1819      7.838   4.53E-03                                 F0117  6  654 
    -3.1819      7.844   4.34E-03                                 F0117  6  655 
    -3.1819      7.855   4.37E-03                                 F0117  6  656 
    -3.1819      7.861   4.53E-03                                 F0117  6  657 
    -3.1819      7.867   4.76E-03                                 F0117  6  658 
    -3.1819      7.873   5.03E-03                                 F0117  6  659 
    -3.1819      7.879   5.34E-03                                 F0117  6  660 
    -3.1819      7.879   5.61E-03                                 F0117  6  661 
    -3.1819      7.887   5.68E-03                                 F0117  6  662 
    -3.1819      7.899   5.60E-03                                 F0117  6  663 
    -3.1819      7.905   5.37E-03                                 F0117  6  664 
    -3.1819      7.910   5.10E-03                                 F0117  6  665 
    -3.1819      7.913   4.91E-03                                 F0117  6  666 
    -3.1819      7.916   4.75E-03                                 F0117  6  667 
    -3.1819      7.925   4.98E-03                                 F0117  6  668 
    -3.1819      7.933   5.25E-03                                 F0117  6  669 
    -3.1819      7.939   5.49E-03                                 F0117  6  670 
    -3.1819      7.945   5.75E-03                                 F0117  6  671 
    -3.1819      7.948   6.02E-03                                 F0117  6  672 
    -3.1819      7.954   6.26E-03                                 F0117  6  673 
    -3.1819      7.963   6.29E-03                                 F0117  6  674 
    -4.1500      6.764   1.64E-03                                 F0117  6  675 
    -4.1500      6.770   1.53E-03                                 F0117  6  676 
    -4.1500      6.776   1.34E-03                                 F0117  6  677 
    -4.1500      6.784   1.19E-03                                 F0117  6  678 
    -4.1500      6.787   1.03E-03                                 F0117  6  679 
    -4.1500      6.787   9.18E-04                                 F0117  6  680 
    -4.1500      6.796   1.07E-03                                 F0117  6  681 
    -4.1500      6.799   1.26E-03                                 F0117  6  682 
    -4.1500      6.811   1.60E-03                                 F0117  6  683 
    -4.1500      6.814   1.94E-03                                 F0117  6  684 
