ENTRY            F0147   19990409                             0000F014700000001 
SUBENT        F0147001   19990409                             0000F014700100001 
BIB                  9         12                                 F014700100002 
TITLE      Heavy-particle stripping in the 9Be(He3,alpha)8Be      F014700100003 
           reaction and energy levels of 8Be                      F014700100004 
AUTHOR     (W.E.DORENBUSCH,C.P.BROWNE)                            F014700100005 
INSTITUTE  (1USANOT)                                              F014700100006 
REFERENCE  (J,PR,131,1212,196308)                                 F014700100007 
MONITOR    ((MONIT)4-BE-9(D,P)4-BE-10,,DA,,,EXP)                  F014700100008 
MONIT-REF  (,FULBRIGHT+,J,PR,88,700,1952)                         F014700100009 
SAMPLE     Thin targets were prepared by evaporating beryllium    F014700100010 
           metal from a tantalum boat onto thin Formvar backings. F014700100011 
DETECTOR   (PLATE)                                                F014700100012 
HISTORY    (19840817C)                                            F014700100013 
           (19990407A) CNPD: corrected 4-dig. year                F014700100014 
ENDBIB              12          0                                 F014700100015 
COMMON               4          3                                 F014700100016 
EN-NRM     ANG-NRM    E-LVL-NRM  MONIT                            F014700100017 
MEV        ADEG       MEV        MB/SR                            F014700100018 
  3.6        90.       0.         1.                              F014700100019 
ENDCOMMON            3          0                                 F014700100020 
ENDSUBENT           19          0                                 F014700199999 
SUBENT        F0147002   19990409                             0000F014700200001 
BIB                  4          5                                 F014700200002 
REACTION   ((4-BE-9(HE3,A)4-BE-8,PAR,DA,,,EXP)/                   F014700200003 
           (4-BE-9(D,P)4-BE-10,,DA,,,EXP))                        F014700200004 
ERR-ANALYS (DATA-ERR) The estimated uncertainty in the yield.     F014700200005 
STATUS     (TABLE) Table 1                                        F014700200006 
EN-SEC     (E-LVL,4-BE-8)                                         F014700200007 
ENDBIB               5          0                                 F014700200008 
NOCOMMON             0          0                                 F014700200009 
DATA                 5        132                                 F014700200010 
EN         E-LVL      ANG        DATA       DATA-ERR              F014700200011 
     4.        16.6       39.38       0.4809     0.0117           F014700300122 
     4.        16.6       52.55       0.5778     0.0117           F014700300123 
     4.        16.6       63.38       0.5077     0.0117           F014700300124 
     4.        16.6       75.38       0.4854     0.0117           F014700300125 
     4.        16.6       87.35       0.6059     0.0117           F014700300126 
     4.        16.6       96.99       0.4642     0.0117           F014700300127 
     4.        16.6      106.6        0.5368     0.0117           F014700300128 
     4.        16.6      116.2        0.3714     0.0117           F014700300129 
     4.        16.6      125.8        0.5868     0.0117           F014700300130 
     4.        16.9        5.262      7.604      0.4949           F014700300131 
     4.        16.9       10.77       7.495      0.3853           F014700300132 
     4.        16.9       19.05       7.222      0.4403           F014700300133 
     4.        16.9       26.1        6.179      0.3298           F014700300134 
     4.        16.9       38.69       4.861      0.2752           F014700300135 
     4.        16.9       51.44       2.608      0.2201           F014700300136 
     4.        16.9       63.89       2.006      0.1651           F014700300137 
     4.        16.9       76.19       2.34       0.2201           F014700300138 
     4.        16.9       87.07       2.894      0.2201           F014700300139 
     4.        16.9       99.44       2.787      0.2198           F014700300140 
     4.        16.9      109.1        2.459      0.2201           F014700300141 
     4.        16.9      118.8        2.187      0.1647           F014700300142 
     4.        16.9      128.4        1.97       0.2198           F014700300143 
     4.        17.6       13.37       1.663      0.169            F014700300144 
     4.        17.6       19.43       2.001      0.1449           F014700300145 
     4.        17.6       27.92       2.411      0.169            F014700300146 
     4.        17.6       40.1        2.508      0.0965           F014700300147 
     4.        17.6       53.56       2.075      0.0724           F014700300148 
     4.        17.6       67.02       1.568      0.1207           F014700300149 
     4.        17.6       79.24       1.303      0.1206           F014700300150 
     4.        17.6      100.         0.8938     0.1207           F014700300151 
ENDDATA            135          0                                 F014700300152 
ENDSUBENT          151          0                                 F014700399999 
ENDENTRY             3          0                                 F014799999999 
