ENTRY            F0524   20140310                             F054F052400000001 
SUBENT        F0524001   20140310                             F054F052400100001 
BIB                 11         28                                 F052400100002 
INSTITUTE  (4RUSEPA)                                              F052400100003 
REFERENCE  (J,IZV,64,440,2000)                                    F052400100004 
           (J,BAS,64,352,2000)  Engl. transl. of IZV,64,440       F052400100005 
           (C,2001SAROV,,186,2001) Two last Subents were derived. F052400100006 
AUTHOR     (L.N.Generalov,S.N.Abramovich,A.G.Zvenigorodskii)      F052400100007 
TITLE      9Be(d,p0,1) and 9Be(d,t0) reaction cross sections.     F052400100008 
FACILITY   (VDGT,4RUSEPA)                                         F052400100009 
SAMPLE     Two targets (40 and 267 mu-g/cm2 thick) of 9Be         F052400100010 
            evaporated onto thin (30 mu-g/cm2 thick)              F052400100011 
            poly-n-xylilene C8H8 backing.                         F052400100012 
           In additional experiments poly-n-xylilene C8H8 backing F052400100013 
            and Al2O3 backing were used as targets.               F052400100014 
DETECTOR   (TELES,SOLST,SOLST) Ten silicon diffusion-drift        F052400100015 
            detectors on the movable table.                       F052400100016 
           Monitor detector fixed at 20 degr.                     F052400100017 
ERR-ANALYS (ERR-SYS)   Systematic error                           F052400100018 
           (ERR-S)     Statistical error                          F052400100019 
REL-REF    (M,,S.Abramovich+,J,IZV,57,173,1993) Experim. method.  F052400100020 
STATUS     (APRVD)  Approved by Generalov L.N.                    F052400100021 
HISTORY    (20010205C)                                            F052400100022 
           (20030505A) Changed headings in sub.002,004,006, added F052400100023 
            reference and subents 007,008.                        F052400100024 
           (20040714C) Data error headings updated.               F052400100025 
           (20060828A) Common headings in sub007 updated. Sub009  F052400100026 
           was added.                                             F052400100027 
           (20090626) Error designations were changed. Energy     F052400100028 
           values in sub 9 were corrected.                        F052400100029 
           (20140310U) SD: Ref. on Engl.transl. added.            F052400100030 
ENDBIB              28          0                                 F052400100031 
COMMON               1          3                                 F052400100032 
ERR-SYS                                                           F052400100033 
PER-CENT                                                          F052400100034 
  3.0                                                             F052400100035 
ENDCOMMON            3          0                                 F052400100036 
ENDSUBENT           35          0                                 F052400199999 
SUBENT        F0524002   20090626                             F036F052400200001 
BIB                  2          2                                 F052400200002 
REACTION   (4-BE-9(D,P)4-BE-10,PAR,DA)                            F052400200003 
EN-SEC     (E-LVL,4-BE-10)                                        F052400200004 
ENDBIB               2          0                                 F052400200005 
NOCOMMON             0          0                                 F052400200006 
DATA                 5        760                                 F052400200007 
EN         E-LVL      ANG-CM     DATA-CM    ERR-S                 F052400200008 
        4.5      129.7       1.12         8.                      F052400400100 
        4.5      134.1       1.18        10.                      F052400400101 
        4.5      138.5       1.14         8.                      F052400400102 
        4.5      147.2       1.25         8.                      F052400400103 
        4.5      151.4        1.2        12.                      F052400400104 
        4.5      155.6       1.23        12.                      F052400400105 
        4.5      163.8       0.64        15.                      F052400400106 
        4.5      167.9       0.52        16.                      F052400400107 
        5.0        12.       15.1         7.                      F052400400108 
        5.0        18.       12.6         8.                      F052400400109 
        5.0       23.9       8.83         7.                      F052400400110 
        5.0       35.7       3.75         7.                      F052400400111 
        5.0       41.6       2.91         8.                      F052400400112 
        5.0       47.4       2.95         7.                      F052400400113 
        5.0       58.8       2.78         7.                      F052400400114 
        5.0       64.4       2.19         7.                      F052400400115 
        5.0       69.9       1.89         8.                      F052400400116 
        5.0       80.8       1.55         7.                      F052400400117 
        5.0       86.1       1.01        10.                      F052400400118 
        5.0       91.3      0.986        10.                      F052400400119 
        5.0      101.5      0.765        10.                      F052400400120 
        5.0      106.4      0.995        10.                      F052400400121 
        5.0      111.3       0.91        10.                      F052400400122 
        5.0      116.1       1.03         7.                      F052400400123 
        5.0      120.8       1.18         8.                      F052400400124 
        5.0      125.4        1.1         8.                      F052400400125 
        5.0      129.9       1.24        10.                      F052400400126 
        5.0      134.4        1.2        10.                      F052400400127 
        5.0      138.4       1.23         7.                      F052400400128 
        5.0      147.4       1.14         8.                      F052400400129 
        5.0      151.6        1.1         8.                      F052400400130 
        5.0      155.7      0.978         9.                      F052400400131 
        5.0       168.      0.952        9.2                      F052400400132 
        5.5        12.       15.5         8.                      F052400400133 
        5.5        18.       13.4         8.                      F052400400134 
        5.5        24.        9.1         7.                      F052400400135 
        5.5       35.9       3.57         8.                      F052400400136 
        5.5       41.6       3.17         7.                      F052400400137 
        5.5       47.5       3.06         7.                      F052400400138 
        5.5        59.       2.43         8.                      F052400400139 
        5.5       64.6       2.11         8.                      F052400400140 
        5.5       70.2       1.82         8.                      F052400400141 
        5.5       81.1      0.831        11.                      F052400400142 
        5.5       86.4      0.771        10.                      F052400400143 
        5.5       91.6      0.763        10.                      F052400400144 
        5.5      101.8      0.651        10.                      F052400400145 
        5.5      106.8      0.752         7.                      F052400400146 
        5.5      111.6       0.88         8.                      F052400400147 
        5.5      116.4      0.895        10.                      F052400400148 
        5.5      121.1        1.1        12.                      F052400400149 
        5.5      130.2       1.22        11.                      F052400400150 
        5.5      134.6       1.28         7.                      F052400400151 
        5.5       139.       1.21         8.                      F052400400152 
        5.5      147.6       1.15        10.                      F052400400153 
        5.5      151.7       1.08        10.                      F052400400154 
        5.5      155.9      0.978        11.                      F052400400155 
        5.5       164.      0.931        11.                      F052400400156 
        5.5       168.      0.551        15.                      F052400400157 
        6.0       12.1       16.8        10.                      F052400400158 
        6.0       18.1       13.2         7.                      F052400400159 
        6.0       24.1       9.51         7.                      F052400400160 
        6.0        36.       3.59         7.                      F052400400161 
        6.0       41.9       2.92         8.                      F052400400162 
        6.0       47.7       3.01         7.                      F052400400163 
        6.0       59.2       2.61         7.                      F052400400164 
        6.0       64.9       2.01        10.                      F052400400165 
        6.0       70.4       1.55        10.                      F052400400166 
        6.0       81.3      0.652        11.                      F052400400167 
        6.0       86.6      0.562        12.                      F052400400168 
        6.0       91.9       0.61        10.                      F052400400169 
        6.0      102.1      0.552         7.                      F052400400170 
        6.0       107.      0.675         8.                      F052400400171 
        6.0      111.9       0.68         8.                      F052400400172 
        6.0      116.6      0.702         7.                      F052400400173 
        6.0      125.9      0.751         7.                      F052400400174 
        6.0      130.4      0.924         8.                      F052400400175 
        6.0      134.9      0.932         8.                      F052400400176 
        6.0      147.7      0.971         7.                      F052400400177 
        6.0      151.9      0.982         9.                      F052400400178 
        6.0       156.      0.861         7.                      F052400400179 
        6.5       12.1       16.5         7.                      F052400400180 
        6.5       18.2       12.6         8.                      F052400400181 
        6.5       24.2       9.28         8.                      F052400400182 
        6.5       36.1       3.15         7.                      F052400400183 
        6.5        42.       2.44         8.                      F052400400184 
        6.5       47.9       2.79        10.                      F052400400185 
        6.5       59.4       2.31         7.                      F052400400186 
        6.5        65.       1.68        11.                      F052400400187 
        6.5       70.6       1.22        10.                      F052400400188 
        6.5       81.5      0.391        10.                      F052400400189 
        6.5       86.9      0.383         8.                      F052400400190 
        6.5       92.1       0.51        10.                      F052400400191 
        6.5      102.3      0.462         8.                      F052400400192 
        6.5      107.2      0.581        11.                      F052400400193 
        6.5      112.1       0.61         7.                      F052400400194 
        6.5      116.9      0.652        10.                      F052400400195 
        6.5      121.5       0.77         7.                      F052400400196 
        6.5       135.      0.779         7.                      F052400400197 
        6.5       152.      0.681         7.                      F052400400198 
        6.5      156.1      0.683        10.                      F052400400199 
        6.5      168.2      0.966        15.                      F052400400200 
        6.5      172.1       1.29        20.                      F052400400201 
        7.0       12.2       15.2        10.                      F052400400202 
        7.0       18.2       13.5         7.                      F052400400203 
        7.0       24.2       8.51         7.                      F052400400204 
        7.0       36.2       2.83         8.                      F052400400205 
        7.0       42.1       2.45         7.                      F052400400206 
        7.0        48.       2.01         7.                      F052400400207 
        7.0       59.5       1.72        10.                      F052400400208 
        7.0       65.2       1.56        10.                      F052400400209 
        7.0       70.8       0.76        10.                      F052400400210 
        7.0       81.7        0.4         8.                      F052400400211 
        7.0       87.1      0.431         7.                      F052400400212 
        7.0       92.3      0.467        12.                      F052400400213 
        7.0      102.5      0.463        10.                      F052400400214 
        7.0      107.5      0.539         8.                      F052400400215 
        7.0      112.3       0.58        10.                      F052400400216 
        7.0      117.1      0.652        10.                      F052400400217 
        7.0      121.7       0.68         7.                      F052400400218 
        7.0      126.3       0.58        10.                      F052400400219 
        7.0      130.8       0.62        10.                      F052400400220 
        7.0      135.2      0.721        10.                      F052400400221 
        7.0       148.      0.735        10.                      F052400400222 
        7.0      152.1      0.781         7.                      F052400400223 
        7.0      164.2      0.911        12.                      F052400400224 
        7.0      168.2      0.943        12.                      F052400400225 
        7.5       12.2       16.2         8.                      F052400400226 
        7.5       18.3       12.6         8.                      F052400400227 
        7.5       24.3       8.12         7.                      F052400400228 
        7.5       36.3       2.38         9.                      F052400400229 
        7.5       42.2       2.35         8.                      F052400400230 
        7.5       48.1       2.14         8.                      F052400400231 
        7.5       59.7       1.82         7.                      F052400400232 
        7.5       65.4       1.17        10.                      F052400400233 
        7.5       87.3       0.43        10.                      F052400400234 
        7.5       92.5      0.434         9.                      F052400400235 
        7.5      112.5       0.57        10.                      F052400400236 
        7.5      117.3       0.68        11.                      F052400400237 
        7.5      121.9       0.71        12.                      F052400400238 
        7.5      126.5        0.7         8.                      F052400400239 
        7.5       131.      0.831        12.                      F052400400240 
        7.5      135.4      0.806        12.                      F052400400241 
        7.5      148.1        0.8        12.                      F052400400242 
        7.5      152.2      0.683        10.                      F052400400243 
        7.5      156.3      0.662        11.                      F052400400244 
        7.5      164.3       0.61        14.                      F052400400245 
        7.5      168.3      0.605        13.                      F052400400246 
        7.5      172.2      0.463        15.                      F052400400247 
        8.0       18.3       12.7         7.                      F052400400248 
        8.0       24.4       7.94         7.                      F052400400249 
        8.0       42.3       2.46         7.                      F052400400250 
        8.0       48.2       2.01         8.                      F052400400251 
        8.0       59.8       1.74         8.                      F052400400252 
        8.0       65.5       1.35         8.                      F052400400253 
        8.0       71.1      0.953        12.                      F052400400254 
        8.0       82.1      0.341        10.                      F052400400255 
        8.0       87.4      0.364        12.                      F052400400256 
        8.0       92.7      0.348        10.                      F052400400257 
        8.0      107.8      0.481        10.                      F052400400258 
        8.0      112.7      0.583        10.                      F052400400259 
        8.0      122.1       0.67        15.                      F052400400260 
        8.0      131.1       0.91        10.                      F052400400261 
        8.0      135.5       0.94        10.                      F052400400262 
        8.0      148.2        0.9        10.                      F052400400263 
        8.0      152.2       1.02        11.                      F052400400264 
        8.0      156.4       1.06         7.                      F052400400265 
        8.5       12.2       16.1         8.                      F052400400266 
        8.5       24.4       7.21         7.                      F052400400267 
        8.5       42.4        2.5         8.                      F052400400268 
        8.5       48.3       1.98         7.                      F052400400269 
        8.5        60.       1.68         8.                      F052400400270 
        8.5       65.6       1.37         7.                      F052400400271 
        8.5       71.3      0.953        12.                      F052400400272 
        8.5       82.2      0.315        12.                      F052400400273 
        8.5       87.6      0.323        12.                      F052400400274 
        8.5      112.8       0.51        15.                      F052400400275 
        8.5      148.3       0.92         9.                      F052400400276 
        8.5      152.4       1.02         7.                      F052400400277 
        8.5      156.5      0.958         8.                      F052400400278 
        8.5      164.4      0.953        15.                      F052400400279 
        9.0       18.4        12.         8.                      F052400400280 
        9.0       24.5        7.3         7.                      F052400400281 
        9.0       36.5       2.22         8.                      F052400400282 
        9.0       42.5       2.35         7.                      F052400400283 
        9.0       48.4       2.21         7.                      F052400400284 
        9.0       60.1       1.38         7.                      F052400400285 
        9.0       65.8      0.922        10.                      F052400400286 
        9.0       71.4       0.42        10.                      F052400400287 
        9.0       82.4      0.253        12.                      F052400400288 
        9.0       87.7      0.351        13.                      F052400400289 
        9.0        93.       0.58        12.                      F052400400290 
        9.0       113.      0.851        10.                      F052400400291 
        9.0      148.4      0.911         8.                      F052400400292 
        9.0      152.5       1.02        12.                      F052400400293 
        9.0      154.5      0.884        12.                      F052400400294 
        9.0      156.5       1.08        12.                      F052400400295 
        9.0      172.3       1.02        15.                      F052400400296 
        9.5       18.4        11.         7.                      F052400400297 
        9.5       24.5       7.22         7.                      F052400400298 
        9.5       36.6       2.21         8.                      F052400400299 
        9.5       42.6       2.11         7.                      F052400400300 
        9.5       48.5       1.82         7.                      F052400400301 
        9.5       60.2       1.43        10.                      F052400400302 
        9.5       65.9      0.866        12.                      F052400400303 
        9.5       71.5      0.378        13.                      F052400400304 
        9.5       82.5      0.232        13.                      F052400400305 
        9.5      122.5      0.689         8.                      F052400400306 
        9.5      148.5      0.922         8.                      F052400400307 
        9.5      152.6      0.943         8.                      F052400400308 
        9.5      156.6      0.861         8.                      F052400400309 
        9.5      164.6      0.495        15.                      F052400400310 
        9.5      168.4       0.35        14.                      F052400400311 
        9.5      172.3      0.274        15.                      F052400400312 
       10.0       12.3       16.2         8.                      F052400400313 
       10.0       18.5       10.3         8.                      F052400400314 
       10.0       24.6       6.73         8.                      F052400400315 
       10.0       36.7       1.73         7.                      F052400400316 
       10.0       42.7       1.42        12.                      F052400400317 
       10.0       48.6       1.34         7.                      F052400400318 
       10.0       60.3       1.32         7.                      F052400400319 
       10.0        66.      0.781        13.                      F052400400320 
       10.0       71.6      0.576        12.                      F052400400321 
       10.0       82.6      0.287        12.                      F052400400322 
       10.0      103.4      0.201        13.                      F052400400323 
       10.0      122.6      0.623        10.                      F052400400324 
       10.0      131.6       0.85        11.                      F052400400325 
       10.0      152.7      0.865         8.                      F052400400326 
       10.0      156.7      0.761         8.                      F052400400327 
       10.0      168.5      0.433        15.                      F052400400328 
       10.0      172.3       0.45        14.                      F052400400329 
       10.5       18.5       9.93         7.                      F052400400330 
       10.5       24.6       6.18         7.                      F052400400331 
       10.5       36.7       1.79         7.                      F052400400332 
       10.5       42.7       1.97         7.                      F052400400333 
       10.5       48.7       2.11         8.                      F052400400334 
       10.5       60.4       1.49         8.                      F052400400335 
       10.5       66.1       0.77        12.                      F052400400336 
       10.5       71.7      0.439        13.                      F052400400337 
       10.5       82.7      0.314        11.                      F052400400338 
       10.5       93.4      0.636        11.                      F052400400339 
       10.5       110.      0.152        10.                      F052400400340 
       10.5      131.7       0.85        12.                      F052400400341 
       10.5      152.7      0.862         8.                      F052400400342 
       10.5      156.7       0.75        11.                      F052400400343 
       10.5      168.5       1.75         8.                      F052400400344 
       11.0       12.4       14.5         9.                      F052400400345 
       11.0       18.5       9.44         7.                      F052400400346 
       11.0       24.6       5.53         7.                      F052400400347 
       11.0       36.8       1.58         7.                      F052400400348 
       11.0       42.8        1.4        11.                      F052400400349 
       11.0       48.7       1.34         7.                      F052400400350 
       11.0       60.4      0.893        15.                      F052400400351 
       11.0       66.2      0.495        10.                      F052400400352 
       11.0       71.8      0.372        10.                      F052400400353 
       11.0       88.2       0.43        12.                      F052400400354 
       11.0       93.5      0.449        11.                      F052400400355 
       11.0      108.6      0.351         7.                      F052400400356 
       11.0      118.2      0.264        10.                      F052400400357 
       11.0      122.8       0.24        10.                      F052400400358 
       11.0      131.8      0.321        11.                      F052400400359 
       11.0      136.2      0.353        11.                      F052400400360 
       11.0      140.4      0.339        10.                      F052400400361 
       11.0      148.7      0.516        10.                      F052400400362 
       11.0      152.8      0.511        10.                      F052400400363 
       11.0      156.8      0.433        11.                      F052400400364 
       11.0      164.6      0.375        15.                      F052400400365 
       11.0      168.5      0.286        16.                      F052400400366 
ENDDATA            355          0                                 F052400400367 
ENDSUBENT          366          0                                 F052400499999 
SUBENT        F0524005   20090626                             F036F052400500001 
BIB                  4          4                                 F052400500002 
REACTION   (4-BE-9(D,T)4-BE-8,PAR,SIG)                            F052400500003 
ANALYSIS   (INTAD)                                                F052400500004 
EN-SEC     (E-LVL,4-BE-8)                                         F052400500005 
STATUS     (DEP,F0524004)                                         F052400500006 
ENDBIB               4          0                                 F052400500007 
COMMON               1          3                                 F052400500008 
E-LVL                                                             F052400500009 
MEV                                                               F052400500010 
 0.0                                                              F052400500011 
ENDCOMMON            3          0                                 F052400500012 
DATA                 3         17                                 F052400500013 
EN         DATA       ERR-S                                       F052400500014 
MEV        MB         MB                                          F052400500015 
        3.0       31.1        0.6                                 F052400500016 
        3.5       28.1        0.6                                 F052400500017 
        4.0        29.        0.6                                 F052400500018 
        4.5       33.5        0.7                                 F052400500019 
        5.0        28.        0.5                                 F052400500020 
        5.5       27.1        0.6                                 F052400500021 
        6.0       25.9        0.6                                 F052400500022 
        6.5       23.3        0.5                                 F052400500023 
        7.0       21.5        0.5                                 F052400500024 
        7.5        21.        0.5                                 F052400500025 
        8.0        22.        0.6                                 F052400500026 
        8.5       20.6        0.6                                 F052400500027 
        9.0       21.4        0.7                                 F052400500028 
        9.5       18.9        0.6                                 F052400500029 
       10.0       17.1        0.5                                 F052400500030 
       10.5       18.2        0.5                                 F052400500031 
       11.0       14.3        0.4                                 F052400500032 
ENDDATA             19          0                                 F052400500033 
ENDSUBENT           32          0                                 F052400599999 
SUBENT        F0524006   20090626                             F036F052400600001 
BIB                  1          1                                 F052400600002 
REACTION   (4-BE-9(D,EL)4-BE-9,,DA)                               F052400600003 
ENDBIB               1          0                                 F052400600004 
NOCOMMON             0          0                                 F052400600005 
DATA                 4        322                                 F052400600006 
EN         ANG-CM     DATA-CM    ERR-S                            F052400600007 
MEV        ADEG       MB/SR      PER-CENT                         F052400600008 
        4.0       12.2  1.084E+04        10.                      F052400600009 
        4.0       18.3  3.025E+03        10.                      F052400600010 
        4.0       24.4  1.049E+03         7.                      F052400600011 
        4.0       36.4       325.         8.                      F052400600012 
        4.0       42.4       206.         8.                      F052400600013 
        4.0       48.3       121.         8.                      F052400600014 
        4.0       59.9       42.3         8.                      F052400600015 
        4.0       65.5       34.8         8.                      F052400600016 
        4.0       71.2       28.2         9.                      F052400600017 
        4.0       82.1       17.9         9.                      F052400600018 
        4.0       87.5       14.4        10.                      F052400600019 
        4.0       92.7       12.8        10.                      F052400600020 
        4.0      102.9       9.49         9.                      F052400600021 
        4.0      107.9        9.1        10.                      F052400600022 
        4.0      112.7       7.87        10.                      F052400600023 
        4.0      117.5       6.79        10.                      F052400600024 
        4.0      122.1       5.93        10.                      F052400600025 
        4.0      126.7       5.72        10.                      F052400600026 
        4.0      148.3       5.78        10.                      F052400600027 
        4.5       12.2   8.76E+03         8.                      F052400600028 
        4.5       18.3   2.31E+03         8.                      F052400600029 
        4.5       24.4  1.072E+03        10.                      F052400600030 
        4.5       36.4       281.        12.                      F052400600031 
        4.5       42.4       166.         8.                      F052400600032 
        4.5       48.3       109.        10.                      F052400600033 
        4.5       59.9       35.3        10.                      F052400600034 
        4.5       65.5       30.3        10.                      F052400600035 
        4.5       71.2        28.        10.                      F052400600036 
        4.5       82.1       16.5        10.                      F052400600037 
        4.5       87.5       13.4        10.                      F052400600038 
        4.5       92.7       10.8        10.                      F052400600039 
        4.5      102.9       9.19        10.                      F052400600040 
        4.5      107.9       8.15        10.                      F052400600041 
        4.5      112.7       6.77        10.                      F052400600042 
        4.5      117.5       5.76         8.                      F052400600043 
        4.5      122.1       5.69        10.                      F052400600044 
        4.5      126.7       5.85        10.                      F052400600045 
        4.5      131.2       5.89        10.                      F052400600046 
        4.5      148.3       5.73        10.                      F052400600047 
        4.5      152.4       6.49        10.                      F052400600048 
        4.5      156.4       7.21        10.                      F052400600049 
        5.0       12.2  7.301E+03        10.                      F052400600050 
        5.0       18.3  1.999E+03         8.                      F052400600051 
        5.0       24.4       892.        10.                      F052400600052 
        5.0       36.4       247.         9.                      F052400600053 
        5.0       42.4       147.         8.                      F052400600054 
        5.0       48.3       93.4         9.                      F052400600055 
        5.0       59.9        24.         7.                      F052400600056 
        5.0       65.5        26.        11.                      F052400600057 
        5.0       71.2       27.4        10.                      F052400600058 
        5.0       82.1        19.         7.                      F052400600059 
        5.0       87.5       14.1         7.                      F052400600060 
        5.0       92.7       9.52         7.                      F052400600061 
        5.0      102.9        9.1         7.                      F052400600062 
        5.0      107.9       7.41         7.                      F052400600063 
        5.0      112.7       6.36         7.                      F052400600064 
        5.0      117.5       5.69         7.                      F052400600065 
        5.0      122.1        5.3         9.                      F052400600066 
        5.0      126.7       5.02         8.                      F052400600067 
        5.0      131.2        5.8         7.                      F052400600068 
        5.0      135.5       5.32         9.                      F052400600069 
        5.0      148.3       5.49        10.                      F052400600070 
        5.0      152.4       5.98         8.                      F052400600071 
        5.0      156.4       8.22         7.                      F052400600072 
        5.5       12.2  5.583E+03        10.                      F052400600073 
        5.5       18.3  1.664E+03        10.                      F052400600074 
        5.5       24.4       862.        10.                      F052400600075 
        5.5       36.4       216.         8.                      F052400600076 
        5.5       42.4       126.         8.                      F052400600077 
        5.5       48.3       72.9         7.                      F052400600078 
        5.5       59.9       18.3         7.                      F052400600079 
        5.5       65.5       20.3        13.                      F052400600080 
        5.5       71.2       24.5        12.                      F052400600081 
        5.5       82.1       16.5         8.                      F052400600082 
        5.5       87.5       15.6         8.                      F052400600083 
        5.5       92.7       12.3         8.                      F052400600084 
        5.5      102.9         9.         7.                      F052400600085 
        5.5      107.9       7.21         8.                      F052400600086 
        5.5      112.7       5.68         7.                      F052400600087 
        5.5      117.5       5.38         7.                      F052400600088 
        5.5      122.1       5.65         8.                      F052400600089 
        5.5      126.7       5.01        11.                      F052400600090 
        5.5      131.2        5.3        10.                      F052400600091 
        5.5      135.5        5.4         7.                      F052400600092 
        5.5      148.3       6.58         8.                      F052400600093 
        5.5      152.4       7.36         9.                      F052400600094 
        5.5      156.4       8.91         9.                      F052400600095 
        6.0       12.2    4.6E+03        12.                      F052400600096 
        6.0       18.3  1.556E+03        10.                      F052400600097 
        6.0       24.4       732.        10.                      F052400600098 
        6.0       36.4       176.         8.                      F052400600099 
        6.0       42.4       113.        10.                      F052400600100 
        6.0       48.3       58.8         7.                      F052400600101 
        6.0       59.9       17.2         8.                      F052400600102 
        6.0       65.5        19.         8.                      F052400600103 
        6.0       71.2       22.6         8.                      F052400600104 
        6.0       82.1        16.         7.                      F052400600105 
        6.0       87.5       12.4         7.                      F052400600106 
        6.0       92.7       10.8         7.                      F052400600107 
        6.0      102.9        7.6         8.                      F052400600108 
        6.0      107.9       7.06         8.                      F052400600109 
        6.0      112.7       6.42         8.                      F052400600110 
        6.0      117.5        5.9         6.                      F052400600111 
        6.0      122.1       5.29         7.                      F052400600112 
        6.0      126.7       5.04         7.                      F052400600113 
        6.0      131.2       5.24         7.                      F052400600114 
        6.0      135.5       5.16        10.                      F052400600115 
        6.0      148.3       7.38         8.                      F052400600116 
        6.0      152.4       7.83         7.                      F052400600117 
        6.0      156.4       9.26         9.                      F052400600118 
        6.5       12.2  3.832E+03        10.                      F052400600119 
        6.5       18.3  1.311E+03        12.                      F052400600120 
        6.5       36.4       178.        10.                      F052400600121 
        6.5       42.4       96.1        12.                      F052400600122 
        6.5       59.9       15.6         7.                      F052400600123 
        6.5       65.5       16.8         8.                      F052400600124 
        6.5       71.2       17.9         7.                      F052400600125 
        6.5       82.1       15.6         7.                      F052400600126 
        6.5       87.5       13.2         8.                      F052400600127 
        6.5       92.7       10.9         8.                      F052400600128 
        6.5      102.9       7.88         8.                      F052400600129 
        6.5      107.9       6.68         9.                      F052400600130 
        6.5      112.7       5.72         9.                      F052400600131 
        6.5      117.5       5.48         8.                      F052400600132 
        6.5      122.1       5.11         7.                      F052400600133 
        6.5      126.7       5.15         7.                      F052400600134 
        6.5      131.2        4.8        10.                      F052400600135 
        6.5      135.5       4.79         8.                      F052400600136 
        6.5      148.3       7.04         7.                      F052400600137 
        6.5      152.4       7.61         7.                      F052400600138 
        6.5      156.4       8.13         8.                      F052400600139 
        7.0       12.2   3.58E+03        13.                      F052400600140 
        7.0       18.3  1.322E+03         8.                      F052400600141 
        7.0       24.4       665.         9.                      F052400600142 
        7.0       36.4       153.        10.                      F052400600143 
        7.0       42.4       65.3        10.                      F052400600144 
        7.0       48.3       20.9         8.                      F052400600145 
        7.0       59.9       11.8         9.                      F052400600146 
        7.0       65.5       15.2         8.                      F052400600147 
        7.0       71.2       15.5         8.                      F052400600148 
        7.0       82.1       13.6         8.                      F052400600149 
        7.0       87.5       11.3         8.                      F052400600150 
        7.0       92.7       9.44         9.                      F052400600151 
        7.0      102.9       6.33         9.                      F052400600152 
        7.0      107.9       5.99         7.                      F052400600153 
        7.0      112.7       5.13         8.                      F052400600154 
        7.0      117.5       5.08         8.                      F052400600155 
        7.0      122.1       4.86         8.                      F052400600156 
        7.0      126.7       4.94         9.                      F052400600157 
        7.0      131.2       4.47        10.                      F052400600158 
        7.0      135.5       4.23         8.                      F052400600159 
        7.0      148.3       6.71         8.                      F052400600160 
        7.0      152.4       7.13         9.                      F052400600161 
        7.0      156.4       7.56         9.                      F052400600162 
        7.5       12.2  3.341E+03        10.                      F052400600163 
        7.5       18.3  1.234E+03         8.                      F052400600164 
        7.5       24.4       634.         8.                      F052400600165 
        7.5       36.4       150.         9.                      F052400600166 
        7.5       42.4       55.1         9.                      F052400600167 
        7.5       48.3       20.3         7.                      F052400600168 
        7.5       59.9       13.3         7.                      F052400600169 
        7.5       65.5       16.3         8.                      F052400600170 
        7.5       71.2       20.2         8.                      F052400600171 
        7.5       82.1       12.9         9.                      F052400600172 
        7.5       87.5       9.86         8.                      F052400600173 
        7.5       92.7       7.76         8.                      F052400600174 
        7.5      102.9       6.02         9.                      F052400600175 
        7.5      107.9       5.73         7.                      F052400600176 
        7.5      112.7       4.82         7.                      F052400600177 
        7.5      117.5       4.59         8.                      F052400600178 
        7.5      122.1       4.77         9.                      F052400600179 
        7.5      126.7       4.62        10.                      F052400600180 
        7.5      131.2       4.23         7.                      F052400600181 
        7.5      135.5        4.1         7.                      F052400600182 
        7.5      148.3       6.33         7.                      F052400600183 
        7.5      152.4       6.87         7.                      F052400600184 
        7.5      156.4       7.83        10.                      F052400600185 
        7.5      168.3       9.38        10.                      F052400600186 
        8.0       18.3  1.236E+03         8.                      F052400600187 
        8.0       24.4       606.        10.                      F052400600188 
        8.0       36.4       145.         8.                      F052400600189 
        8.0       42.4       49.1         9.                      F052400600190 
        8.0       48.3       16.8         7.                      F052400600191 
        8.0       59.9       15.6         8.                      F052400600192 
        8.0       65.5       18.1         8.                      F052400600193 
        8.0       71.2       19.4         8.                      F052400600194 
        8.0       82.1       12.5         8.                      F052400600195 
        8.0       87.5       8.91         8.                      F052400600196 
        8.0       92.7       6.82         8.                      F052400600197 
        8.0      102.9       5.21        10.                      F052400600198 
        8.0      107.9         5.         7.                      F052400600199 
        8.0      112.7       4.38         7.                      F052400600200 
        8.0      117.5       4.19         7.                      F052400600201 
        8.0      122.1       4.17         9.                      F052400600202 
        8.0      126.7       4.22         7.                      F052400600203 
        8.0      131.2       3.91         7.                      F052400600204 
        8.0      135.5        4.4         7.                      F052400600205 
        8.0      148.3       5.64         7.                      F052400600206 
        8.0      156.4       6.37        10.                      F052400600207 
        8.0      168.3       7.96        12.                      F052400600208 
        8.5       18.3  1.206E+03         9.                      F052400600209 
        8.5       24.4       646.         8.                      F052400600210 
        8.5       36.4       124.         9.                      F052400600211 
        8.5       42.4       31.3         8.                      F052400600212 
        8.5       48.3       15.2         8.                      F052400600213 
        8.5       59.9       18.3         7.                      F052400600214 
        8.5       65.5       17.8         8.                      F052400600215 
        8.5       71.2       20.2        10.                      F052400600216 
        8.5       82.1       11.3        10.                      F052400600217 
        8.5       87.5       8.54         8.                      F052400600218 
        8.5       92.7       7.02         9.                      F052400600219 
        8.5      102.9       5.76        10.                      F052400600220 
        8.5      107.9        5.3         7.                      F052400600221 
        8.5      112.7       4.19         8.                      F052400600222 
        8.5      117.5       3.89         8.                      F052400600223 
        8.5      122.1       4.14         7.                      F052400600224 
        8.5      126.7       4.02         7.                      F052400600225 
        8.5      131.2       4.04         7.                      F052400600226 
        8.5      135.5       4.08         7.                      F052400600227 
        8.5      148.3       5.25         7.                      F052400600228 
        8.5      168.3       8.02        12.                      F052400600229 
        9.0       18.3  1.382E+03        10.                      F052400600230 
