ENTRY            F0353   20040615                             0000F035300000001 
SUBENT        F0353001   20040615                             0000F035300100001 
BIB                  7         13                                 F035300100002 
TITLE      Analysis of the angular distributions and excitation   F035300100003 
           functions of the elastic scattering of 20-24 MeV alpha-F035300100004 
           particles by carbon and oxygen.                        F035300100005 
AUTHOR     (J.Aguilar,C.Fernandez Pineda,J.Catala,J.L.Ferrero,    F035300100006 
           A.Garcia)                                              F035300100007 
INSTITUTE  (2SPNJNE,2SPNVAL)                                      F035300100008 
REFERENCE  (J,ARS,65,201,1969)                                    F035300100009 
METHOD     The experimetal method is given in ref.J,These Anales/AF035300100010 
           LXIII,35,217,1967.                                     F035300100011 
ERR-ANALYS (DATA-ERR1)Error from the graphic bars                 F035300100012 
           (ANG-ERR-D)Digitizing error                            F035300100013 
           (ERR-DIG)Digitizing error                              F035300100014 
HISTORY    (20040318C)                                            F035300100015 
ENDBIB              13          0                                 F035300100016 
NOCOMMON             0          0                                 F035300100017 
ENDSUBENT           16          0                                 F035300199999 
SUBENT        F0353002   20040615                             0000F035300200001 
BIB                  2          2                                 F035300200002 
REACTION   (6-C-12(A,EL)6-C-12,,DA)                               F035300200003 
STATUS     (CURVE)Fig.1-4                                         F035300200004 
ENDBIB               2          0                                 F035300200005 
COMMON               2          3                                 F035300200006 
ANG-ERR-D  ERR-DIG                                                F035300200007 
ADEG       PER-CENT                                               F035300200008 
 0.27       0.2                                                   F035300200009 
ENDCOMMON            3          0                                 F035300200010 
DATA                 5        198                                 F035300200011 
EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR1             F035300200012 
 20.100    0.23000     130.33     85.341     4.5345               F035300300055 
 20.100    0.23000     131.69     72.499     4.7672               F035300300056 
 20.100    0.23000     133.88     27.953     2.1941               F035300300057 
 20.100    0.23000     136.66     15.786     1.0395               F035300300058 
 20.100    0.23000     139.13     7.7790    0.41333               F035300300059 
 20.100    0.23000     142.00     16.472     1.0847               F035300300060 
 20.100    0.23000     143.50     42.770     3.3570               F035300300061 
 20.100    0.23000     145.01     103.74     6.8314               F035300300062 
 20.100    0.23000     147.30     140.10     9.2254               F035300300063 
 20.100    0.23000     148.89     213.83     11.320               F035300300064 
 20.100    0.23000     150.89     219.87     11.661               F035300300065 
 20.100    0.23000     153.58     202.78     15.916               F035300300066 
 20.100    0.23000     154.95     174.63     11.499               F035300300067 
 20.100    0.23000     157.41     93.380     4.9616               F035300300068 
 20.100    0.23000     158.88     45.378     2.4067               F035300300069 
 20.100    0.23000     160.45     12.787    0.84325               F035300300070 
 20.100    0.23000     163.27     35.075     1.8637               F035300300071 
 20.100    0.23000     165.70     137.10     7.2713               F035300300072 
 20.100    0.23000     167.60     249.82     19.609               F035300300073 
 20.100    0.23000     169.46     536.09     28.433               F035300300074 
 20.100    0.23000     170.52     402.83     31.618               F035300300075 
 20.100    0.23000     171.33     1166.2     91.534               F035300300076 
 20.100    0.23000     172.94     1618.0     106.55               F035300300077 
 21.500    0.14000     10.899     5306.0     352.25               F035300300078 
 21.500    0.14000     14.680     2527.7     135.23               F035300300079 
 21.500    0.14000     16.435     940.15     62.413               F035300300080 
 21.500    0.14000     20.588     248.09     10.017               F035300300081 
 21.500    0.14000     21.966     178.43     11.840               F035300300082 
 21.500    0.14000     24.684     185.98     17.058               F035300300083 
 21.500    0.14000     26.369     238.20     15.813               F035300300084 
 21.500    0.14000     28.064     262.28     17.412               F035300300085 
 21.500    0.14000     30.108     241.57     16.037               F035300300086 
 21.500    0.14000     35.292     52.597     4.8227               F035300300087 
 21.500    0.14000     40.163     7.0800    0.28608               F035300300088 
 21.500    0.14000     42.809     26.481     2.0953               F035300300089 
 21.500    0.14000     45.466     81.714     6.4656               F035300300090 
 21.500    0.14000     47.831     106.11     8.3930               F035300300091 
 21.500    0.14000     51.564     118.48     7.8653               F035300300092 
 21.500    0.14000     53.265     115.28     7.6533               F035300300093 
 21.500    0.14000     56.016     65.652     2.6509               F035300300094 
 21.500    0.14000     57.036     65.658     3.5089               F035300300095 
 21.500    0.14000     60.827     25.806     1.3806               F035300300096 
 21.500    0.14000     63.564     19.079     1.0202               F035300300097 
 21.500    0.14000     66.309     11.962    0.63962               F035300300098 
 21.500    0.14000     69.012     16.187    0.86555               F035300300099 
 21.500    0.14000     75.108     24.124     1.9088               F035300300100 
 21.500    0.14000     77.488     24.129     1.6018               F035300300101 
 21.500    0.14000     80.562     18.591     1.2342               F035300300102 
 21.500    0.14000     83.321     9.2281    0.49344               F035300300103 
 21.500    0.14000     85.723     6.1123    0.32684               F035300300104 
 21.500    0.14000     88.180     1.5264    0.10138               F035300300105 
 21.500    0.14000     91.226     1.9552    0.17928               F035300300106 
 21.500    0.14000     93.554     4.9097    0.32594               F035300300107 
 21.500    0.14000     96.242     8.6256    0.68226               F035300300108 
 21.500    0.14000     98.241     17.869     1.1857               F035300300109 
 21.500    0.14000     101.63     22.889     1.8111               F035300300110 
 21.500    0.14000     104.00     26.998     1.4428               F035300300111 
 21.500    0.14000     106.38     25.211     1.3488               F035300300112 
 21.500    0.14000     107.75     22.902     1.5197               F035300300113 
 21.500    0.14000     111.85     13.593     1.0755               F035300300114 
 21.500    0.14000     113.92     8.7590    0.58148               F035300300115 
 21.500    0.14000     116.29     9.5137    0.50871               F035300300116 
 21.500    0.14000     118.30     18.149     1.2043               F035300300117 
 21.500    0.14000     121.32     33.228     2.2059               F035300300118 
 21.500    0.14000     125.02     75.797     4.0530               F035300300119 
 21.500    0.14000     126.71     83.461     5.5407               F035300300120 
 21.500    0.14000     130.10     94.476     5.0518               F035300300121 
