ENTRY            10111   20000202                             00001011100000001 
SUBENT        10111001   20000202                             00001011100100001 
BIB                 13         31                                 1011100100002 
INSTITUTE  (1USAORL)                                              1011100100003 
REFERENCE  (R,ORNL-4515,197006)                                   1011100100004 
AUTHOR     (W.E.KINNEY,F.G.PEREY)                                 1011100100005 
TITLE      Neutron elastic- and inelastic-scattering cross        1011100100006 
           sections for 56Fe in the energy range 4.19 to 8.56 MeV 1011100100007 
FACILITY   (VDG,1USAORL) ORNL Van de Graaff, pulsed at 2 mhz and  1011100100008 
            bunched.                                              1011100100009 
INC-SOURCE (D-D) D(d,n) reaction using gas cells ranging in length1011100100010 
            from 0.7 to 4.0 cm. Neutron energy resolution between 1011100100011 
            60 to 340 keV.                                        1011100100012 
SAMPLE     Solid right circular cylinder 2.54 cm diameter,        1011100100013 
            2 cm high placed 10 to 30 cm from gas cell.           1011100100014 
METHOD     (TOF) Time-of-flight. 2.5 nanosec resolution (FWHM).   1011100100015 
DETECTOR   (SCIN)  12.5 cm diameter NE213 liquid scintillator     1011100100016 
            viewed by XP-1040 photomultipliers.  Flight paths of  1011100100017 
            4 to 6 meters employed.                               1011100100018 
MONITOR    (1-H-1(N,EL)1-H-1,,DA) Detector efficiency determined  1011100100019 
            relative to n-p cross section.                        1011100100020 
CORRECTION  Corrected for multiple scattering and other finite    1011100100021 
            sample size effects.                                  1011100100022 
STATUS     (APRVD) Approved by authors.                           1011100100023 
           Data rec'd in private comm., Kinney, September 1971.   1011100100024 
HISTORY    (19711009R)  Received on tape in CSISRS format         1011100100025 
           (19750421A) ISO-QUANT corrected on subentries 141-145, 1011100100026 
            147-151.                                              1011100100027 
           (19800807A) Converted to REACTION formalism. BIB       1011100100028 
            correction.                                           1011100100029 
           (19840418A) BIB corrections.                           1011100100030 
           (19860407A) Data heading, BIB corrections.             1011100100031 
           (20000202A) Converted to new date format, lower case.  1011100100032 
                       BIB corrections.                           1011100100033 
ENDBIB              31          0                                 1011100100034 
NOCOMMON             0          0                                 1011100100035 
ENDSUBENT           34          0                                 1011100199999 
SUBENT        10111002   20000202                             00001011100200001 
BIB                  3         13                                 1011100200002 
REACTION   (26-FE-0(N,INL)26-FE-56,PAR,DA)                        1011100200003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011100200004 
            . geometric parameters,                               1011100200005 
            . finite size corrections,                            1011100200006 
            . statistics,                                         1011100200007 
            . residual background effects due to peak stripping   1011100200008 
              procedures.                                         1011100200009 
            Does not include absolute error of + or - 7%,         1011100200010 
             estimated error in the absolute value of the         1011100200011 
             detector efficiency.                                 1011100200012 
HISTORY    (19800807A) SUBENTRIES 2,6,13,20,29,38,46,55,57,67,76, 1011100200013 
            86,96,107,117,127, AND 131 COMBINED.                  1011100200014 
           (19840418A) DATA SORTED.                               1011100200015 
ENDBIB              13          0                                 1011100200016 
COMMON               1          3                                 1011100200017 
E-LVL                                                             1011100200018 
MEV                                                               1011100200019 
  0.846                                                           1011100200020 
ENDCOMMON            3          0                                 1011100200021 
DATA                 6        169                                 1011100200022 
EN         EN-RSL-HW  ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1011100200023 
  6.53     0.03         35.59        487.01    10.6        6.1    1011101100133 
  6.53     0.03         40.66        253.47     7.2       10.1    1011101100134 
  6.53     0.03         40.66        316.77     6.8        7.3    1011101100135 
  6.53     0.03         50.79         55.70    11.5       10.7    1011101100136 
  6.53     0.03         55.84         28.69    12.2       12.9    1011101100137 
  6.53     0.03         55.84         28.88    13.1       13.4    1011101100138 
  6.53     0.03         60.89          5.81    46.2       37.4    1011101100139 
  6.53     0.03         65.93          7.90    57.1       29.9    1011101100140 
  6.53     0.03         70.97         10.48    22.3       20.8    1011101100141 
  6.53     0.03         81.01         17.60    18.9       17.1    1011101100142 
  6.53     0.03         86.02         20.62    14.3       12.0    1011101100143 
  6.53     0.03         94.03         22.10    21.3       11.7    1011101100144 
  6.53     0.03        101.01         18.07    19.4       12.8    1011101100145 
  6.53     0.03        107.98         17.00    15.9       13.8    1011101100146 
  6.53     0.03        110.97         20.01    10.3       12.6    1011101100147 
  6.53     0.03        114.94         13.76    17.4       20.1    1011101100148 
  7.54     0.04         15.27       2101.51     4.2        4.6    1011101100149 
  7.54     0.04         22.89       1402.48     4.6        4.7    1011101100150 
  7.54     0.04         25.43       1048.01     4.9        4.8    1011101100151 
  7.54     0.04         30.51        644.52     5.1        6.1    1011101100152 
  7.54     0.04         35.59        419.14     5.3        5.0    1011101100153 
  7.54     0.04         40.66        233.84     5.3        6.8    1011101100154 
  7.54     0.04         40.66        270.48     5.9        5.1    1011101100155 
  7.54     0.04         45.73         97.83     9.8        5.9    1011101100156 
  7.54     0.04         50.79         38.35    18.2        8.1    1011101100157 
  7.54     0.04         55.84         17.16    13.8       12.5    1011101100158 
  7.54     0.04         60.89          6.39    22.6       24.3    1011101100159 
  7.54     0.04         65.93          6.78    20.5       27.0    1011101100160 
  7.54     0.04         70.97         13.13    10.3       14.6    1011101100161 
  7.54     0.04         84.02         19.91     8.3        8.3    1011101100162 
  7.54     0.04         91.03         19.08     9.4       11.2    1011101100163 
  7.54     0.04        101.01         15.95    14.4       11.5    1011101100164 
  7.54     0.04        107.98         15.01     9.0        9.5    1011101100165 
  7.54     0.04        114.94         10.71    13.7       11.2    1011101100166 
  7.54     0.04        120.39          8.35    16.9       15.4    1011101100167 
  7.54     0.04        127.82          6.38    18.1       17.4    1011101100168 
  7.54     0.04        135.23          5.29    20.5       21.5    1011101100169 
  8.56     0.08         15.27       2196.64     4.6        6.1    1011101100170 
  8.56     0.08         22.89       1484.22     4.5        5.1    1011101100171 
  8.56     0.08         25.43       1190.13     4.1        9.0    1011101100172 
  8.56     0.08         30.52        748.48     5.2        7.7    1011101100173 
  8.56     0.08         35.59        440.13     6.1        5.9    1011101100174 
  8.56     0.08         40.66        226.98     6.0        5.6    1011101100175 
  8.56     0.08         50.79         32.33    14.4       16.4    1011101100176 
  8.56     0.08         55.84          6.34    32.0       33.0    1011101100177 
  8.56     0.08         60.89          2.25    64.2       74.5    1011101100178 
  8.56     0.08         65.93          5.72    31.6       37.9    1011101100179 
  8.56     0.08         70.97         11.59    13.9       17.8    1011101100180 
  8.56     0.08         81.01         13.44    12.1       13.5    1011101100181 
  8.56     0.08         91.03         17.24    10.2       11.7    1011101100182 
  8.56     0.08        101.01         18.00     9.2       11.5    1011101100183 
  8.56     0.08        115.24         10.15    15.1       15.7    1011101100184 
  8.56     0.08        120.39          9.47    13.2       16.1    1011101100185 
  8.56     0.08        127.82          3.47    36.2       35.3    1011101100186 
  8.56     0.08        135.23          2.48    50.5       51.0    1011101100187 
ENDDATA            170          0                                 1011101100188 
ENDSUBENT          187          0                                 1011101199999 
NOSUBENT      10111012   20000203                             00001011101200001 
NOSUBENT      10111013   20000203                             00001011101300001 
SUBENT        10111014   20000202                             00001011101400001 
BIB                  2         10                                 1011101400002 
REACTION   (26-FE-0(N,INL)26-FE-56,PAR,DA,,LEG/2L2)               1011101400003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011101400004 
            . geometric parameters,                               1011101400005 
            . finite size corrections,                            1011101400006 
            . statistics,                                         1011101400007 
            . residual background effects due to peak stripping   1011101400008 
              procedures.                                         1011101400009 
            Does not include absolute error of + or - 7%,         1011101400010 
             estimated error in the absolute value of the         1011101400011 
             detector efficiency.                                 1011101400012 
ENDBIB              10          0                                 1011101400013 
COMMON               1          3                                 1011101400014 
E-LVL                                                             1011101400015 
MEV                                                               1011101400016 
 0.846                                                            1011101400017 
ENDCOMMON            3          0                                 1011101400018 
DATA                 5         38                                 1011101400019 
EN         EN-RSL-HW  NUMBER     DATA       DATA-ERR              1011101400020 
MEV        MEV        NO-DIM     MB/SR      PER-CENT              1011101400021 
 4.60       0.05       0.         37.0255      2.6                1011101400022 
 5.00       0.04       0.           28.09656    2.7               1011101400023 
 5.00       0.04       1.            0.22246  245.9               1011101400024 
 5.00       0.04       2.            2.10676   16.9               1011101400025 
 5.04       0.04       0.           35.57924    2.8               1011101400026 
 5.04       0.04       1.            1.04008   66.2               1011101400027 
 5.04       0.04       2.            3.14256   15.9               1011101400028 
 5.44       0.17       0.           39.46999    2.9               1011101400029 
 5.44       0.17       1.            4.33484   17.3               1011101400030 
 5.44       0.17       2.            3.83384   15.2               1011101400031 
 5.44       0.17       3.            1.73275   24.9               1011101400032 
 5.56       0.04       0.           26.39510    4.8               1011101400033 
 5.56       0.04       1.            3.11775   31.7               1011101400034 
 5.56       0.04       2.            3.64997   20.4               1011101400035 
 5.56       0.04       3.            2.97344   19.4               1011101400036 
 5.56       0.04       4.            1.04134   33.8               1011101400037 
 6.13       0.04       0.           24.55707    4.0               1011101400038 
 6.13       0.04       1.            1.77400   30.1               1011101400039 
 6.13       0.04       2.            3.32723   14.8               1011101400040 
 6.13       0.04       3.            2.88786   12.4               1011101400041 
 6.44       0.13       0.           30.99538    1.9               1011101400042 
 6.44       0.13       1.            5.62438    8.6               1011101400043 
 6.44       0.13       2.            3.94230    9.7               1011101400044 
 6.44       0.13       3.            2.38325   12.4               1011101400045 
 6.44       0.13       4.            1.17811   16.1               1011101400046 
 6.53       0.03       0.           19.10448    4.5               1011101400047 
 6.53       0.03       1.            3.29178   21.7               1011101400048 
 6.53       0.03       2.            1.96933   28.6               1011101400049 
 6.53       0.03       3.            1.17338   36.8               1011101400050 
 6.53       0.03       4.            0.45720   55.0               1011101400051 
 7.54       0.04       0.           16.52533    2.8               1011101400052 
 7.54       0.04       1.            1.84583   18.4               1011101400053 
 7.54       0.04       2.            1.76572   17.4               1011101400054 
 7.54       0.04       3.            0.67393   27.1               1011101400055 
 8.56       0.08       0.           16.49979    3.8               1011101400056 
 8.56       0.08       1.            2.18520   22.4               1011101400057 
 8.56       0.08       2.            1.78925   22.4               1011101400058 
 8.56       0.08       3.            0.66692   33.2               1011101400059 
ENDDATA             40          0                                 1011101400060 
ENDSUBENT           59          0                                 1011101499999 
NOSUBENT      10111015   20000203                             00001011101500001 
NOSUBENT      10111016   20000203                             00001011101600001 
NOSUBENT      10111017   20000203                             00001011101700001 
NOSUBENT      10111018   20000203                             00001011101800001 
NOSUBENT      10111019   20000203                             00001011101900001 
NOSUBENT      10111020   20000203                             00001011102000001 
NOSUBENT      10111021   20000203                             00001011102100001 
NOSUBENT      10111022   20000203                             00001011102200001 
NOSUBENT      10111023   20000203                             00001011102300001 
NOSUBENT      10111024   20000203                             00001011102400001 
SUBENT        10111025   20000202                             00001011102500001 
BIB                  3         13                                 1011102500002 
REACTION   (26-FE-0(N,INL)26-FE-56,PAR,DA)                        1011102500003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011102500004 
            . geometric parameters,                               1011102500005 
            . finite size corrections,                            1011102500006 
            . statistics,                                         1011102500007 
            . residual background effects due to peak stripping   1011102500008 
              procedures.                                         1011102500009 
            Does not include absolute error of + or - 7%,         1011102500010 
             estimated error in the absolute value of the         1011102500011 
             detector efficiency.                                 1011102500012 
HISTORY    (19800807A) SUBENTRIES 25,34,43,51,62,72,81,91,102,    1011102500013 
            112,123, AND 137 COMBINED.                            1011102500014 
           (19840418A) DATA SORTED.                               1011102500015 
ENDBIB              13          0                                 1011102500016 
COMMON               4          3                                 1011102500017 
E-LVL      E-LVL      E-LVL      E-LVL                            1011102500018 
MEV        MEV        MEV        MEV                              1011102500019 
  3.368      3.388      3.445      3.450                          1011102500020 
ENDCOMMON            3          0                                 1011102500021 
DATA                 6         56                                 1011102500022 
EN         EN-RSL-HW  ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1011102500023 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1011102500024 
  5.00     0.05         56.53         19.07    11.3       15.4    1011102500025 
  5.00     0.04         56.53         19.75    19.5       25.7    1011102500026 
  5.00     0.04         61.63         17.96    14.5       19.6    1011102500027 
  5.00     0.04         74.80         13.60    18.4       20.0    1011102500028 
  5.00     0.04         81.86         10.21    21.9       13.8    1011102500029 
  5.00     0.05         91.86         14.62    13.7       15.6    1011102500030 
  5.00     0.05         91.87         17.83    11.9       12.3    1011102500031 
  5.00     0.04        111.78         16.71    14.6       18.4    1011102500032 
  5.00     0.04        116.71         14.85    14.4       21.5    1011102500033 
  5.04     0.04         30.92         21.00    15.5       18.7    1011102500034 
  5.04     0.04         44.26         19.48    10.0       20.9    1011102500035 
  5.04     0.04         56.52         18.03    10.7       21.5    1011102500036 
  5.04     0.04         56.52         22.89    14.3       24.8    1011102500037 
  5.04     0.04         56.52         17.03    14.1       14.1    1011102500038 
  5.04     0.04         69.72         14.28    10.6       18.9    1011102500039 
  5.04     0.04         81.83         14.85    13.4       18.3    1011102500040 
  5.04     0.04         94.85         15.03    12.7       18.9    1011102500041 
  5.04     0.04        106.79         14.46    13.2       12.3    1011102500042 
  5.04     0.04        118.65         17.33    13.5       14.6    1011102500043 
  5.04     0.04        131.42         16.30    13.3       17.3    1011102500044 
  5.18     0.05         91.81         15.27     8.8       14.3    1011102500045 
  5.50     0.05         91.70         12.25    10.9       12.6    1011102500046 
  5.56     0.04         30.84         15.97    12.8       11.2    1011102500047 
  5.56     0.04         44.14         14.20    13.7       21.1    1011102500048 
  5.56     0.04         44.15         13.13    20.2        9.9    1011102500049 
  5.56     0.04         52.30         14.43    10.4       19.7    1011102500050 
  5.56     0.04         61.46          5.93     9.9       15.1    1011102500051 
  5.56     0.04         76.62         10.94    15.3       25.3    1011102500052 
  5.56     0.04         91.68         11.58    12.2       13.7    1011102500053 
  5.56     0.04        106.62         12.05    10.6       17.0    1011102500054 
  5.56     0.04        119.48         14.03    14.7       26.3    1011102500055 
  5.56     0.04        133.25         14.25    16.1       18.8    1011102500056 
  6.00     0.13         53.75         12.02     6.1        6.1    1011102500057 
  6.00     0.13        119.38         13.10     6.2        6.2    1011102500058 
  6.13     0.04         41.00          8.30    23.7       21.1    1011102500059 
  6.13     0.04         46.11          9.14    12.0       14.0    1011102500060 
  6.13     0.04         51.19          8.21    13.3       19.2    1011102500061 
  6.13     0.04         56.27          8.87    12.2       16.6    1011102500062 
  6.13     0.04         96.56          7.63    11.1       22.0    1011102500063 
  6.44     0.13        120.82          9.28    11.5       24.7    1011102500064 
  6.44     0.13        128.21         11.51    13.0       27.1    1011102500065 
  6.44     0.13        135.58          9.09     9.0       20.9    1011102500066 
  6.53     0.03         40.97          9.48     8.9       19.2    1011102500067 
  6.53     0.03         56.23          7.66     9.8       22.1    1011102500068 
  6.53     0.03        111.42          7.00     9.0       24.5    1011102500069 
  7.54     0.04         71.31          3.25    16.6       16.6    1011102500070 
  7.54     0.04         84.39          3.59    20.4       20.4    1011102500071 
  7.54     0.04         91.39          3.61    23.8       23.8    1011102500072 
  7.54     0.04        101.38          4.29    13.9       13.9    1011102500073 
  7.54     0.04        108.34          3.89    20.6       20.6    1011102500074 
  7.54     0.04        115.28          2.89    30.8       30.8    1011102500075 
  7.54     0.04        120.72          4.50    11.1       27.0    1011102500076 
  7.54     0.04        128.11          3.64    14.4       14.4    1011102500077 
  7.54     0.04        135.49          3.72    18.7       18.7    1011102500078 
  8.56     0.08        120.65          2.30    29.9       29.9    1011102500079 
  8.56     0.08        128.06          2.71    17.5       31.0    1011102500080 
ENDDATA             58          0                                 1011102500081 
ENDSUBENT           80          0                                 1011102599999 
SUBENT        10111026   20000202                             00001011102600001 
BIB                  3         13                                 1011102600002 
REACTION   (26-FE-0(N,INL)26-FE-56,PAR,DA)                        1011102600003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011102600004 
            . geometric parameters,                               1011102600005 
            . finite size corrections,                            1011102600006 
            . statistics,                                         1011102600007 
            . residual background effects due to peak stripping   1011102600008 
              procedures.                                         1011102600009 
            Does not include absolute error of + or - 7%,         1011102600010 
             estimated error in the absolute value of the         1011102600011 
             detector efficiency.                                 1011102600012 
HISTORY    (19800807A) SUBENTRIES 26,35,44,52,63,73,82,92,103,113,1011102600013 
            124, AND 138 COMBINED.                                1011102600014 
           (19840418A) DATA SORTED.                               1011102600015 
ENDBIB              13          0                                 1011102600016 
COMMON               2          3                                 1011102600017 
E-LVL      E-LVL                                                  1011102600018 
MEV        MEV                                                    1011102600019 
  3.600      3.605                                                1011102600020 
ENDCOMMON            3          0                                 1011102600021 
DATA                 6         53                                 1011102600022 
EN         EN-RSL-HW  ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1011102600023 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1011102600024 
  5.00     0.05         56.64         12.33    15.0       20.3    1011102600025 
  5.00     0.04         56.64         22.31    15.2       27.3    1011102600026 
  5.00     0.04         61.74         10.78    19.2       25.3    1011102600027 
  5.00     0.04         74.94          6.68    31.0       27.0    1011102600028 
  5.00     0.04         81.98          6.81    25.6       19.7    1011102600029 
  5.00     0.05         92.00         11.31    17.0       22.0    1011102600030 
  5.00     0.05         92.02         13.68    15.9       18.2    1011102600031 
  5.00     0.04        111.89          9.18    21.5       30.6    1011102600032 
  5.00     0.04        116.82          7.32    24.0       31.9    1011102600033 
  5.04     0.04         31.00         13.36    14.9       19.0    1011102600034 
  5.04     0.04         44.36         12.50    15.5       20.6    1011102600035 
  5.04     0.04         56.63         12.36    13.2       13.2    1011102600036 
  5.04     0.04         56.63         13.36    14.2       24.7    1011102600037 
  5.04     0.04         56.64         22.00    18.4       28.8    1011102600038 
  5.04     0.04         69.85         11.29    14.3       19.5    1011102600039 
  5.04     0.04         81.96         12.39    16.3       25.1    1011102600040 
  5.04     0.04         94.99         10.34    19.6       21.9    1011102600041 
  5.04     0.04        106.92         10.28    17.9       20.9    1011102600042 
  5.04     0.04        118.78         13.03    17.4       23.2    1011102600043 
  5.04     0.04        131.53         13.91    17.8       18.8    1011102600044 
  5.18     0.05         91.92         12.61    12.5       16.9    1011102600045 
  5.50     0.05         91.79          8.03    10.0       22.7    1011102600046 
  5.56     0.04         44.20         10.74    21.8       22.7    1011102600047 
  5.56     0.04         44.20         11.07    18.2       29.3    1011102600048 
  5.56     0.04         61.53          5.05    11.1       24.6    1011102600049 
  5.56     0.04         76.70          9.82    15.9       28.1    1011102600050 
  5.56     0.04         91.77          9.55    14.7       26.4    1011102600051 
  5.56     0.04        106.70         10.17    16.8       23.3    1011102600052 
  5.56     0.04        119.56         11.97    12.6       24.8    1011102600053 
  5.56     0.04        133.31         11.43    22.2       22.8    1011102600054 
  6.00     0.13         53.81          5.09     7.7        7.7    1011102600055 
  6.00     0.13        119.46          6.06     6.6        6.6    1011102600056 
  6.13     0.04         41.05          6.31    17.4       34.1    1011102600057 
  6.13     0.04         46.15          6.08    14.7       22.6    1011102600058 
  6.13     0.04         51.25          4.57    19.6       17.8    1011102600059 
  6.13     0.04         56.32          5.38    21.0       27.6    1011102600060 
  6.13     0.04         96.62          3.97    15.0       25.7    1011102600061 
  6.44     0.13        120.86          5.70    16.5       25.0    1011102600062 
  6.44     0.13        128.26          4.68    23.0       22.7    1011102600063 
  6.44     0.13        135.62          5.66    15.8       11.8    1011102600064 
  6.53     0.03         41.00          7.73    12.5       31.4    1011102600065 
  6.53     0.03         56.28          4.73    18.9       25.7    1011102600066 
  6.53     0.03        111.47          3.98    19.6       32.0    1011102600067 
  7.54     0.04         71.35          1.83    26.7       26.7    1011102600068 
  7.54     0.04         84.43          1.73    34.5       34.5    1011102600069 
  7.54     0.04         91.43          2.15    28.3       28.3    1011102600070 
  7.54     0.04        101.41          1.69    31.5       31.5    1011102600071 
  7.54     0.04        108.37          2.20    28.8       28.8    1011102600072 
  7.54     0.04        120.75          2.81    22.0       21.6    1011102600073 
  7.54     0.04        128.14          2.73    21.8       21.8    1011102600074 
  7.54     0.04        135.52          2.84    24.5       24.5    1011102600075 
  8.56     0.08        120.68          1.10    31.6       31.6    1011102600076 
  8.56     0.08        128.08          1.23    30.5       32.1    1011102600077 
ENDDATA             55          0                                 1011102600078 
ENDSUBENT           77          0                                 1011102699999 
SUBENT        10111027   20000202                             00001011102700001 
BIB                  3         13                                 1011102700002 
REACTION   (26-FE-0(N,INL)26-FE-56,PAR,DA)                        1011102700003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011102700004 
            . geometric parameters,                               1011102700005 
            . finite size corrections,                            1011102700006 
            . statistics,                                         1011102700007 
            . residual background effects due to peak stripping   1011102700008 
              procedures.                                         1011102700009 
            Does not include absolute error of + or - 7%,         1011102700010 
             estimated error in the absolute value of the         1011102700011 
             detector efficiency.                                 1011102700012 
HISTORY    (19800807A) SUBENTRIES 27,36,45,53,64,74,83,93,104,114,1011102700013 
            125, AND 139 COMBINED.                                1011102700014 
           (19840418A) DATA SORTED.                               1011102700015 
ENDBIB              13          0                                 1011102700016 
COMMON               2          3                                 1011102700017 
E-LVL      E-LVL                                                  1011102700018 
MEV        MEV                                                    1011102700019 
  3.829      3.856                                                1011102700020 
ENDCOMMON            3          0                                 1011102700021 
DATA                 6         52                                 1011102700022 
EN         EN-RSL-HW  ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1011102700023 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1011102700024 
  5.00     0.05         56.81         13.85    26.2       27.4    1011102700025 
  5.00     0.04         56.82         16.69    28.4       29.6    1011102700026 
  5.00     0.05         92.21         11.88    30.1       30.1    1011102700027 
  5.00     0.05         92.21         17.08    30.1       30.3    1011102700028 
  5.04     0.04         31.11         12.34    25.1       29.0    1011102700029 
  5.04     0.04         44.50         12.62    24.7       31.4    1011102700030 
  5.04     0.04         56.81         13.09    26.0       28.7    1011102700031 
  5.04     0.04         56.81         11.28    26.3       29.0    1011102700032 
  5.04     0.04         56.82         29.75    26.0       29.2    1011102700033 
  5.04     0.04         70.05          9.90    27.6       30.1    1011102700034 
  5.04     0.04         82.18         10.23    29.3       30.3    1011102700035 
  5.04     0.04         95.20         12.17    29.5       30.6    1011102700036 
  5.04     0.04        107.13          9.78    31.2       31.8    1011102700037 
  5.04     0.04        118.96         10.52    32.7       33.0    1011102700038 
  5.04     0.04        131.69          8.63    33.4       33.4    1011102700039 
  5.18     0.05         92.11         14.23    18.1       21.2    1011102700040 
  5.50     0.05         91.93          9.41    13.2       13.6    1011102700041 
  5.56     0.04         30.95         14.02    16.3       22.6    1011102700042 
  5.56     0.04         44.28         10.20    16.0       25.4    1011102700043 
  5.56     0.04         44.29          7.42    16.9       16.8    1011102700044 
  5.56     0.04         52.47          7.79    16.2       23.0    1011102700045 
  5.56     0.04         61.64          4.15    11.6       16.4    1011102700046 
  5.56     0.04         76.82          7.94    12.5       23.6    1011102700047 
  5.56     0.04         91.89          8.62    12.9       24.7    1011102700048 
  5.56     0.04        106.82          8.23    11.6       18.8    1011102700049 
  5.56     0.04        119.67          9.79    12.4       20.3    1011102700050 
  5.56     0.04        133.40          9.53    19.3       19.5    1011102700051 
  6.00     0.13         53.88          7.95     7.2        7.2    1011102700052 
  6.00     0.13        119.54          7.59     6.7        6.7    1011102700053 
  6.13     0.04         41.10          5.67    13.3       31.0    1011102700054 
  6.13     0.04         46.21          4.79    16.8       21.7    1011102700055 
  6.13     0.04         51.31          4.83    17.2       15.3    1011102700056 
  6.13     0.04         56.39          4.40    14.3       15.1    1011102700057 
  6.13     0.04         96.71          4.56    10.2       18.0    1011102700058 
  6.44     0.13        120.93          7.38    10.2       26.6    1011102700059 
  6.44     0.13        128.31          6.26    14.0       25.8    1011102700060 
  6.44     0.13        135.67          6.63    10.0       21.4    1011102700061 
  6.53     0.03         41.05          5.59     8.1       29.3    1011102700062 
  6.53     0.03         56.33          4.96     9.4       29.3    1011102700063 
  6.53     0.03        111.53          4.17    11.7       28.1    1011102700064 
  7.54     0.04         71.39          2.38    20.4       20.4    1011102700065 
  7.54     0.04         84.47          2.30    28.0       28.0    1011102700066 
  7.54     0.04         91.48          2.72    23.6       23.6    1011102700067 
  7.54     0.04        101.46          2.40    24.1       24.1    1011102700068 
  7.54     0.04        108.42          2.27    25.9       25.9    1011102700069 
  7.54     0.04        115.35          2.43    30.2       30.2    1011102700070 
  7.54     0.04        120.78          3.27    18.7       28.0    1011102700071 
  7.54     0.04        128.18          2.23    32.7       32.7    1011102700072 
  7.54     0.04        135.55          2.74    23.7       23.7    1011102700073 
  8.56     0.08        120.71          1.01    30.7       30.7    1011102700074 
  8.56     0.08        128.11          2.10    18.1       38.7    1011102700075 
  8.56     0.08        135.49          1.24    34.8       31.3    1011102700076 
ENDDATA             54          0                                 1011102700077 
ENDSUBENT           76          0                                 1011102799999 
NOSUBENT      10111028   20000203                             00001011102800001 
NOSUBENT      10111029   20000203                             00001011102900001 
NOSUBENT      10111030   20000203                             00001011103000001 
NOSUBENT      10111031   20000203                             00001011103100001 
NOSUBENT      10111032   20000203                             00001011103200001 
NOSUBENT      10111033   20000203                             00001011103300001 
NOSUBENT      10111034   20000203                             00001011103400001 
NOSUBENT      10111035   20000203                             00001011103500001 
NOSUBENT      10111036   20000203                             00001011103600001 
NOSUBENT      10111037   20000203                             00001011103700001 
NOSUBENT      10111038   20000203                             00001011103800001 
NOSUBENT      10111039   20000203                             00001011103900001 
NOSUBENT      10111040   20000203                             00001011104000001 
NOSUBENT      10111041   20000203                             00001011104100001 
NOSUBENT      10111042   20000203                             00001011104200001 
NOSUBENT      10111043   20000203                             00001011104300001 
NOSUBENT      10111044   20000203                             00001011104400001 
NOSUBENT      10111045   20000203                             00001011104500001 
NOSUBENT      10111046   20000203                             00001011104600001 
NOSUBENT      10111047   20000203                             00001011104700001 
NOSUBENT      10111048   20000203                             00001011104800001 
NOSUBENT      10111049   20000203                             00001011104900001 
NOSUBENT      10111050   20000203                             00001011105000001 
NOSUBENT      10111051   20000203                             00001011105100001 
NOSUBENT      10111052   20000203                             00001011105200001 
NOSUBENT      10111053   20000203                             00001011105300001 
NOSUBENT      10111054   20000203                             00001011105400001 
NOSUBENT      10111055   20000203                             00001011105500001 
NOSUBENT      10111056   20000203                             00001011105600001 
NOSUBENT      10111057   20000203                             00001011105700001 
NOSUBENT      10111058   20000203                             00001011105800001 
NOSUBENT      10111059   20000203                             00001011105900001 
NOSUBENT      10111060   20000203                             00001011106000001 
NOSUBENT      10111061   20000203                             00001011106100001 
NOSUBENT      10111062   20000203                             00001011106200001 
NOSUBENT      10111063   20000203                             00001011106300001 
NOSUBENT      10111064   20000203                             00001011106400001 
SUBENT        10111065   20000202                             00001011106500001 
BIB                  3         13                                 1011106500002 
REACTION   (26-FE-0(N,INL)26-FE-56,PAR,DA)                        1011106500003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1011106500004 
            . geometric parameters,                               1011106500005 
            . finite size corrections,                            1011106500006 
            . statistics,                                         1011106500007 
            . residual background effects due to peak stripping   1011106500008 
              procedures.                                         1011106500009 
            Does not include absolute error of + or - 7%,         1011106500010 
             estimated error in the absolute value of the         1011106500011 
             detector efficiency.                                 1011106500012 
HISTORY    (19800807A) SUBENTRIES 65,75,84,94,105,115,121,126, AND1011106500013 
            140 COMBINED.                                         1011106500014 
           (19840418A) DATA SORTED.                               1011106500015 
ENDBIB              13          0                                 1011106500016 
COMMON               3          3                                 1011106500017 
E-LVL      E-LVL      E-LVL                                       1011106500018 
MEV        MEV        MEV                                         1011106500019 
  4.046      4.099      4.116                                     1011106500020 
ENDCOMMON            3          0                                 1011106500021 
DATA                 6         39                                 1011106500022 
EN         EN-RSL-HW  ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1011106500023 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1011106500024 
  5.50     0.05         92.12         14.02     0.0       14.9    1011106500025 
  5.56     0.04         31.04          9.86    23.0       23.4    1011106500026 
  5.56     0.04         44.39          9.60    16.4       19.7    1011106500027 
