ENTRY            10582   20040723                             00001058200000001 
SUBENT        10582001   20040723                             00001058200100001 
BIB                 12         18                                 1058200100002 
INSTITUTE  (1USAORL)                                              1058200100003 
REFERENCE  (R,ORNL-TM-4544,197405)                                1058200100004 
           (J,NSE,62,515,197703) Review                           1058200100005 
AUTHOR     (J.K.Dickens,T.A.Love,G.L.Morgan)                      1058200100006 
TITLE      Gamma-Ray Production due to Neutron Interactions with  1058200100007 
            Magnesium for Incident Neutron Energies between 0.8   1058200100008 
            and 20 MeV: Tabulated Differential Cross Sections     1058200100009 
FACILITY   (LINAC,1USAORL) Oak Ridge Electron Linear Accelerator  1058200100010 
INC-SOURCE (PHOTO) Photneutrons from water-cooled Ta target.      1058200100011 
SAMPLE     30-cm by 30-cm by 2.5-cm thick, total thickness is     1058200100012 
            0.11 atoms/barn                                       1058200100013 
METHOD     Sample placed at 45 degree angle to beam. Linac pulse  1058200100014 
            width is 5 nano-sec.                                  1058200100015 
DETECTOR   (NAICR) Sodium-iodide spectrometer, 12.7-cm by 12.7-cm 1058200100016 
MONITOR    No information                                         1058200100017 
STATUS     (APRVD) Approved by G.L.Morgan, 1978/12/15.            1058200100018 
HISTORY    (19781023C)                                            1058200100019 
           (20040723A) Converted to new data formts, lower case.  1058200100020 
ENDBIB              18          0                                 1058200100021 
NOCOMMON             0          0                                 1058200100022 
ENDSUBENT           21          0                                 1058200199999 
SUBENT        10582002   20040723                             00001058200200001 
BIB                  4         14                                 1058200200002 
REACTION   (12-MG-0(N,X)0-G-0,,DA/DE)                             1058200200003 
ANALYSIS   Data are middle values of confidence interval. Each    1058200200004 
            set of data for neutron energy grouped into pulse     1058200200005 
            height bins corresponding to detector responce matrix 1058200200006 
            and unfolded using ferd.                              1058200200007 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1058200200008 
            . neutron flux measurements,                          1058200200009 
            . effective area of beam,                             1058200200010 
            . absolute efficiency of detector.                    1058200200011 
           Absolute normalization error (not included in quoted   1058200200012 
            value) approx 10%.                                    1058200200013 
           Relative error between adjacent neutron energy groups  1058200200014 
            for same gamma energy <5%.                            1058200200015 
HISTORY    (19841205A) REACTION corrected.                        1058200200016 
ENDBIB              14          0                                 1058200200017 
COMMON               1          3                                 1058200200018 
ANG                                                               1058200200019 
ADEG                                                              1058200200020 
 90.                                                              1058200200021 
ENDCOMMON            3          0                                 1058200200022 
DATA                 5       2595                                 1058200200023 
EN-MIN     EN-MAX     E          DATA       DATA-ERR              1058200200024 
  1.25       1.50      1.2000E+00 3.1588E-05 8.1017E-05           1058200200149 
  1.25       1.50      1.2400E+00 3.8823E-05 8.0690E-05           1058200200150 
  1.25       1.50      1.2800E+00 3.6138E-04 8.7013E-05           1058200200151 
  1.25       1.50      1.3200E+00 8.6245E-04 8.7392E-05           1058200200152 
  1.25       1.50      1.3600E+00 9.2112E-04 8.4916E-05           1058200200153 
  1.25       1.50      1.4000E+00 5.5034E-04 7.0504E-05           1058200200154 
  1.25       1.50      1.4400E+00 2.3336E-04 6.0221E-05           1058200200155 
  1.25       1.50      1.4800E+00 9.4847E-05 5.2569E-05           1058200200156 
  1.25       1.50      1.5200E+00 3.9012E-05 5.3267E-05           1058200200157 
  1.25       1.50      1.5600E+00 2.2800E-05 4.9845E-05           1058200200158 
  1.25       1.50      1.6000E+00 2.5732E-05 4.9454E-05           1058200200159 
  1.25       1.50      1.6400E+00 2.3657E-05 4.7236E-05           1058200200160 
  1.25       1.50      1.6800E+00 1.7291E-05 4.4827E-05           1058200200161 
  1.25       1.50      1.7200E+00 2.3376E-05 4.4524E-05           1058200200162 
  1.25       1.50      1.7600E+00 3.8342E-05 4.2686E-05           1058200200163 
  1.25       1.50      1.8000E+00 5.4994E-05 4.3639E-05           1058200200164 
  1.25       1.50      1.8500E+00 6.9080E-05 4.2649E-05           1058200200165 
  1.25       1.50      1.9100E+00 6.1781E-05 4.1469E-05           1058200200166 
  1.25       1.50      1.9700E+00 1.4738E-05 3.5831E-05           1058200200167 
  1.25       1.50      2.0300E+00-8.4049E-06 3.4657E-05           1058200200168 
  1.25       1.50      2.0900E+00 2.7106E-05 3.4154E-05           1058200200169 
  1.25       1.50      2.1500E+00 6.7118E-05 3.5849E-05           1058200200170 
  1.25       1.50      2.2100E+00 5.5060E-05 3.8747E-05           1058200200171 
  1.25       1.50      2.2700E+00 1.4926E-05 3.5318E-05           1058200200172 
  1.25       1.50      2.3300E+00-3.9386E-06 3.0334E-05           1058200200173 
  1.25       1.50      2.3900E+00-1.1096E-05 2.5980E-05           1058200200174 
  1.25       1.50      2.4500E+00-1.6157E-05 2.6467E-05           1058200200175 
  1.25       1.50      2.5100E+00-1.3978E-05 2.5954E-05           1058200200176 
  1.25       1.50      2.5700E+00 4.7231E-07 3.0927E-05           1058200200177 
  1.25       1.50      2.6300E+00 9.8609E-06 3.1293E-05           1058200200178 
  1.25       1.50      2.6900E+00 1.4604E-05 3.2609E-05           1058200200179 
