EN-MIN     EN-MAX     DATA       MISC1      MISC2                 1438300200017 
EV         EV         NO-DIM     NO-DIM     NO-DIM                1438300200018 
   18.74995   18.79317    1.20143    0.96420    1.43866           1438300200292 
   18.79317   18.83649    0.59128    0.38908    0.79348           1438300200293 
   18.83649   18.87991    1.37074    1.11290    1.62858           1438300200294 
   18.87991   18.92344    1.51519    1.23593    1.79445           1438300200295 
   18.92344   18.96706    0.89425    0.63530    1.15319           1438300200296 
   18.96706   19.01078    1.06817    0.81705    1.31930           1438300200297 
   19.01078   19.05461    1.08987    0.83803    1.34171           1438300200298 
   19.05461   19.09853    1.40257    1.10200    1.70315           1438300200299 
   19.09853   19.14256    0.74922    0.48491    1.01353           1438300200300 
   19.14256   19.18669    1.06502    0.82791    1.30213           1438300200301 
   19.18669   19.23092    1.08402    0.80899    1.35905           1438300200302 
   19.23092   19.27525    0.99506    0.78358    1.20654           1438300200303 
   19.27525   19.31968    1.51434    1.25897    1.76970           1438300200304 
   19.31968   19.36422    1.04179    0.77840    1.30518           1438300200305 
   19.36422   19.40886    0.80115    0.58764    1.01465           1438300200306 
   19.40886   19.45360    0.80266    0.56010    1.04523           1438300200307 
   19.45360   19.49845    0.14669    0.00000    0.36820           1438300200308 
   19.49845   19.54340    1.01646    0.72784    1.30507           1438300200309 
   19.54340   19.58845    0.84276    0.56919    1.11633           1438300200310 
   19.58845   19.63360    0.47837    0.25848    0.69826           1438300200311 
   19.63360   19.67886    0.87580    0.63121    1.12040           1438300200312 
   19.67886   19.72423    1.04999    0.77478    1.32521           1438300200313 
   19.72423   19.76970    0.88616    0.56478    1.20753           1438300200314 
   19.76970   19.81527    0.17683    0.00000    0.39497           1438300200315 
   19.81527   19.86095    0.70134    0.39663    1.00605           1438300200316 
   19.86095   19.90673    0.48699    0.19237    0.78161           1438300200317 
   19.90673   19.95262    0.63969    0.37969    0.89969           1438300200318 
   19.95262   19.99862    0.51826    0.25204    0.78448           1438300200319 
   19.99862   20.04472    0.68049    0.40302    0.95797           1438300200320 
   20.04472   20.09093    0.58776    0.32195    0.85356           1438300200321 
   20.09093   20.13724    0.70805    0.40894    1.00716           1438300200322 
   20.13724   20.18366    0.97305    0.68741    1.25868           1438300200323 
   20.18366   20.23019    1.11370    0.86400    1.36340           1438300200324 
   20.23019   20.27683    1.02152    0.78257    1.26047           1438300200325 
   20.27683   20.32357    0.91011    0.64802    1.17221           1438300200326 
   20.32357   20.37042    0.91337    0.64539    1.18135           1438300200327 
   20.37042   20.41738    1.21913    0.92349    1.51477           1438300200328 
   20.41738   20.46445    1.21828    0.95888    1.47767           1438300200329 
   20.46445   20.51162    0.65691    0.45359    0.86024           1438300200330 
   20.51162   20.55891    0.73265    0.53177    0.93352           1438300200331 
   20.55891   20.60630    1.16881    0.94215    1.39547           1438300200332 
   20.60630   20.65380    0.56681    0.38799    0.74562           1438300200333 
   20.65380   20.70141    1.09677    0.88216    1.31138           1438300200334 
   20.70141   20.74914    0.39210    0.24250    0.54171           1438300200335 
   20.74914   20.79697    0.81377    0.63368    0.99385           1438300200336 
   20.79697   20.84491    0.87967    0.71340    1.04593           1438300200337 
   20.84491   20.89296    0.75129    0.61286    0.88972           1438300200338 
   20.89296   20.94113    0.58075    0.45816    0.70333           1438300200339 
   20.94113   20.98940    0.57504    0.45078    0.69929           1438300200340 
   20.98940   21.03778    0.74221    0.62990    0.85451           1438300200341 
   21.03778   21.08628    0.58066    0.46946    0.69186           1438300200342 
   21.08628   21.13489    0.74178    0.63568    0.84789           1438300200343 
   21.13489   21.18361    0.72118    0.63271    0.80965           1438300200344 
   21.18361   21.23245    0.85160    0.76377    0.93944           1438300200345 
   21.23245   21.28139    0.72109    0.64901    0.79317           1438300200346 
   21.28139   21.33045    0.61323    0.55022    0.67625           1438300200347 
   21.33045   21.37962    0.71954    0.66066    0.77842           1438300200348 
   21.37962   21.42891    0.74006    0.68567    0.79444           1438300200349 
   21.42891   21.47831    0.77372    0.72192    0.82553           1438300200350 
   21.47831   21.52782    0.80198    0.75422    0.84974           1438300200351 
   21.52782   21.57744    0.67368    0.63372    0.71365           1438300200352 
   21.57744   21.62719    0.69537    0.65761    0.73314           1438300200353 
   21.62719   21.67704    0.61307    0.58066    0.64548           1438300200354 
   21.67704   21.72701    0.67601    0.64583    0.70619           1438300200355 
   21.72701   21.77710    0.65608    0.62882    0.68333           1438300200356 
   21.77710   21.82730    0.64170    0.61696    0.66645           1438300200357 
   21.82730   21.87762    0.67223    0.64895    0.69552           1438300200358 
   21.87762   21.92805    0.64404    0.62403    0.66405           1438300200359 
   21.92805   21.97860    0.59958    0.58264    0.61651           1438300200360 
   21.97860   22.02927    0.66559    0.64990    0.68127           1438300200361 
