ENTRY            11299   19810428                             00001129900000001 
SUBENT        11299001   19810428                             00001129900100001 
BIB                  6          7                                 1129900100002 
INSTITUTE  (1USAMIT)                                              1129900100003 
REFERENCE  (J,PR,86,483,52)                                       1129900100004 
AUTHOR     (J.J.HINCHEY,P.H.STELSON,W.M.PRESTON)                  1129900100005 
TITLE      THE TOTAL NEUTRON CROSS SECTION OF NITROGEN.           1129900100006 
STATUS     (SCSRS)                                                1129900100007 
HISTORY    (760714T) TRANSLATED FROM SCISRS                       1129900100008 
           (810428A) CONVERTED TO REACTION FORMALISM              1129900100009 
ENDBIB               7          0                                 1129900100010 
NOCOMMON             0          0                                 1129900100011 
ENDSUBENT           10          0                                 1129900199999 
SUBENT        11299002   19810428                             00001129900200001 
BIB                  2          2                                 1129900200002 
REACTION   (7-N-14(N,TOT),,SIG)                                   1129900200003 
SAMPLE     LIQUID NITROGEN SAMPLE.                                1129900200004 
ENDBIB               2          0                                 1129900200005 
COMMON               1          3                                 1129900200006 
EN-RSL                                                            1129900200007 
MEV                                                               1129900200008 
 0.011                                                            1129900200009 
ENDCOMMON            3          0                                 1129900200010 
DATA                 3        178                                 1129900200011 
EN         DATA       DATA-ERR                                    1129900200012 
MEV        B          PER-CENT                                    1129900200013 
 5.20   -01 5.     -03 2.40   +00                                 1129900300055 
 5.22   -01 5.     -03 2.30   +00                                 1129900300056 
 5.29   -01 5.     -03 2.32   +00                                 1129900300057 
 5.35   -01 5.     -03 2.42   +00                                 1129900300058 
 5.35   -01 5.     -03 2.21   +00                                 1129900300059 
 5.38   -01 5.     -03 2.35   +00                                 1129900300060 
 5.43   -01 5.     -03 2.26   +00                                 1129900300061 
 5.56   -01 5.     -03 2.14   +00                                 1129900300062 
 5.65   -01 5.     -03 2.15   +00                                 1129900300063 
 5.70   -01 5.     -03 2.10   +00                                 1129900300064 
 5.80   -01 5.     -03 2.10   +00                                 1129900300065 
 5.87   -01 5.     -03 1.91   +00                                 1129900300066 
 5.99   -01 5.     -03 1.69   +00                                 1129900300067 
 6.05   -01 5.     -03 1.73   +00                                 1129900300068 
 6.10   -01 5.     -03 1.53   +00                                 1129900300069 
 6.20   -01 5.     -03 1.63   +00                                 1129900300070 
 6.29   -01 5.     -03 1.84   +00                                 1129900300071 
 6.35   -01 5.     -03 2.20   +00                                 1129900300072 
 6.45   -01 5.     -03 2.53   +00                                 1129900300073 
 6.55   -01 5.     -03 2.50   +00                                 1129900300074 
 6.65   -01 5.     -03 2.51   +00                                 1129900300075 
 6.70   -01 5.     -03 2.48   +00                                 1129900300076 
 6.80   -01 5.     -03 2.37   +00                                 1129900300077 
 6.89   -01 5.     -03 2.40   +00                                 1129900300078 
 6.95   -01 5.     -03 2.30   +00                                 1129900300079 
 7.05   -01 5.     -03 2.21   +00                                 1129900300080 
 7.14   -01 5.     -03 2.15   +00                                 1129900300081 
 7.25   -01 5.     -03 2.14   +00                                 1129900300082 
 7.30   -01 5.     -03 2.12   +00                                 1129900300083 
 7.40   -01 5.     -03 1.93   +00                                 1129900300084 
 7.50   -01 5.     -03 2.10   +00                                 1129900300085 
 7.56   -01 5.     -03 1.94   +00                                 1129900300086 
 7.68   -01 5.     -03 1.95   +00                                 1129900300087 
 7.76   -01 5.     -03 1.94   +00                                 1129900300088 
 7.85   -01 5.     -03 1.95   +00                                 1129900300089 
