ENTRY            14347   20121106                             13871434700000001 
SUBENT        14347001   20121106                             13871434700100001 
BIB                 10         38                                 1434700100002 
TITLE      Measurement of neutron-induced proton-production       1434700100003 
           energy spectra with NE213 scintillator                 1434700100004 
AUTHOR     (T.Kajimoto,N.Shigyo,K.Ishibashi,H.Arakawa,R.C.Haight, 1434700100005 
           N.Fotiades)                                            1434700100006 
INSTITUTE  (2JPNKYU,1USALAS)                                      1434700100007 
REFERENCE  (J,RM,47,596,2012)                                     1434700100008 
FACILITY   (LINAC,1USALAS) Experiment was performed at the        1434700100009 
           4FP15L beam line at the Weapons Neutron Research       1434700100010 
           facility of the Los Alamos Neutron Science Center.     1434700100011 
DETECTOR   (TELES,SCIN,SCIN) Protons emitted from the target      1434700100012 
           were measured with three DE-E detectors. Each DE-E     1434700100013 
           detector was constructed with a 15 15 cm2 and 1.0 cm   1434700100014 
           thick NE102A scintillator and a NE213 scintillator     1434700100015 
           with diameter of 12.7 cm and 12.7 cm thickness.The     1434700100016 
           dE-E detectors were placed at 15, 30, and 60deg        1434700100017 
           with respect to the neutron beam direction.            1434700100018 
           (IOCH) A fission ionization chamber with 238U target   1434700100019 
            was used to determine incident neutron flux.          1434700100020 
METHOD     (TOF) Time of flight method was used to measure        1434700100021 
           incident neutron energy                                1434700100022 
           (EDE) Emitted protons were identified using E-dE method1434700100023 
INC-SOURCE (SPALL) Incident neutrons were produced by a pulsed    1434700100024 
           800 MeV proton beam from a linear accelerator on a     1434700100025 
           thick water-cooled tungsten spallation target (Target- 1434700100026 
           4). Continuous energetic neutrons from Target-4 were   1434700100027 
           delivered at 15deg with respect to the proton beam.    1434700100028 
           An absorber consisting of 10.2 cm thick polyethylene   1434700100029 
           and 3.8 cm thick copper was inserted in the beam just  1434700100030 
           downstream of the shutter to reduce the number of low  1434700100031 
           energy neutrons                                        1434700100032 
ERR-ANALYS (ERR-T) Total uncertainty                              1434700100033 
           (ERR-1) Systematic uncertainty caused by neutrons      1434700100034 
                   from preceding micropulses                     1434700100035 
           (ERR-2) Systematic uncertainty in 238U fission cross   1434700100036 
                   section used for incident neutron flux         1434700100037 
                   determination                                  1434700100038 
           (ERR-3) Systematic uncertainty in detection efficiency 1434700100039 
HISTORY    (20121106C) Compiled by S.H.                           1434700100040 
ENDBIB              38          0                                 1434700100041 
COMMON               3          3                                 1434700100042 
ERR-1      ERR-2      ERR-3                                       1434700100043 
PER-CENT   PER-CENT   PER-CENT                                    1434700100044 
  1.0        10.0       10.0                                      1434700100045 
ENDCOMMON            3          0                                 1434700100046 
ENDSUBENT           45          0                                 1434700199999 
SUBENT        14347002   20121106                             13871434700200001 
BIB                  3          6                                 1434700200002 
REACTION   (6-C-12(N,X)1-H-1,,PY/DA/DE,,AV)                       1434700200003 
STATUS     (TABLE) Data presented in fig. 13,14 sent by           1434700200004 
           author (T.K.) Not all incident neutron energy          1434700200005 
           intervals are shown in fig. 13,14                      1434700200006 
SAMPLE     Graphite sample with density of 1.86g/cm3 and          1434700200007 
           thickness of 0.76 cm.                                  1434700200008 
ENDBIB               6          0                                 1434700200009 
COMMON               1          3                                 1434700200010 
ANG                                                               1434700200011 
ADEG                                                              1434700200012 
15.0                                                              1434700200013 
ENDCOMMON            3          0                                 1434700200014 
DATA                 6        174                                 1434700200015 
EN-MIN     EN-MAX     E-MIN      E-MAX      DATA       ERR-T      1434700200016 
MEV        MEV        MEV        MEV        P/IN/MEVSR P/IN/MEVSR 1434700200017 
      145.0      155.0       60.0       70.0   2.17E-05   2.87E-061434700500097 
      145.0      155.0       70.0       80.0   2.51E-05   3.24E-061434700500098 
      145.0      155.0       80.0       90.0   2.70E-05   3.51E-061434700500099 
      145.0      155.0       90.0      100.0   2.89E-05   3.81E-061434700500100 
      145.0      155.0      100.0      110.0   3.38E-05   4.33E-061434700500101 
      145.0      155.0      110.0      120.0   3.85E-05   4.90E-061434700500102 
      145.0      155.0      120.0      130.0   2.81E-05   3.77E-061434700500103 
      190.0      210.0       40.0       50.0   1.28E-05   1.63E-061434700500104 
      190.0      210.0       50.0       60.0   1.31E-05   1.68E-061434700500105 
      190.0      210.0       60.0       70.0   1.35E-05   1.74E-061434700500106 
      190.0      210.0       70.0       80.0   1.40E-05   1.81E-061434700500107 
      190.0      210.0       80.0       90.0   1.51E-05   1.93E-061434700500108 
      190.0      210.0       90.0      100.0   1.59E-05   2.00E-061434700500109 
      190.0      210.0      100.0      110.0   1.46E-05   1.92E-061434700500110 
      190.0      210.0      110.0      120.0   1.58E-05   2.10E-061434700500111 
      190.0      210.0      120.0      130.0   1.39E-05   1.89E-061434700500112 
      240.0      260.0       40.0       50.0   8.17E-06   1.55E-061434700500113 
      240.0      260.0       50.0       60.0   8.60E-06   1.63E-061434700500114 
      240.0      260.0       60.0       70.0   7.50E-06   1.57E-061434700500115 
      240.0      260.0       70.0       80.0   8.42E-06   1.62E-061434700500116 
      240.0      260.0       80.0       90.0   8.16E-06   1.67E-061434700500117 
      240.0      260.0       90.0      100.0   8.57E-06   1.69E-061434700500118 
      240.0      260.0      100.0      110.0   8.79E-06   1.67E-061434700500119 
      240.0      260.0      110.0      120.0   7.49E-06   1.59E-061434700500120 
      240.0      260.0      120.0      130.0   7.63E-06   1.51E-061434700500121 
      290.0      310.0       40.0       50.0   8.92E-06   1.68E-061434700500122 
      290.0      310.0       50.0       60.0   8.87E-06   1.68E-061434700500123 
      290.0      310.0       60.0       70.0   8.37E-06   1.67E-061434700500124 
      290.0      310.0       70.0       80.0   9.20E-06   1.75E-061434700500125 
      290.0      310.0       80.0       90.0   8.44E-06   1.69E-061434700500126 
      290.0      310.0       90.0      100.0   8.98E-06   1.72E-061434700500127 
      290.0      310.0      100.0      110.0   7.69E-06   1.54E-061434700500128 
      290.0      310.0      110.0      120.0   6.75E-06   1.56E-061434700500129 
      290.0      310.0      120.0      130.0   6.65E-06   1.35E-061434700500130 
      340.0      360.0       40.0       50.0   8.97E-06   1.72E-061434700500131 
      340.0      360.0       50.0       60.0   8.90E-06   1.71E-061434700500132 
      340.0      360.0       60.0       70.0   7.36E-06   1.57E-061434700500133 
      340.0      360.0       70.0       80.0   8.53E-06   1.66E-061434700500134 
      340.0      360.0       80.0       90.0   8.00E-06   1.75E-061434700500135 
      340.0      360.0       90.0      100.0   7.21E-06   1.53E-061434700500136 
      340.0      360.0      100.0      110.0   7.06E-06   1.54E-061434700500137 
      340.0      360.0      110.0      120.0   6.62E-06   1.55E-061434700500138 
      340.0      360.0      120.0      130.0   5.90E-06   1.33E-061434700500139 
      385.0      415.0       40.0       50.0   8.39E-06   1.61E-061434700500140 
      385.0      415.0       50.0       60.0   8.40E-06   1.62E-061434700500141 
      385.0      415.0       60.0       70.0   8.77E-06   1.60E-061434700500142 
      385.0      415.0       70.0       80.0   7.90E-06   1.54E-061434700500143 
      385.0      415.0       80.0       90.0   7.33E-06   1.50E-061434700500144 
      385.0      415.0       90.0      100.0   7.27E-06   1.52E-061434700500145 
      385.0      415.0      100.0      110.0   7.86E-06   1.57E-061434700500146 
      385.0      415.0      110.0      120.0   6.90E-06   1.47E-061434700500147 
      385.0      415.0      120.0      130.0   5.40E-06   1.33E-061434700500148 
      435.0      465.0       40.0       50.0   8.27E-06   1.62E-061434700500149 
      435.0      465.0       50.0       60.0   8.05E-06   1.62E-061434700500150 
      435.0      465.0       60.0       70.0   7.71E-06   1.52E-061434700500151 
      435.0      465.0       70.0       80.0   8.17E-06   1.66E-061434700500152 
      435.0      465.0       80.0       90.0   9.02E-06   1.74E-061434700500153 
      435.0      465.0       90.0      100.0   7.41E-06   1.59E-061434700500154 
      435.0      465.0      100.0      110.0   8.04E-06   1.62E-061434700500155 
      435.0      465.0      110.0      120.0   7.20E-06   1.57E-061434700500156 
      435.0      465.0      120.0      130.0   6.17E-06   1.36E-061434700500157 
      480.0      520.0       40.0       50.0   9.38E-06   1.83E-061434700500158 
      480.0      520.0       50.0       60.0   9.75E-06   1.88E-061434700500159 
      480.0      520.0       60.0       70.0   1.00E-05   1.88E-061434700500160 
      480.0      520.0       70.0       80.0   9.36E-06   1.85E-061434700500161 
      480.0      520.0       80.0       90.0   9.19E-06   1.85E-061434700500162 
      480.0      520.0       90.0      100.0   1.01E-05   1.89E-061434700500163 
      480.0      520.0      100.0      110.0   8.61E-06   1.79E-061434700500164 
      480.0      520.0      110.0      120.0   7.63E-06   1.68E-061434700500165 
      480.0      520.0      120.0      130.0   7.56E-06   1.57E-061434700500166 
      530.0      570.0       40.0       50.0   1.26E-05   2.23E-061434700500167 
      530.0      570.0       50.0       60.0   1.23E-05   2.24E-061434700500168 
      530.0      570.0       60.0       70.0   1.22E-05   2.16E-061434700500169 
      530.0      570.0       70.0       80.0   1.07E-05   2.14E-061434700500170 
      530.0      570.0       80.0       90.0   1.08E-05   2.10E-061434700500171 
      530.0      570.0       90.0      100.0   1.11E-05   2.10E-061434700500172 
      530.0      570.0      100.0      110.0   1.10E-05   2.18E-061434700500173 
      530.0      570.0      110.0      120.0   9.56E-06   1.99E-061434700500174 
      530.0      570.0      120.0      130.0   8.96E-06   1.83E-061434700500175 
      580.0      620.0       40.0       50.0   1.14E-05   1.96E-061434700500176 
      580.0      620.0       50.0       60.0   1.14E-05   1.95E-061434700500177 
      580.0      620.0       60.0       70.0   1.14E-05   2.02E-061434700500178 
      580.0      620.0       70.0       80.0   1.18E-05   2.09E-061434700500179 
      580.0      620.0       80.0       90.0   1.19E-05   2.13E-061434700500180 
      580.0      620.0       90.0      100.0   1.15E-05   2.15E-061434700500181 
      580.0      620.0      100.0      110.0   1.11E-05   2.17E-061434700500182 
      580.0      620.0      110.0      120.0   1.09E-05   2.06E-061434700500183 
      580.0      620.0      120.0      130.0   9.50E-06   1.87E-061434700500184 
      630.0      670.0       40.0       50.0   5.86E-06   1.04E-061434700500185 
      630.0      670.0       50.0       60.0   6.39E-06   1.19E-061434700500186 
      630.0      670.0       60.0       70.0   7.28E-06   1.27E-061434700500187 
      630.0      670.0       70.0       80.0   8.50E-06   1.38E-061434700500188 
      630.0      670.0       80.0       90.0   8.35E-06   1.47E-061434700500189 
      630.0      670.0       90.0      100.0   7.95E-06   1.42E-061434700500190 
      630.0      670.0      100.0      110.0   7.21E-06   1.32E-061434700500191 
      630.0      670.0      110.0      120.0   7.58E-06   1.43E-061434700500192 
      630.0      670.0      120.0      130.0   7.10E-06   1.33E-061434700500193 
ENDDATA            178          0                                 1434700500194 
ENDSUBENT          193          0                                 1434700599999 
SUBENT        14347006   20121106                             13871434700600001 
BIB                  3          6                                 1434700600002 
REACTION   (13-AL-27(N,X)1-H-1,,PY/DA/DE,,AV)                     1434700600003 
STATUS     (TABLE) Data presented in figs. 15, 16 sent by         1434700600004 
           author (T.K.) Not all tabulated incident neutron energy1434700600005 
           intervals are shown in figs. 15, 16                    1434700600006 
SAMPLE     Aluminum sample with density of 2.69 g/cm3 and         1434700600007 
           thickness of 0.52 cm.                                  1434700600008 
ENDBIB               6          0                                 1434700600009 
COMMON               1          3                                 1434700600010 
ANG                                                               1434700600011 
ADEG                                                              1434700600012 
30.0                                                              1434700600013 
ENDCOMMON            3          0                                 1434700600014 
DATA                 6        177                                 1434700600015 
EN-MIN     EN-MAX     E-MIN      E-MAX      DATA       ERR-T      1434700600016 
MEV        MEV        MEV        MEV        P/IN/MEVSR P/IN/MEVSR 1434700600017 
       72.5       77.5       40.0       50.0   2.41E-05   3.20E-061434700600018 
       72.5       77.5       50.0       60.0   2.16E-05   3.06E-061434700600019 
       72.5       77.5       60.0       70.0   9.76E-06   1.59E-061434700600020 
       72.5       77.5       70.0       80.0   4.23E-07   1.11E-061434700600021 
       77.5       82.5       40.0       50.0   2.42E-05   3.28E-061434700600022 
       77.5       82.5       50.0       60.0   2.14E-05   3.01E-061434700600023 
       77.5       82.5       60.0       70.0   1.44E-05   2.35E-061434700600024 
       77.5       82.5       70.0       80.0   6.80E-06   1.38E-061434700600025 
       82.5       87.5       40.0       50.0   2.45E-05   3.24E-061434700600026 
       82.5       87.5       50.0       60.0   2.11E-05   2.88E-061434700600027 
       82.5       87.5       60.0       70.0   1.73E-05   2.53E-061434700600028 
       82.5       87.5       70.0       80.0   8.74E-06   1.47E-061434700600029 
       82.5       87.5       80.0       90.0   1.50E-06   1.02E-061434700600030 
       87.5       92.5       40.0       50.0   2.56E-05   3.32E-061434700600031 
       87.5       92.5       50.0       60.0   2.36E-05   3.23E-061434700600032 
       87.5       92.5       60.0       70.0   2.26E-05   3.04E-061434700600033 
       87.5       92.5       70.0       80.0   1.33E-05   2.22E-061434700600034 
       87.5       92.5       80.0       90.0   7.19E-06   1.37E-061434700600035 
       92.5       97.5       40.0       50.0   2.64E-05   3.43E-061434700600036 
       92.5       97.5       50.0       60.0   2.45E-05   3.22E-061434700600037 
       92.5       97.5       60.0       70.0   2.16E-05   3.04E-061434700600038 
       92.5       97.5       70.0       80.0   1.92E-05   2.66E-061434700600039 
       92.5       97.5       80.0       90.0   9.55E-06   1.74E-061434700600040 
       92.5       97.5       90.0      100.0   6.66E-07   1.09E-061434700600041 
       97.5      102.5       40.0       50.0   2.70E-05   3.44E-061434700600042 
       97.5      102.5       50.0       60.0   2.62E-05   3.38E-061434700600043 
       97.5      102.5       60.0       70.0   2.65E-05   3.44E-061434700600044 
       97.5      102.5       70.0       80.0   2.25E-05   3.01E-061434700600045 
       97.5      102.5       80.0       90.0   1.40E-05   2.21E-061434700600046 
       97.5      102.5       90.0      100.0   5.96E-06   1.23E-061434700600047 
      102.5      107.5       40.0       50.0   2.57E-05   3.26E-061434700600048 
      102.5      107.5       50.0       60.0   2.22E-05   3.01E-061434700600049 
      102.5      107.5       60.0       70.0   2.25E-05   3.07E-061434700600050 
      102.5      107.5       70.0       80.0   2.30E-05   3.08E-061434700600051 
      102.5      107.5       80.0       90.0   1.67E-05   2.38E-061434700600052 
      102.5      107.5       90.0      100.0   1.04E-05   1.77E-061434700600053 
      102.5      107.5      100.0      110.0   2.05E-06   1.06E-061434700600054 
      107.5      112.5       40.0       50.0   1.87E-05   2.51E-061434700600055 
      107.5      112.5       50.0       60.0   2.07E-05   2.75E-061434700600056 
      107.5      112.5       60.0       70.0   2.37E-05   3.05E-061434700600057 
      107.5      112.5       70.0       80.0   2.13E-05   2.88E-061434700600058 
      107.5      112.5       80.0       90.0   1.55E-05   2.27E-061434700600059 
      107.5      112.5       90.0      100.0   1.16E-05   1.93E-061434700600060 
      107.5      112.5      100.0      110.0   4.94E-06   1.17E-061434700600061 
      112.5      117.5       40.0       50.0   2.02E-05   2.64E-061434700600062 
      112.5      117.5       50.0       60.0   2.25E-05   2.92E-061434700600063 
      112.5      117.5       60.0       70.0   2.48E-05   3.15E-061434700600064 
      112.5      117.5       70.0       80.0   2.29E-05   2.99E-061434700600065 
      112.5      117.5       80.0       90.0   2.12E-05   2.86E-061434700600066 
      112.5      117.5       90.0      100.0   1.64E-05   2.29E-061434700600067 
      112.5      117.5      100.0      110.0   1.05E-05   1.67E-061434700600068 
      112.5      117.5      110.0      120.0   3.48E-06   9.74E-071434700600069 
      117.5      122.5       40.0       50.0   2.02E-05   2.56E-061434700600070 
      117.5      122.5       50.0       60.0   2.05E-05   2.67E-061434700600071 
      117.5      122.5       60.0       70.0   2.20E-05   2.88E-061434700600072 
      117.5      122.5       70.0       80.0   2.35E-05   3.07E-061434700600073 
      117.5      122.5       80.0       90.0   2.13E-05   2.80E-061434700600074 
      117.5      122.5       90.0      100.0   1.57E-05   2.34E-061434700600075 
      117.5      122.5      100.0      110.0   1.15E-05   1.86E-061434700600076 
      117.5      122.5      110.0      120.0   6.26E-06   1.21E-061434700600077 
      122.5      127.5       40.0       50.0   1.99E-05   2.53E-061434700600078 
      122.5      127.5       50.0       60.0   2.05E-05   2.64E-061434700600079 
      122.5      127.5       60.0       70.0   2.32E-05   2.97E-061434700600080 
      122.5      127.5       70.0       80.0   2.52E-05   3.17E-061434700600081 
      122.5      127.5       80.0       90.0   2.31E-05   3.00E-061434700600082 
      122.5      127.5       90.0      100.0   1.88E-05   2.49E-061434700600083 
      122.5      127.5      100.0      110.0   1.29E-05   2.00E-061434700600084 
      122.5      127.5      110.0      120.0   9.51E-06   1.62E-061434700600085 
      122.5      127.5      120.0      130.0   4.24E-06   1.06E-061434700600086 
      127.5      132.5       40.0       50.0   1.60E-05   2.13E-061434700600087 
      127.5      132.5       50.0       60.0   2.00E-05   2.52E-061434700600088 
      127.5      132.5       60.0       70.0   2.13E-05   2.72E-061434700600089 
      127.5      132.5       70.0       80.0   1.96E-05   2.55E-061434700600090 
      127.5      132.5       80.0       90.0   1.92E-05   2.58E-061434700600091 
      127.5      132.5       90.0      100.0   1.98E-05   2.62E-061434700600092 
      127.5      132.5      100.0      110.0   1.46E-05   2.03E-061434700600093 
      127.5      132.5      110.0      120.0   8.86E-06   1.50E-061434700600094 
      127.5      132.5      120.0      130.0   6.11E-06   1.20E-061434700600095 
      145.0      155.0       40.0       50.0   1.35E-05   1.68E-061434700600096 
      145.0      155.0       50.0       60.0   1.43E-05   1.79E-061434700600097 
      145.0      155.0       60.0       70.0   1.47E-05   1.86E-061434700600098 
      145.0      155.0       70.0       80.0   1.69E-05   2.09E-061434700600099 
      145.0      155.0       80.0       90.0   1.83E-05   2.28E-061434700600100 
      145.0      155.0       90.0      100.0   1.89E-05   2.37E-061434700600101 
      145.0      155.0      100.0      110.0   1.75E-05   2.22E-061434700600102 
      145.0      155.0      110.0      120.0   1.46E-05   1.91E-061434700600103 
      145.0      155.0      120.0      130.0   1.28E-05   1.71E-061434700600104 
      190.0      210.0       40.0       50.0   9.82E-06   1.19E-061434700600105 
      190.0      210.0       50.0       60.0   9.96E-06   1.24E-061434700600106 
      190.0      210.0       60.0       70.0   1.05E-05   1.30E-061434700600107 
      190.0      210.0       70.0       80.0   1.15E-05   1.41E-061434700600108 
      190.0      210.0       80.0       90.0   1.26E-05   1.53E-061434700600109 
      190.0      210.0       90.0      100.0   1.24E-05   1.52E-061434700600110 
      190.0      210.0      100.0      110.0   1.21E-05   1.47E-061434700600111 
      190.0      210.0      110.0      120.0   1.22E-05   1.50E-061434700600112 
      190.0      210.0      120.0      130.0   1.35E-05   1.65E-061434700600113 
      240.0      260.0       40.0       50.0   6.78E-06   1.14E-061434700600114 
      240.0      260.0       50.0       60.0   6.77E-06   1.14E-061434700600115 
      240.0      260.0       60.0       70.0   7.14E-06   1.25E-061434700600116 
      240.0      260.0       70.0       80.0   7.11E-06   1.20E-061434700600117 
      240.0      260.0       80.0       90.0   6.75E-06   1.16E-061434700600118 
      240.0      260.0       90.0      100.0   6.78E-06   1.19E-061434700600119 
      240.0      260.0      100.0      110.0   7.69E-06   1.29E-061434700600120 
      240.0      260.0      110.0      120.0   7.40E-06   1.27E-061434700600121 
      240.0      260.0      120.0      130.0   7.70E-06   1.31E-061434700600122 
      290.0      310.0       40.0       50.0   6.50E-06   1.13E-061434700600123 
      290.0      310.0       50.0       60.0   6.68E-06   1.17E-061434700600124 
      290.0      310.0       60.0       70.0   7.22E-06   1.26E-061434700600125 
      290.0      310.0       70.0       80.0   7.45E-06   1.29E-061434700600126 
      290.0      310.0       80.0       90.0   6.76E-06   1.20E-061434700600127 
      290.0      310.0       90.0      100.0   7.05E-06   1.22E-061434700600128 
      290.0      310.0      100.0      110.0   5.98E-06   1.09E-061434700600129 
      290.0      310.0      110.0      120.0   6.22E-06   1.12E-061434700600130 
      290.0      310.0      120.0      130.0   6.34E-06   1.12E-061434700600131 
      340.0      360.0       40.0       50.0   5.61E-06   1.02E-061434700600132 
      340.0      360.0       50.0       60.0   6.35E-06   1.15E-061434700600133 
      340.0      360.0       60.0       70.0   6.20E-06   1.15E-061434700600134 
      340.0      360.0       70.0       80.0   6.36E-06   1.16E-061434700600135 
      340.0      360.0       80.0       90.0   6.28E-06   1.13E-061434700600136 
      340.0      360.0       90.0      100.0   5.69E-06   1.05E-061434700600137 
      340.0      360.0      100.0      110.0   5.80E-06   1.06E-061434700600138 
      340.0      360.0      110.0      120.0   5.12E-06   9.46E-071434700600139 
      340.0      360.0      120.0      130.0   5.44E-06   9.48E-071434700600140 
      385.0      415.0       40.0       50.0   6.35E-06   1.08E-061434700600141 
      385.0      415.0       50.0       60.0   6.05E-06   1.04E-061434700600142 
      385.0      415.0       60.0       70.0   6.23E-06   1.06E-061434700600143 
      385.0      415.0       70.0       80.0   6.33E-06   1.11E-061434700600144 
      385.0      415.0       80.0       90.0   5.98E-06   1.04E-061434700600145 
      385.0      415.0       90.0      100.0   5.81E-06   1.01E-061434700600146 
      385.0      415.0      100.0      110.0   5.53E-06   9.89E-071434700600147 
      385.0      415.0      110.0      120.0   5.51E-06   9.57E-071434700600148 
      385.0      415.0      120.0      130.0   5.16E-06   9.05E-071434700600149 
      435.0      465.0       40.0       50.0   6.66E-06   1.11E-061434700600150 
      435.0      465.0       50.0       60.0   6.12E-06   1.07E-061434700600151 
      435.0      465.0       60.0       70.0   6.57E-06   1.14E-061434700600152 
      435.0      465.0       70.0       80.0   6.09E-06   1.09E-061434700600153 
      435.0      465.0       80.0       90.0   6.08E-06   1.11E-061434700600154 
      435.0      465.0       90.0      100.0   6.22E-06   1.09E-061434700600155 
      435.0      465.0      100.0      110.0   4.91E-06   9.82E-071434700600156 
      435.0      465.0      110.0      120.0   4.94E-06   8.88E-071434700600157 
      435.0      465.0      120.0      130.0   4.87E-06   8.85E-071434700600158 
      480.0      520.0       40.0       50.0   7.74E-06   1.33E-061434700600159 
      480.0      520.0       50.0       60.0   7.05E-06   1.25E-061434700600160 
      480.0      520.0       60.0       70.0   7.13E-06   1.25E-061434700600161 
      480.0      520.0       70.0       80.0   7.35E-06   1.26E-061434700600162 
      480.0      520.0       80.0       90.0   6.68E-06   1.20E-061434700600163 
      480.0      520.0       90.0      100.0   6.74E-06   1.21E-061434700600164 
      480.0      520.0      100.0      110.0   5.45E-06   1.06E-061434700600165 
      480.0      520.0      110.0      120.0   5.82E-06   1.04E-061434700600166 
      480.0      520.0      120.0      130.0   5.46E-06   9.79E-071434700600167 
      530.0      570.0       40.0       50.0   9.26E-06   1.53E-061434700600168 
      530.0      570.0       50.0       60.0   9.02E-06   1.54E-061434700600169 
      530.0      570.0       60.0       70.0   9.34E-06   1.60E-061434700600170 
      530.0      570.0       70.0       80.0   9.41E-06   1.57E-061434700600171 
      530.0      570.0       80.0       90.0   8.95E-06   1.54E-061434700600172 
      530.0      570.0       90.0      100.0   8.77E-06   1.54E-061434700600173 
      530.0      570.0      100.0      110.0   7.73E-06   1.37E-061434700600174 
      530.0      570.0      110.0      120.0   7.58E-06   1.33E-061434700600175 
      530.0      570.0      120.0      130.0   7.32E-06   1.33E-061434700600176 
      580.0      620.0       40.0       50.0   8.02E-06   1.32E-061434700600177 
      580.0      620.0       50.0       60.0   8.51E-06   1.40E-061434700600178 
      580.0      620.0       60.0       70.0   8.49E-06   1.42E-061434700600179 
      580.0      620.0       70.0       80.0   8.61E-06   1.43E-061434700600180 
      580.0      620.0       80.0       90.0   9.39E-06   1.52E-061434700600181 
      580.0      620.0       90.0      100.0   8.25E-06   1.44E-061434700600182 
      580.0      620.0      100.0      110.0   7.99E-06   1.31E-061434700600183 
      580.0      620.0      110.0      120.0   7.61E-06   1.29E-061434700600184 
      580.0      620.0      120.0      130.0   7.77E-06   1.37E-061434700600185 
      630.0      670.0       40.0       50.0   5.00E-06   7.99E-071434700600186 
      630.0      670.0       50.0       60.0   5.55E-06   8.86E-071434700600187 
      630.0      670.0       60.0       70.0   5.94E-06   9.80E-071434700600188 
      630.0      670.0       70.0       80.0   6.27E-06   1.01E-061434700600189 
      630.0      670.0       80.0       90.0   5.70E-06   9.59E-071434700600190 
      630.0      670.0       90.0      100.0   5.69E-06   9.45E-071434700600191 
      630.0      670.0      100.0      110.0   6.40E-06   1.05E-061434700600192 
      630.0      670.0      110.0      120.0   5.76E-06   9.50E-071434700600193 
      630.0      670.0      120.0      130.0   5.46E-06   9.60E-071434700600194 
ENDDATA            179          0                                 1434700600195 
ENDSUBENT          194          0                                 1434700699999 
SUBENT        14347007   20121106                             13871434700700001 
BIB                  3          6                                 1434700700002 
REACTION   (13-AL-27(N,X)1-H-1,,PY/DA/DE,,AV)                     1434700700003 
STATUS     (TABLE) Data presented in figs. 15, 16 sent by         1434700700004 
            author (T.K.) Not all tabulated incident neutron energ1434700700005 
           intervals are shown in figs. 15, 16                    1434700700006 
SAMPLE     Aluminum sample with density of 2.69 g/cm3 and         1434700700007 
           thickness of 0.52 cm.                                  1434700700008 
ENDBIB               6          0                                 1434700700009 
COMMON               1          3                                 1434700700010 
ANG                                                               1434700700011 
ADEG                                                              1434700700012 
60.0                                                              1434700700013 
ENDCOMMON            3          0                                 1434700700014 
DATA                 6        169                                 1434700700015 
EN-MIN     EN-MAX     E-MIN      E-MAX      DATA       ERR-T      1434700700016 
MEV        MEV        MEV        MEV        P/IN/MEVSR P/IN/MEVSR 1434700700017 
       72.5       77.5       40.0       50.0   3.84E-06   6.58E-071434700700018 
       72.5       77.5       50.0       60.0   1.66E-06   5.23E-071434700700019 
       72.5       77.5       60.0       70.0   1.75E-07   5.25E-071434700700020 
       72.5       77.5       70.0       80.0   4.10E-08   6.89E-081434700700021 
       77.5       82.5       40.0       50.0   4.28E-06   7.52E-071434700700022 
       77.5       82.5       50.0       60.0   2.55E-06   5.43E-071434700700023 
       82.5       87.5       40.0       50.0   5.65E-06   8.24E-071434700700024 
       82.5       87.5       50.0       60.0   2.55E-06   5.57E-071434700700025 
       82.5       87.5       60.0       70.0   9.81E-07   4.49E-071434700700026 
       82.5       87.5       80.0       90.0   4.00E-09   8.29E-081434700700027 
       87.5       92.5       40.0       50.0   5.40E-06   8.53E-071434700700028 
       87.5       92.5       50.0       60.0   2.92E-06   6.42E-071434700700029 
       87.5       92.5       60.0       70.0   1.94E-06   5.04E-071434700700030 
       87.5       92.5       70.0       80.0   6.16E-09   5.46E-071434700700031 
       87.5       92.5       80.0       90.0   4.08E-07   2.06E-071434700700032 
       92.5       97.5       40.0       50.0   5.29E-06   8.22E-071434700700033 
       92.5       97.5       50.0       60.0   3.15E-06   6.46E-071434700700034 
       92.5       97.5       60.0       70.0   3.02E-06   5.97E-071434700700035 
       92.5       97.5       70.0       80.0   2.04E-06   4.72E-071434700700036 
       92.5       97.5       80.0       90.0   0.00E+00   0.00E+001434700700037 
       92.5       97.5       90.0      100.0   1.92E-07   9.78E-081434700700038 
       97.5      102.5       40.0       50.0   7.51E-06   1.01E-061434700700039 
       97.5      102.5       50.0       60.0   4.63E-06   7.17E-071434700700040 
       97.5      102.5       60.0       70.0   3.76E-06   6.12E-071434700700041 
       97.5      102.5       70.0       80.0   2.08E-06   4.79E-071434700700042 
       97.5      102.5       80.0       90.0   1.42E-06   6.10E-071434700700043 
       97.5      102.5       90.0      100.0   1.74E-07   1.40E-071434700700044 
      102.5      107.5       40.0       50.0   6.00E-06   8.78E-071434700700045 
      102.5      107.5       50.0       60.0   4.33E-06   7.04E-071434700700046 
      102.5      107.5       60.0       70.0   3.29E-06   6.01E-071434700700047 
      102.5      107.5       70.0       80.0   1.95E-06   5.34E-071434700700048 
      102.5      107.5       80.0       90.0   9.25E-07   4.74E-071434700700049 
      107.5      112.5       40.0       50.0   5.36E-06   8.20E-071434700700050 
      107.5      112.5       50.0       60.0   4.53E-06   7.53E-071434700700051 
      107.5      112.5       60.0       70.0   3.71E-06   5.93E-071434700700052 
      107.5      112.5       70.0       80.0   2.50E-06   5.05E-071434700700053 
      107.5      112.5       80.0       90.0   1.84E-06   4.05E-071434700700054 
      107.5      112.5       90.0      100.0   0.00E+00   0.00E+001434700700055 
      107.5      112.5      100.0      110.0   4.30E-07   1.59E-071434700700056 
