EN         EN-ERR     ANG-CM     DATA-CM    DATA-ERR              D027000200015 
MEV        MEV        ADEG       MB/SR      MB/SR                 D027000200016 
 21.200     0.330      148.42     143.44     6.5714               D027000300069 
 21.200     0.330      150.73     169.67     6.5714               D027000300070 
 21.200     0.330      152.76     155.17     6.5714               D027000300071 
 21.200     0.330      154.52     135.42     3.9428               D027000300072 
 21.200     0.330      156.27     89.382     5.2625               D027000300073 
 21.200     0.330      158.52     40.706     5.2571               D027000300074 
 21.200     0.330      160.28     7.8109     5.2571               D027000300075 
 21.200     0.330      162.33     14.339     5.2517               D027000300076 
 21.200     0.330      164.66     66.862     5.2625               D027000300077 
 21.200     0.330      166.34     250.83     9.1999               D027000300078 
 21.200     0.330      167.65     303.37     18.400               D027000300079 
 21.200     0.330      170.51     691.03     51.251               D027000300080 
 21.200     0.330      171.45     911.81     63.080               D027000300081 
 21.700     0.280      130.45     93.499     6.5660               D027000300082 
 21.700     0.280      132.26     75.108     5.2528               D027000300083 
 21.700     0.280      134.86     48.836     5.2528               D027000300084 
 21.700     0.280      137.45     31.757     3.9388               D027000300085 
 21.700     0.280      138.49     15.995     5.2528               D027000300086 
 21.700     0.280      140.56     12.049     3.9396               D027000300087 
 21.700     0.280      142.90     26.487     5.2528               D027000300088 
 21.700     0.280      144.99     60.624     5.2528               D027000300089 
 21.700     0.280      146.81     90.822     6.5652               D027000300090 
 21.700     0.280      149.15     145.97     6.5660               D027000300091 
 21.700     0.280      150.97     182.73     6.5668               D027000300092 
 21.700     0.280      153.05     184.04     9.1924               D027000300093 
 21.700     0.280      155.13     156.46     10.506               D027000300094 
 21.700     0.280      157.20     105.23     5.2528               D027000300095 
 21.700     0.280      159.01     69.773     6.5660               D027000300096 
 21.700     0.280      161.08     17.239     5.2536               D027000300097 
 21.700     0.280      163.16     9.3532     3.9404               D027000300098 
 21.700     0.280      164.98     32.985     5.2528               D027000300099 
 21.700     0.280      167.07     114.40     7.8792               D027000300100 
 21.700     0.280      168.66     348.14     22.323               D027000300101 
 21.700     0.280      170.24     584.51     42.022               D027000300102 
 21.700     0.280      171.80     585.82     42.024               D027000300103 
 22.300     0.330      132.45     56.071     5.2665               D027000300104 
 22.300     0.330      134.53     56.049     5.2665               D027000300105 
 22.300     0.330      136.60     42.861     5.2665               D027000300106 
 22.300     0.330      138.93     30.987     6.5831               D027000300107 
 22.300     0.330      140.75     24.385     5.2665               D027000300108 
 22.300     0.330      143.08     26.994     5.2665               D027000300109 
 22.300     0.330      144.65     36.194     5.2665               D027000300110 
 22.300     0.330      146.99     46.703     5.2665               D027000300111 
 22.300     0.330      148.81     55.900     5.2665               D027000300112 
 22.300     0.330      150.90     79.578     9.2136               D027000300113 
 22.300     0.330      152.72     80.875     9.2163               D027000300114 
 22.300     0.330      154.80     84.803     6.5831               D027000300115 
 22.300     0.330      156.86     62.399     6.5858               D027000300116 
 22.300     0.330      158.42     66.333     5.2665               D027000300117 
 22.300     0.330      160.75     34.710     5.2665               D027000300118 
 22.300     0.330      162.82     20.205     5.2638               D027000300119 
 22.300     0.330      165.16     29.397     5.2665               D027000300120 
 22.300     0.330      167.26     66.241     7.8997               D027000300121 
 22.300     0.330      168.30     92.562     6.5831               D027000300122 
 22.300     0.330      169.37     164.97     17.113               D027000300123 
 22.300     0.330      170.45     255.80     10.536               D027000300124 
 22.900     0.280      133.07     43.431     5.2632               D027000300125 
 22.900     0.280      135.38     28.964     3.9474               D027000300126 
 22.900     0.280      136.92     13.179     5.2632               D027000300127 
 22.900     0.280      139.23     5.2916     5.2632               D027000300128 
 22.900     0.280      141.28     10.561     6.5789               D027000300129 
 22.900     0.280      143.59     17.147     5.2632               D027000300130 
 22.900     0.280      145.38     35.574     6.5789               D027000300131 
 22.900     0.280      146.92     55.315     5.2632               D027000300132 
 22.900     0.280      148.97     65.848     6.5789               D027000300133 
 22.900     0.280      150.50     69.800     5.2632               D027000300134 
 22.900     0.280      153.07     60.597     5.2624               D027000300135 
 22.900     0.280      155.12     50.077     5.2624               D027000300136 
 22.900     0.280      157.18     32.978     3.9466               D027000300137 
 22.900     0.280      158.97     14.563     6.5789               D027000300138 
 22.900     0.280      160.77     7.9894     5.2632               D027000300139 
 22.900     0.280      162.82     11.943     5.2632               D027000300140 
 22.900     0.280      164.61     36.949     5.2639               D027000300141 
 22.900     0.280      166.66     93.534     6.5789               D027000300142 
 22.900     0.280      167.68     135.64     9.2097               D027000300143 
 22.900     0.280      169.72     205.39     10.526               D027000300144 
 22.900     0.280      171.26     205.39     13.158               D027000300145 
 23.400     0.270      130.12     58.405     5.2735               D027000300146 
 23.400     0.270      131.43     62.368     5.2719               D027000300147 
 23.400     0.270      132.73     62.377     5.2752               D027000300148 
 23.400     0.270      134.57     41.294     5.2736               D027000300149 
 23.400     0.270      136.66     26.804     5.2752               D027000300150 
 23.400     0.270      139.02     10.998     5.2735               D027000300151 
 23.400     0.270      140.85     4.4179     5.2719               D027000300152 
 23.400     0.270      143.20     9.7061     5.2719               D027000300153 
 23.400     0.270      145.81     28.180     5.2735               D027000300154 
 23.400     0.270      149.46     57.207     5.2719               D027000300155 
 23.400     0.270      153.64     77.009     6.5903               D027000300156 
 23.400     0.270      157.57     50.665     3.9552               D027000300157 
 23.400     0.270      159.14     30.899     7.9087               D027000300158 
 23.400     0.270      161.24     11.137     5.2735               D027000300159 
 23.400     0.270      163.85     7.1977     5.2735               D027000300160 
 23.400     0.270      165.42     25.665     3.9552               D027000300161 
 23.400     0.270      167.50     75.777     7.9103               D027000300162 
 23.400     0.270      169.31     120.61     7.9103               D027000300163 
 23.400     0.270      170.85     251.14     15.821               D027000300164 
ENDDATA            150          0                                 D027000300165 
ENDSUBENT          164          0                                 D027000399999 
SUBENT        D0270004   20050407                             D040D027000400001 
BIB                  4          5                                 D027000400002 
REACTION   (8-O-16(A,EL)8-O-16,,DA)                               D027000400003 
DETECTOR   (PLATE) Ilford K1 emulsions, size 5 x 2 inches,        D027000400004 
           100 mu-m thick. 7 plates were used.                    D027000400005 
ERR-ANALYS (EN-ERR-DIG) Digitizing error                          D027000400006 
STATUS     (CURVE)Curves from fig.7 of the article                D027000400007 
ENDBIB               5          0                                 D027000400008 
COMMON               3          3                                 D027000400009 
ANG-CM     EN-ERR-DIG ERR-DIG                                     D027000400010 
ADEG       MEV        PER-CENT                                    D027000400011 
  170.0      1.        0.5                                        D027000400012 
ENDCOMMON            3          0                                 D027000400013 
DATA                 4          7                                 D027000400014 
