ENTRY            D0845   20170719                             D111D0845  0    1 
SUBENT        D0845001   20170719                             D111D0845  1    1 
BIB                 11         16                                 D0845  1    2 
TITLE      Multinucleon transfer processes in 40Ca+208Pb          D0845  1    3 
AUTHOR     (S.Szilner, L.Corradi, G.Pollarolo, S.Beghini,         D0845  1    4 
            B.R.Behera, E.Fioretto, A.Gadea, F.Haas, A.Latina,    D0845  1    5 
            G.Montagnoli, F.Scarlassara, A.M.Stefanini, M.Trotta, D0845  1    6 
            A.M.Vinodkumar, Y.Wu)                                 D0845  1    7 
INSTITUTE  (2ITYPAD,2ITYTUR,2ITYUPV,2FR ULP,3CRORBZ)              D0845  1    8 
REFERENCE  (J,PR/C,71,044610,2005)                                D0845  1    9 
SAMPLE     200 ug/cm2 208Pb target sandwiched between carbon foilsD0845  1   10 
METHOD     (TOF,EDE)                                              D0845  1   11 
FACILITY   (VDGT,2ITYPAD) Tandem+ALPI accelerator complex.        D0845  1   12 
DETECTOR   (MCPLT,IOCH) Detection of light reaction products      D0845  1   13 
           (SI) Monitor for absolute normalization.               D0845  1   14 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   D0845  1   15 
STATUS     (APRVD) Approved by Suzana Szilner (2017-07-21)        D0845  1   16 
HISTORY    (20170627R) Received by e-mail from S.Szilner          D0845  1   17 
           (20170713C) M.Odsuren, N.Otsuka                        D0845  1   18 
ENDBIB              16          0                                 D0845  1   19 
NOCOMMON             0          0                                 D0845  1   20 
ENDSUBENT           19          0                                 D0845  199999 
SUBENT        D0845002   20170719                             D111D0845  2    1 
BIB                  2          2                                 D0845  2    2 
REACTION   (82-PB-208(20-CA-40,X)ELEM/MASS,,DA)                   D0845  2    3 
STATUS     (TABLE) Fig.6 of Phys.Rev.C71(2005)044610              D0845  2    4 
ENDBIB               2          0                                 D0845  2    5 
NOCOMMON             0          0                                 D0845  2    6 
DATA                 6        172                                 D0845  2    7 
EN         ELEMENT    MASS       ANG-CM     DATA-CM    DATA-ERR   D0845  2    8 
 235.       19.        42.          7.        1.                  D0845  3   50 
 235.       19.        43.          4.        1.                  D0845  3   51 
 235.       19.        44.          0.9       0.9                 D0845  3   52 
 235.       19.        45.          0.2       0.9                 D0845  3   53 
 235.       20.        41.        136.       14.                  D0845  3   54 
 235.       20.        42.         50.        5.                  D0845  3   55 
 235.       20.        43.         11.        2.                  D0845  3   56 
 235.       20.        44.          4.        1.                  D0845  3   57 
 235.       20.        45.          1.        1.                  D0845  3   58 
 235.       20.        46.          0.7       1.                  D0845  3   59 
 235.       20.        47.          0.1       1.                  D0845  3   60 
 249.       14.        29.          0.32      0.06                D0845  3   61 
 249.       14.        30.          0.98      0.09                D0845  3   62 
 249.       14.        31.          1.4       0.3                 D0845  3   63 
 249.       14.        32.          1.1       0.2                 D0845  3   64 
 249.       14.        33.          0.6       0.1                 D0845  3   65 
 249.       14.        34.          0.22      0.09                D0845  3   66 
 249.       15.        31.          0.30      0.06                D0845  3   67 
 249.       15.        32.          1.4       0.3                 D0845  3   68 
 249.       15.        33.          3.6       0.7                 D0845  3   69 
 249.       15.        34.          2.6       0.5                 D0845  3   70 
 249.       15.        35.          1.7       0.3                 D0845  3   71 
 249.       15.        36.          0.15      0.04                D0845  3   72 
 249.       16.        33.          0.4       0.4                 D0845  3   73 
 249.       16.        34.          6.8       0.8                 D0845  3   74 
 249.       16.        35.          7.1       0.6                 D0845  3   75 
 249.       16.        36.          6.6       0.6                 D0845  3   76 
 249.       16.        37.          3.5       0.5                 D0845  3   77 
 249.       16.        38.          1.2       0.3                 D0845  3   78 
 249.       16.        39.          0.3       0.1                 D0845  3   79 
 249.       17.        35.          2.3       0.7                 D0845  3   80 
 249.       17.        36.          8.        2.                  D0845  3   81 
 249.       17.        37.         18.        3.                  D0845  3   82 
 249.       17.        38.         10.        2.                  D0845  3   83 
 249.       17.        39.          5.        1.                  D0845  3   84 
 249.       17.        40.          1.8       0.4                 D0845  3   85 
 249.       17.        41.          0.49      0.07                D0845  3   86 
 249.       17.        42.          0.14      0.09                D0845  3   87 
 249.       18.        36.          1.65      0.3                 D0845  3   88 
 249.       18.        37.         11.        2.                  D0845  3   89 
 249.       18.        38.         42.        8.                  D0845  3   90 
 249.       18.        39.         24.        5.                  D0845  3   91 
 249.       18.        40.         14.        3.                  D0845  3   92 
 249.       18.        41.          5.        1.                  D0845  3   93 
 249.       18.        42.          2.6       0.5                 D0845  3   94 
 249.       18.        43.          0.4       0.1                 D0845  3   95 
 249.       19.        38.          2.7       0.5                 D0845  3   96 
 249.       19.        39.         49.        9.                  D0845  3   97 
 249.       19.        40.         35.        7.                  D0845  3   98 
 249.       19.        41.         23.        5.                  D0845  3   99 
 249.       19.        42.          8.        2.                  D0845  3  100 
 249.       19.        43.          3.8       0.8                 D0845  3  101 
 249.       19.        44.          1.2       0.3                 D0845  3  102 
 249.       20.        41.        120.       20.                  D0845  3  103 
 249.       20.        42.         55.        9.                  D0845  3  104 
 249.       20.        43.         13.        3.                  D0845  3  105 
 249.       20.        44.          5.        1.                  D0845  3  106 
 249.       20.        45.          1.6       0.3                 D0845  3  107 
 249.       20.        46.          0.8       0.2                 D0845  3  108 
ENDDATA             99          0                                 D0845  3  109 
ENDSUBENT          108          0                                 D0845  399999 
ENDENTRY             3          0                                 D084599999999 
