EN         ANG        E          DATA       DATA-ERR              D801100200009 
MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV             D801100200010 
 23.        120.       22.75      1.4456E-02  6.112E-03           D801100200296 
 23.        120.       23.25      1.4456E-02  6.112E-03           D801100200297 
 23.        135.        3.25      4.9833E+00  5.583E-01           D801100200298 
 23.        135.        3.75      7.7674E+00  8.642E-01           D801100200299 
 23.        135.        4.25      9.0289E+00  1.004E+00           D801100200300 
 23.        135.        4.75      9.3665E+00  1.041E+00           D801100200301 
 23.        135.        5.25      9.3480E+00  1.039E+00           D801100200302 
 23.        135.        5.75      8.7732E+00  9.754E-01           D801100200303 
 23.        135.        6.25      7.9995E+00  8.902E-01           D801100200304 
 23.        135.        6.75      6.9219E+00  7.716E-01           D801100200305 
 23.        135.        7.25      5.9712E+00  6.670E-01           D801100200306 
 23.        135.        7.75      5.3308E+00  5.965E-01           D801100200307 
 23.        135.        8.25      4.3451E+00  4.880E-01           D801100200308 
 23.        135.        8.75      3.6129E+00  4.074E-01           D801100200309 
 23.        135.        9.25      3.2566E+00  3.682E-01           D801100200310 
 23.        135.        9.75      2.7124E+00  3.083E-01           D801100200311 
 23.        135.       10.25      2.0480E+00  2.351E-01           D801100200312 
 23.        135.       10.75      1.7966E+00  2.074E-01           D801100200313 
 23.        135.       11.25      1.4141E+00  1.653E-01           D801100200314 
 23.        135.       11.75      1.1781E+00  1.392E-01           D801100200315 
 23.        135.       12.25      9.8354E-01  1.178E-01           D801100200316 
 23.        135.       12.75      8.1743E-01  9.939E-02           D801100200317 
 23.        135.       13.25      6.2947E-01  7.858E-02           D801100200318 
 23.        135.       13.75      5.2456E-01  6.692E-02           D801100200319 
 23.        135.       14.25      5.2456E-01  6.692E-02           D801100200320 
 23.        135.       14.75      3.3460E-01  4.565E-02           D801100200321 
 23.        135.       15.25      3.1473E-01  4.345E-02           D801100200322 
 23.        135.       15.75      2.4261E-01  3.524E-02           D801100200323 
 23.        135.       16.25      2.2075E-02  3.275E-02           D801100200324 
 23.        135.       16.75      1.5955E-01  2.563E-02           D801100200325 
 23.        135.       17.25      1.3114E-01  2.225E-02           D801100200326 
 23.        135.       17.75      9.3983E-02  1.767E-02           D801100200327 
 23.        135.       18.25      8.5240E-02  1.656E-02           D801100200328 
 23.        135.       18.75      8.9612E-02  1.712E-02           D801100200329 
 23.        135.       19.25      6.5569E-02  1.398E-02           D801100200330 
 23.        135.       19.75      6.5569E-02  1.398E-02           D801100200331 
 23.        135.       20.25      4.3713E-02  1.089E-02           D801100200332 
 23.        135.       20.75      2.1856E-02  7.318E-03           D801100200333 
 23.        135.       21.25      3.2785E-02  9.202E-03           D801100200334 
 23.        135.       21.75      2.4042E-02  7.717E-03           D801100200335 
 23.        135.       22.25      2.4042E-02  7.717E-03           D801100200336 
 23.        135.       22.75      2.4042E-02  7.717E-03           D801100200337 
 23.        150.        3.25      4.8509E+00  5.376E-01           D801100200338 
 23.        150.        3.75      7.5462E+00  8.342E-01           D801100200339 
 23.        150.        4.25      8.6804E+00  9.590E-01           D801100200340 
 23.        150.        4.75      9.0715E+00  1.002E+00           D801100200341 
 23.        150.        5.25      8.7950E+00  9.717E-01           D801100200342 
 23.        150.        5.75      8.2430E+00  9.113E-01           D801100200343 
 23.        150.        6.25      7.3652E+00  8.143E-01           D801100200344 
 23.        150.        6.75      6.2932E+00  6.963E-01           D801100200345 
 23.        150.        7.25      5.5525E+00  6.148E-01           D801100200346 
 23.        150.        7.75      4.6533E+00  5.159E-01           D801100200347 
 23.        150.        8.25      3.9275E+00  4.360E-01           D801100200348 
 23.        150.        8.75      3.1952E+00  3.554E-01           D801100200349 
 23.        150.        9.25      2.7667E+00  3.082E-01           D801100200350 
 23.        150.        9.75      2.2675E+00  2.528E-01           D801100200351 
 23.        150.       10.25      1.8103E+00  2.040E-01           D801100200352 
 23.        150.       10.75      1.5552E+00  1.749E-01           D801100200353 
 23.        150.       11.25      1.2663E+00  1.431E-01           D801100200354 
 23.        150.       11.75      1.0406E+00  1.192E-01           D801100200355 
 23.        150.       12.25      7.9464E-01  9.114E-02           D801100200356 
 23.        150.       12.75      6.8171E-01  7.870E-02           D801100200357 
 23.        150.       13.25      5.5135E-01  6.434E-02           D801100200358 
 23.        150.       13.75      4.2846E-01  5.078E-02           D801100200359 
 23.        150.       14.25      4.0853E-01  4.859E-02           D801100200360 
 23.        150.       14.75      3.1304E-01  3.804E-02           D801100200361 
 23.        150.       15.25      2.3500E-01  2.912E-02           D801100200362 
 23.        150.       15.75      2.1340E-01  2.699E-02           D801100200363 
 23.        150.       16.25      1.5105E-01  2.014E-02           D801100200364 
 23.        150.       16.75      1.0898E-01  1.528E-02           D801100200365 
 23.        150.       17.25      1.1542E-01  1.604E-02           D801100200366 
 23.        150.       17.75      8.3865E-02  1.244E-02           D801100200367 
 23.        150.       18.25      6.7258E-02  1.052E-02           D801100200368 
 23.        150.       18.75      7.1410E-02  1.101E-02           D801100200369 
 23.        150.       19.25      4.8160E-02  8.251E-02           D801100200370 
 23.        150.       19.75      3.1553E-02  6.185E-03           D801100200371 
 23.        150.       20.25      2.5741E-02  5.422E-03           D801100200372 
 23.        150.       20.75      2.5741E-02  5.422E-03           D801100200373 
 23.        150.       21.25      1.9928E-02  4.621E-03           D801100200374 
 23.        150.       21.75      2.4078E-02  5.310E-03           D801100200375 
 23.        150.       22.25      1.9098E-02  4.503E-03           D801100200376 
 23.        150.       22.75      1.4976E-02  3.888E-03           D801100200377 
 23.        150.       23.25      8.3035E-03  2.780E-03           D801100200378 
 23.        150.       23.75      8.3035E-03  2.780E-03           D801100200379 
