ANG        E-MIN      E-MAX      DATA                             S000900200017 
ADEG       MEV        MEV        ARB-UNITS                        S000900200018 
130.0      18.1       18.5        0.0                             S000900200320 
130.0      18.5       18.9        0.0                             S000900200321 
130.0      18.9       19.3        0.0                             S000900200322 
130.0      19.3       19.7        0.0                             S000900200323 
130.0      19.7       20.1        0.0                             S000900200324 
130.0      20.1       20.5        0.0                             S000900200325 
130.0      20.5       20.9        0.0                             S000900200326 
130.0      20.9       21.3        0.0                             S000900200327 
130.0      21.3       21.7        0.0                             S000900200328 
130.0      21.7       22.1        0.0                             S000900200329 
130.0      22.1       22.5        0.0                             S000900200330 
130.0      22.5       22.9        0.0                             S000900200331 
130.0      22.9       23.3        0.0                             S000900200332 
130.0      23.3       23.7        0.0                             S000900200333 
130.0      23.7       24.1        0.0                             S000900200334 
130.0      24.1       24.5        0.0                             S000900200335 
130.0      24.5       24.9        0.0                             S000900200336 
130.0      24.9       25.3        0.0                             S000900200337 
130.0      25.3       25.7        0.0                             S000900200338 
ENDDATA            322          0                                 S000900200339 
ENDSUBENT          338          0                                 S000900299999 
SUBENT        S0009003   20080311                             Y006S000900300001 
BIB                  4          6                                 S000900300002 
REACTION   (3-LI-7(D,X)0-NN-1,,DE,,REL) average spectrum for      S000900300003 
           total space                                            S000900300004 
ANALYSIS   Data obtained from integration of differential         S000900300005 
           data of subentry .002.                                 S000900300006 
STATUS     (DEP,S0009002)                                         S000900300007 
ERR-ANALYS (DATA-ERR) no information given.                       S000900300008 
ENDBIB               6          0                                 S000900300009 
COMMON               1          3                                 S000900300010 
EN                                                                S000900300011 
MEV                                                               S000900300012 
13.2                                                              S000900300013 
ENDCOMMON            3          0                                 S000900300014 
DATA                 4         64                                 S000900300015 
E-MIN      E-MAX      DATA       DATA-ERR                         S000900300016 
MEV        MEV        ARB-UNITS  ARB-UNITS                        S000900300017 
 0.1        0.5        2.710     0.420                            S000900300018 
 0.5        0.9        3.489     0.611                            S000900300019 
 0.9        1.3       10.486     2.793                            S000900300020 
 1.3        1.7        9.107     2.602                            S000900300021 
 1.7        2.1        8.941     2.578                            S000900300022 
 2.1        2.5        8.451     2.507                            S000900300023 
 2.5        2.9        9.224     2.619                            S000900300024 
 2.9        3.3        8.637     2.534                            S000900300025 
 3.3        3.7        6.898     2.265                            S000900300026 
 3.7        4.1        8.150     2.461                            S000900300027 
 4.1        4.5        6.359     2.174                            S000900300028 
 4.5        4.9        5.563     2.033                            S000900300029 
 4.9        5.3        3.870     1.696                            S000900300030 
 5.3        5.7        3.383     1.586                            S000900300031 
 5.7        6.1        4.096     1.745                            S000900300032 
 6.1        6.5        3.473     1.607                            S000900300033 
 6.5        6.9        3.682     1.654                            S000900300034 
 6.9        7.3        3.190     1.540                            S000900300035 
 7.3        7.7        1.919     1.195                            S000900300036 
 7.7        8.1        3.272     1.560                            S000900300037 
 8.1        8.5        2.046     1.234                            S000900300038 
 8.5        8.9        1.921     1.195                            S000900300039 
 8.9        9.3        1.443     1.036                            S000900300040 
 9.3        9.7        0.941     0.836                            S000900300041 
 9.7       10.1        1.002     0.863                            S000900300042 
10.1       10.5        1.020     0.871                            S000900300043 
10.5       10.9        0.794     0.768                            S000900300044 
10.9       11.3        0.699     0.720                            S000900300045 
11.3       11.7        1.083     0.897                            S000900300046 
11.7       12.1        1.039     0.879                            S000900300047 
12.1       12.5        0.446     0.276                            S000900300048 
12.5       12.9        0.606     0.197                            S000900300049 
12.9       13.3        0.376     0.185                            S000900300050 
13.3       13.7        0.484     0.203                            S000900300051 
13.7       14.1        0.356     0.211                            S000900300052 
14.1       14.5        0.319     0.200                            S000900300053 
14.5       14.9        0.229     0.178                            S000900300054 
14.9       15.3        0.148     0.131                            S000900300055 
15.3       15.7        0.644     0.452                            S000900300056 
15.7       16.1        0.0       0.0                              S000900300057 
16.1       16.5        0.059     0.049                            S000900300058 
16.5       16.9        0.116     0.096                            S000900300059 
16.9       17.3        0.067     0.043                            S000900300060 
17.3       17.7        0.720     0.537                            S000900300061 
