ENTRY            K2285   20110502                             K010K228500000001 
SUBENT        K2285001   20110502                             K010K228500100001 
BIB                 12         26                                 K228500100002 
TITLE      pi0 photoproduction on deuteron for photon energies    K228500100003 
           from 0.6 to 1.15 GeV                                   K228500100004 
AUTHOR     (F.Miyahara, H.Fukasawa, R.Hashimoto, T.Ishikawa,      K228500100005 
            M.Itoh, T.Iwata, H.Kanda, J.Kasagi, H.Kato,           K228500100006 
            T.Kinoshita, K.Maeda, M.Matsuzawa, T.Michigami,       K228500100007 
            K.Motiduki, K.Murakami, T.Nakabayashi, K.Nawa,        K228500100008 
            T.Nomura, K.Okamura, H.Okamura, H.Okuyama, Y.Onodera, K228500100009 
            Y.Saito, T.Sasaki, H.Shimizu, T.Shishido, S.Suzuki,   K228500100010 
            K.Suzuki, Y.Tajima, S.Takita, T.Takahashi, H.Ueno,    K228500100011 
            S.Yamagushi, H.Yamazaki, H.Y.Yoshida)                 K228500100012 
INSTITUTE  (2JPNTOH) Laboratory of Nuclear Science                K228500100013 
           (2JPNTOH) Cyclotron and Radioisotope Center            K228500100014 
           (2JPNYMG) Department of Physics                        K228500100015 
           (2JPNTOH) Department of Physics                        K228500100016 
           (2JPNOSA) Research Center for Nuclear Physics          K228500100017 
           (2JPNKEK)                                              K228500100018 
REFERENCE  (J,CNPR,26,(S),104,200907)                             K228500100019 
PART-DET   (G)                                                    K228500100020 
INC-SOURCE (TAGD)                                                 K228500100021 
SAMPLE     - Chemical-form of target is element.                  K228500100022 
           - Physical-form of target is solid.                    K228500100023 
METHOD     (COINC) Invariant mass analysis of two gammas          K228500100024 
FACILITY   (SRING,2JPNTOH) Laboratory for Nuclear Science         K228500100025 
DETECTOR   (CSICR,SCIN) Electromagnetic calorimeter SCISSORS II   K228500100026 
STATUS     (PRELM) Indicated by authors in figures                K228500100027 
HISTORY    (20100820C)                                            K228500100028 
ENDBIB              26          0                                 K228500100029 
NOCOMMON             0          0                                 K228500100030 
ENDSUBENT           29          0                                 K228500199999 
SUBENT        K2285002   20110502                             K010K228500200001 
BIB                  3          3                                 K228500200002 
REACTION   (1-H-1(G,PI0)1-H-1,,DA)                                K228500200003 
ERR-ANALYS (ERR-S) Statistical uncertainty                        K228500200004 
STATUS     (TABLE) Plotted in Fig.2 of J,CNPR,26,(S),104,2009     K228500200005 
ENDBIB               3          0                                 K228500200006 
NOCOMMON             0          0                                 K228500200007 
DATA                 4        766                                 K228500200008 
      0.778      -0.05       5.12       0.31                      K228500300181 
      0.778       0.05       5.74       0.26                      K228500300182 
      0.778       0.15       5.86       0.22                      K228500300183 
      0.778       0.25       5.22       0.19                      K228500300184 
      0.778       0.35       4.68       0.16                      K228500300185 
      0.778       0.45       4.45       0.15                      K228500300186 
      0.778       0.55       4.08       0.14                      K228500300187 
      0.778       0.65       4.00       0.14                      K228500300188 
      0.778       0.75       3.17       0.15                      K228500300189 
      0.778       0.85       3.20       0.36                      K228500300190 
      0.796      -0.85       4.06       1.00                      K228500300191 
      0.796      -0.75       3.62       0.61                      K228500300192 
      0.796      -0.65       4.23       0.57                      K228500300193 
      0.796      -0.55       4.25       0.41                      K228500300194 
      0.796      -0.45       4.76       0.35                      K228500300195 
      0.796      -0.35       5.13       0.31                      K228500300196 
      0.796      -0.25       5.69       0.35                      K228500300197 
      0.796      -0.15       5.12       0.40                      K228500300198 
      0.796      -0.05       5.96       0.35                      K228500300199 
      0.796       0.05       5.43       0.29                      K228500300200 
      0.796       0.15       5.48       0.23                      K228500300201 
      0.796       0.25       5.28       0.22                      K228500300202 
      0.796       0.35       4.37       0.18                      K228500300203 
      0.796       0.45       4.25       0.17                      K228500300204 
      0.796       0.55       3.59       0.15                      K228500300205 
      0.796       0.65       3.82       0.16                      K228500300206 
      0.796       0.75       3.08       0.17                      K228500300207 
      0.796       0.85       3.17       0.38                      K228500300208 
      0.807      -0.85       3.81       0.77                      K228500300209 
      0.807      -0.75       4.09       0.57                      K228500300210 
      0.807      -0.65       4.09       0.39                      K228500300211 
      0.807      -0.55       4.49       0.33                      K228500300212 
      0.807      -0.45       4.64       0.29                      K228500300213 
      0.807      -0.35       4.91       0.27                      K228500300214 
      0.807      -0.25       5.60       0.31                      K228500300215 
      0.807      -0.15       5.13       0.36                      K228500300216 
      0.807      -0.05       6.29       0.31                      K228500300217 
      0.807       0.05       5.52       0.24                      K228500300218 
      0.807       0.15       5.04       0.20                      K228500300219 
      0.807       0.25       4.84       0.18                      K228500300220 
      0.807       0.35       4.77       0.16                      K228500300221 
      0.807       0.45       3.86       0.14                      K228500300222 
      0.807       0.55       3.73       0.13                      K228500300223 
      0.807       0.65       3.26       0.13                      K228500300224 
      0.807       0.75       3.18       0.15                      K228500300225 
      0.807       0.85       3.11       0.34                      K228500300226 
      0.821      -0.85       2.26       0.76                      K228500300227 
      0.821      -0.75       4.01       0.51                      K228500300228 
      0.821      -0.65       3.47       0.32                      K228500300229 
      0.821      -0.55       3.83       0.30                      K228500300230 
      0.821      -0.45       5.10       0.29                      K228500300231 
      0.821      -0.35       4.87       0.27                      K228500300232 
      0.821      -0.25       4.84       0.28                      K228500300233 
      0.821      -0.15       5.74       0.35                      K228500300234 
      0.821      -0.05       5.26       0.24                      K228500300235 
      0.821       0.05       5.12       0.21                      K228500300236 
      0.821       0.15       4.55       0.17                      K228500300237 
      0.821       0.25       4.18       0.15                      K228500300238 
      0.821       0.35       4.20       0.14                      K228500300239 
      0.821       0.45       3.75       0.12                      K228500300240 
      0.821       0.55       3.46       0.11                      K228500300241 
      0.821       0.65       3.34       0.11                      K228500300242 
      0.821       0.75       3.16       0.14                      K228500300243 
      0.821       0.85       2.91       0.30                      K228500300244 
      0.835      -0.85       3.44       0.55                      K228500300245 
      0.835      -0.75       2.96       0.36                      K228500300246 
      0.835      -0.65       4.07       0.26                      K228500300247 
      0.835      -0.55       4.33       0.21                      K228500300248 
      0.835      -0.45       5.03       0.19                      K228500300249 
      0.835      -0.35       5.11       0.19                      K228500300250 
      0.835      -0.25       4.89       0.20                      K228500300251 
      0.835      -0.15       5.88       0.26                      K228500300252 
      0.835      -0.05       5.81       0.19                      K228500300253 
      0.835       0.05       5.22       0.14                      K228500300254 
      0.835       0.15       5.11       0.12                      K228500300255 
      0.835       0.25       4.66       0.10                      K228500300256 
      0.835       0.35       4.05       0.09                      K228500300257 
      0.835       0.45       3.78       0.08                      K228500300258 
      0.835       0.55       3.59       0.08                      K228500300259 
      0.835       0.65       3.45       0.08                      K228500300260 
      0.835       0.75       3.29       0.09                      K228500300261 
      0.835       0.85       3.15       0.21                      K228500300262 
      0.838      -0.85       2.59       0.57                      K228500300263 
      0.838      -0.75       3.40       0.46                      K228500300264 
      0.838      -0.65       3.51       0.32                      K228500300265 
      0.838      -0.55       4.00       0.30                      K228500300266 
      0.838      -0.45       4.06       0.25                      K228500300267 
      0.838      -0.35       4.61       0.25                      K228500300268 
      0.838      -0.25       4.94       0.27                      K228500300269 
      0.838      -0.15       4.84       0.31                      K228500300270 
      0.838      -0.05       5.18       0.23                      K228500300271 
      0.838       0.05       4.99       0.19                      K228500300272 
      0.838       0.15       4.51       0.16                      K228500300273 
      0.838       0.25       4.37       0.14                      K228500300274 
      0.838       0.35       3.82       0.12                      K228500300275 
      0.838       0.45       3.33       0.11                      K228500300276 
      0.838       0.55       3.18       0.10                      K228500300277 
      0.838       0.65       3.09       0.11                      K228500300278 
      0.838       0.75       2.94       0.12                      K228500300279 
      0.838       0.85       3.37       0.33                      K228500300280 
      0.849      -0.85       3.30       0.58                      K228500300281 
      0.849      -0.75       2.73       0.38                      K228500300282 
      0.849      -0.65       4.10       0.29                      K228500300283 
      0.849      -0.55       3.96       0.22                      K228500300284 
      0.849      -0.45       4.60       0.20                      K228500300285 
      0.849      -0.35       4.90       0.19                      K228500300286 
      0.849      -0.25       4.19       0.21                      K228500300287 
      0.849      -0.15       4.79       0.24                      K228500300288 
      0.849      -0.05       4.97       0.18                      K228500300289 
      0.849       0.05       4.97       0.14                      K228500300290 
      0.849       0.15       4.47       0.12                      K228500300291 
      0.849       0.25       4.11       0.10                      K228500300292 
      0.849       0.35       3.81       0.09                      K228500300293 
      0.849       0.45       3.40       0.08                      K228500300294 
      0.849       0.55       3.12       0.08                      K228500300295 
      0.849       0.65       3.10       0.08                      K228500300296 
      0.849       0.75       2.89       0.09                      K228500300297 
      0.849       0.85       2.50       0.22                      K228500300298 
      0.854      -0.85       3.26       0.76                      K228500300299 
      0.854      -0.75       3.21       0.51                      K228500300300 
      0.854      -0.65       3.66       0.37                      K228500300301 
      0.854      -0.55       4.14       0.34                      K228500300302 
      0.854      -0.45       4.06       0.28                      K228500300303 
      0.854      -0.35       3.87       0.30                      K228500300304 
      0.854      -0.25       4.20       0.29                      K228500300305 
      0.854      -0.15       4.87       0.34                      K228500300306 
      0.854      -0.05       4.46       0.25                      K228500300307 
      0.854       0.05       3.47       0.20                      K228500300308 
      0.854       0.15       4.27       0.19                      K228500300309 
      0.854       0.25       3.64       0.15                      K228500300310 
      0.854       0.35       3.42       0.14                      K228500300311 
      0.854       0.45       3.13       0.13                      K228500300312 
      0.854       0.55       3.04       0.12                      K228500300313 
      0.854       0.65       2.92       0.12                      K228500300314 
      0.854       0.75       2.76       0.14                      K228500300315 
      0.854       0.85       2.81       0.39                      K228500300316 
      0.861      -0.85       3.85       0.59                      K228500300317 
      0.861      -0.75       3.70       0.44                      K228500300318 
      0.861      -0.65       4.01       0.29                      K228500300319 
      0.861      -0.55       3.93       0.23                      K228500300320 
      0.861      -0.45       4.85       0.22                      K228500300321 
      0.861      -0.35       4.63       0.19                      K228500300322 
      0.861      -0.25       4.96       0.24                      K228500300323 
      0.861      -0.15       4.75       0.27                      K228500300324 
      0.861      -0.05       4.72       0.17                      K228500300325 
      0.861       0.05       4.61       0.14                      K228500300326 
      0.861       0.15       4.08       0.11                      K228500300327 
      0.861       0.25       3.75       0.10                      K228500300328 
      0.861       0.35       3.46       0.09                      K228500300329 
      0.861       0.45       3.16       0.08                      K228500300330 
      0.861       0.55       3.09       0.08                      K228500300331 
      0.861       0.65       2.98       0.08                      K228500300332 
      0.861       0.75       3.05       0.10                      K228500300333 
      0.861       0.85       2.93       0.24                      K228500300334 
      0.873      -0.85       2.82       0.51                      K228500300335 
      0.873      -0.75       3.40       0.41                      K228500300336 
      0.873      -0.65       3.05       0.24                      K228500300337 
      0.873      -0.55       4.48       0.25                      K228500300338 
      0.873      -0.45       4.25       0.20                      K228500300339 
      0.873      -0.35       4.40       0.19                      K228500300340 
      0.873      -0.25       4.72       0.24                      K228500300341 
      0.873      -0.15       5.11       0.27                      K228500300342 
      0.873      -0.05       4.96       0.18                      K228500300343 
      0.873       0.05       4.44       0.14                      K228500300344 
      0.873       0.15       4.13       0.12                      K228500300345 
      0.873       0.25       3.66       0.10                      K228500300346 
      0.873       0.35       3.25       0.09                      K228500300347 
      0.873       0.45       3.05       0.08                      K228500300348 
      0.873       0.55       3.08       0.08                      K228500300349 
      0.873       0.65       2.84       0.08                      K228500300350 
      0.873       0.75       2.99       0.10                      K228500300351 
      0.873       0.85       2.85       0.26                      K228500300352 
      0.874      -0.85       3.21       0.58                      K228500300353 
      0.874      -0.75       3.24       0.41                      K228500300354 
      0.874      -0.65       3.27       0.29                      K228500300355 
      0.874      -0.55       3.55       0.25                      K228500300356 
      0.874      -0.45       4.30       0.22                      K228500300357 
      0.874      -0.35       3.96       0.20                      K228500300358 
      0.874      -0.25       4.27       0.23                      K228500300359 
      0.874      -0.15       4.20       0.24                      K228500300360 
      0.874      -0.05       4.66       0.17                      K228500300361 
      0.874       0.05       3.93       0.14                      K228500300362 
      0.874       0.15       3.74       0.12                      K228500300363 
      0.874       0.25       3.24       0.10                      K228500300364 
      0.874       0.35       3.08       0.09                      K228500300365 
      0.874       0.45       2.75       0.09                      K228500300366 
      0.874       0.55       2.83       0.09                      K228500300367 
      0.874       0.65       2.75       0.09                      K228500300368 
      0.874       0.75       2.72       0.11                      K228500300369 
      0.874       0.85       2.44       0.24                      K228500300370 
      0.882      -0.85       3.78       0.63                      K228500300371 
      0.882      -0.75       3.84       0.45                      K228500300372 
      0.882      -0.65       3.22       0.25                      K228500300373 
      0.882      -0.55       4.30       0.25                      K228500300374 
      0.882      -0.45       4.31       0.20                      K228500300375 
      0.882      -0.35       4.68       0.20                      K228500300376 
      0.882      -0.25       4.19       0.21                      K228500300377 
      0.882      -0.15       4.80       0.24                      K228500300378 
      0.882      -0.05       4.43       0.16                      K228500300379 
      0.882       0.05       4.25       0.13                      K228500300380 
      0.882       0.15       3.83       0.11                      K228500300381 
      0.882       0.25       3.56       0.09                      K228500300382 
      0.882       0.35       3.23       0.08                      K228500300383 
      0.882       0.45       3.00       0.08                      K228500300384 
      0.882       0.55       2.92       0.07                      K228500300385 
      0.882       0.65       2.99       0.08                      K228500300386 
      0.882       0.75       2.91       0.10                      K228500300387 
      0.882       0.85       2.68       0.24                      K228500300388 
      0.894      -0.85       3.21       0.61                      K228500300389 
      0.894      -0.75       3.12       0.41                      K228500300390 
      0.894      -0.65       3.58       0.26                      K228500300391 
      0.894      -0.55       3.84       0.22                      K228500300392 
      0.894      -0.45       3.78       0.19                      K228500300393 
      0.894      -0.35       4.07       0.19                      K228500300394 
      0.894      -0.25       4.71       0.23                      K228500300395 
      0.894      -0.15       4.50       0.22                      K228500300396 
      0.894      -0.05       4.18       0.14                      K228500300397 
      0.894       0.05       4.02       0.12                      K228500300398 
      0.894       0.15       3.68       0.11                      K228500300399 
      0.894       0.25       3.21       0.09                      K228500300400 
      0.894       0.35       2.82       0.08                      K228500300401 
      0.894       0.45       2.82       0.07                      K228500300402 
      0.894       0.55       2.83       0.07                      K228500300403 
      0.894       0.65       2.92       0.08                      K228500300404 
      0.894       0.75       3.08       0.10                      K228500300405 
      0.894       0.85       3.30       0.29                      K228500300406 
      0.913      -0.85       3.48       0.47                      K228500300407 
      0.913      -0.75       3.79       0.40                      K228500300408 
      0.913      -0.65       3.96       0.24                      K228500300409 
      0.913      -0.55       4.01       0.18                      K228500300410 
      0.913      -0.45       4.15       0.15                      K228500300411 
      0.913      -0.35       4.09       0.15                      K228500300412 
      0.913      -0.25       3.93       0.17                      K228500300413 
      0.913      -0.15       4.14       0.17                      K228500300414 
      0.913      -0.05       4.17       0.12                      K228500300415 
      0.913       0.05       3.78       0.09                      K228500300416 
      0.913       0.15       3.65       0.08                      K228500300417 
      0.913       0.25       2.93       0.06                      K228500300418 
      0.913       0.35       2.78       0.06                      K228500300419 
      0.913       0.45       2.65       0.06                      K228500300420 
      0.913       0.55       2.80       0.06                      K228500300421 
      0.913       0.65       2.82       0.06                      K228500300422 
      0.913       0.75       3.15       0.08                      K228500300423 
      0.913       0.85       3.13       0.23                      K228500300424 
      0.929      -0.85       2.75       0.49                      K228500300425 
      0.929      -0.75       2.87       0.35                      K228500300426 
      0.929      -0.65       3.59       0.24                      K228500300427 
      0.929      -0.55       3.95       0.20                      K228500300428 
      0.929      -0.45       4.04       0.19                      K228500300429 
      0.929      -0.35       3.62       0.17                      K228500300430 
      0.929      -0.25       3.78       0.19                      K228500300431 
      0.929      -0.15       3.99       0.19                      K228500300432 
      0.929      -0.05       3.81       0.12                      K228500300433 
      0.929       0.05       3.31       0.10                      K228500300434 
      0.929       0.15       3.18       0.09                      K228500300435 
      0.929       0.25       2.78       0.07                      K228500300436 
      0.929       0.35       2.48       0.07                      K228500300437 
      0.929       0.45       2.60       0.07                      K228500300438 
      0.929       0.55       2.75       0.07                      K228500300439 
      0.929       0.65       2.90       0.07                      K228500300440 
      0.929       0.75       3.15       0.10                      K228500300441 
      0.929       0.85       3.24       0.29                      K228500300442 
      0.943      -0.85       3.08       0.67                      K228500300443 
      0.943      -0.75       3.33       0.44                      K228500300444 
      0.943      -0.65       3.68       0.30                      K228500300445 
      0.943      -0.55       4.52       0.28                      K228500300446 
      0.943      -0.45       3.69       0.21                      K228500300447 
      0.943      -0.35       3.96       0.21                      K228500300448 
      0.943      -0.25       3.56       0.21                      K228500300449 
      0.943      -0.15       3.52       0.20                      K228500300450 
      0.943      -0.05       3.60       0.14                      K228500300451 
      0.943       0.05       3.30       0.12                      K228500300452 
      0.943       0.15       3.05       0.11                      K228500300453 
      0.943       0.25       2.68       0.08                      K228500300454 
      0.943       0.35       2.39       0.08                      K228500300455 
      0.943       0.45       2.51       0.08                      K228500300456 
      0.943       0.55       2.86       0.08                      K228500300457 
      0.943       0.65       2.85       0.09                      K228500300458 
      0.943       0.75       3.15       0.13                      K228500300459 
      0.943       0.85       3.34       0.38                      K228500300460 
      0.956      -0.85       3.84       0.58                      K228500300461 
      0.956      -0.75       3.80       0.44                      K228500300462 
      0.956      -0.65       3.81       0.28                      K228500300463 
      0.956      -0.55       3.64       0.21                      K228500300464 
      0.956      -0.45       3.80       0.19                      K228500300465 
      0.956      -0.35       3.49       0.18                      K228500300466 
      0.956      -0.25       3.75       0.21                      K228500300467 
      0.956      -0.15       3.71       0.18                      K228500300468 
      0.956      -0.05       3.57       0.12                      K228500300469 
      0.956       0.05       3.07       0.10                      K228500300470 
      0.956       0.15       2.65       0.08                      K228500300471 
      0.956       0.25       2.57       0.07                      K228500300472 
      0.956       0.35       2.49       0.07                      K228500300473 
      0.956       0.45       2.56       0.07                      K228500300474 
      0.956       0.55       2.75       0.07                      K228500300475 
      0.956       0.65       3.07       0.08                      K228500300476 
      0.956       0.75       3.61       0.12                      K228500300477 
      0.956       0.85       3.85       0.37                      K228500300478 
      0.967      -0.85       3.50       0.59                      K228500300479 
      0.967      -0.75       3.68       0.44                      K228500300480 
      0.967      -0.65       3.95       0.28                      K228500300481 
      0.967      -0.55       3.70       0.21                      K228500300482 
      0.967      -0.45       3.62       0.18                      K228500300483 
      0.967      -0.35       3.36       0.18                      K228500300484 
      0.967      -0.25       3.74       0.21                      K228500300485 
      0.967      -0.15       3.01       0.31                      K228500300486 
      0.967      -0.05       2.98       0.11                      K228500300487 
      0.967       0.05       2.98       0.10                      K228500300488 
      0.967       0.15       2.72       0.09                      K228500300489 
      0.967       0.25       2.63       0.08                      K228500300490 
      0.967       0.35       2.37       0.07                      K228500300491 
      0.967       0.45       2.44       0.07                      K228500300492 
      0.967       0.55       2.92       0.07                      K228500300493 
      0.967       0.65       3.21       0.08                      K228500300494 
      0.967       0.75       3.74       0.12                      K228500300495 
      0.967       0.85       3.46       0.33                      K228500300496 
      0.980      -0.85       3.14       0.54                      K228500300497 
      0.980      -0.75       3.31       0.44                      K228500300498 
      0.980      -0.65       3.67       0.27                      K228500300499 
      0.980      -0.55       4.15       0.23                      K228500300500 
      0.980      -0.45       3.75       0.19                      K228500300501 
      0.980      -0.35       3.38       0.19                      K228500300502 
      0.980      -0.25       3.67       0.21                      K228500300503 
      0.980      -0.15       3.56       0.18                      K228500300504 
      0.980      -0.05       3.32       0.12                      K228500300505 
      0.980       0.05       3.05       0.10                      K228500300506 
      0.980       0.15       2.74       0.09                      K228500300507 
      0.980       0.25       2.51       0.08                      K228500300508 
      0.980       0.35       2.55       0.07                      K228500300509 
      0.980       0.45       2.41       0.07                      K228500300510 
      0.980       0.55       2.94       0.08                      K228500300511 
      0.980       0.65       3.48       0.09                      K228500300512 
      0.980       0.75       3.88       0.14                      K228500300513 
      0.980       0.85       4.21       0.41                      K228500300514 
      0.992      -0.85       3.26       0.54                      K228500300515 
      0.992      -0.75       3.61       0.43                      K228500300516 
      0.992      -0.65       3.20       0.24                      K228500300517 
      0.992      -0.55       3.63       0.22                      K228500300518 
      0.992      -0.45       3.73       0.19                      K228500300519 
      0.992      -0.35       3.56       0.19                      K228500300520 
      0.992      -0.25       3.62       0.21                      K228500300521 
      0.992      -0.15       3.07       0.32                      K228500300522 
      0.992      -0.05       3.18       0.11                      K228500300523 
      0.992       0.05       2.68       0.10                      K228500300524 
      0.992       0.15       2.71       0.09                      K228500300525 
      0.992       0.25       2.25       0.08                      K228500300526 
      0.992       0.35       2.39       0.07                      K228500300527 
      0.992       0.45       2.56       0.08                      K228500300528 
      0.992       0.55       2.90       0.08                      K228500300529 
      0.992       0.65       3.41       0.10                      K228500300530 
      0.992       0.75       3.59       0.13                      K228500300531 
      0.992       0.85       4.48       0.48                      K228500300532 
      1.002      -0.85       3.24       0.63                      K228500300533 
      1.002      -0.75       3.42       0.42                      K228500300534 
      1.002      -0.65       4.24       0.29                      K228500300535 
      1.002      -0.55       3.75       0.22                      K228500300536 
      1.002      -0.45       4.11       0.21                      K228500300537 
      1.002      -0.35       3.38       0.18                      K228500300538 
      1.002      -0.25       3.39       0.22                      K228500300539 
      1.002      -0.15       2.96       0.31                      K228500300540 
      1.002      -0.05       2.84       0.11                      K228500300541 
      1.002       0.05       2.75       0.10                      K228500300542 
      1.002       0.15       2.66       0.09                      K228500300543 
      1.002       0.25       2.37       0.08                      K228500300544 
      1.002       0.35       2.33       0.07                      K228500300545 
      1.002       0.45       2.78       0.08                      K228500300546 
      1.002       0.55       3.10       0.09                      K228500300547 
      1.002       0.65       3.38       0.10                      K228500300548 
      1.002       0.75       3.91       0.14                      K228500300549 
      1.002       0.85       3.99       0.49                      K228500300550 
      1.014      -0.85       2.75       0.62                      K228500300551 
      1.014      -0.75       3.63       0.51                      K228500300552 
      1.014      -0.65       3.91       0.31                      K228500300553 
      1.014      -0.55       4.42       0.27                      K228500300554 
      1.014      -0.45       3.51       0.23                      K228500300555 
      1.014      -0.35       3.02       0.21                      K228500300556 
      1.014      -0.25       3.32       0.23                      K228500300557 
      1.014      -0.15       3.20       0.18                      K228500300558 
      1.014      -0.05       2.53       0.12                      K228500300559 
      1.014       0.05       2.42       0.12                      K228500300560 
      1.014       0.15       2.28       0.10                      K228500300561 
      1.014       0.25       2.40       0.09                      K228500300562 
      1.014       0.35       2.56       0.09                      K228500300563 
      1.014       0.45       2.83       0.09                      K228500300564 
      1.014       0.55       3.38       0.10                      K228500300565 
      1.014       0.65       3.37       0.12                      K228500300566 
      1.014       0.75       4.16       0.17                      K228500300567 
      1.014       0.85       3.43       0.51                      K228500300568 
      1.031      -0.85       3.01       0.61                      K228500300569 
      1.031      -0.75       3.22       0.45                      K228500300570 
      1.031      -0.65       3.23       0.29                      K228500300571 
      1.031      -0.55       3.76       0.28                      K228500300572 
      1.031      -0.45       3.30       0.24                      K228500300573 
      1.031      -0.35       3.44       0.22                      K228500300574 
      1.031      -0.25       2.33       0.27                      K228500300575 
      1.031      -0.15       2.93       0.17                      K228500300576 
      1.031      -0.05       2.71       0.12                      K228500300577 
      1.031       0.05       2.49       0.12                      K228500300578 
      1.031       0.15       2.23       0.10                      K228500300579 
      1.031       0.25       2.19       0.09                      K228500300580 
      1.031       0.35       2.55       0.10                      K228500300581 
      1.031       0.45       2.81       0.10                      K228500300582 
      1.031       0.55       3.26       0.11                      K228500300583 
      1.031       0.65       3.74       0.13                      K228500300584 
      1.031       0.75       4.41       0.20                      K228500300585 
      1.031       0.85       4.54       0.64                      K228500300586 
      1.042      -0.85       2.38       0.52                      K228500300587 
      1.042      -0.75       3.48       0.42                      K228500300588 
      1.042      -0.65       3.24       0.25                      K228500300589 
      1.042      -0.55       3.42       0.21                      K228500300590 
      1.042      -0.45       3.48       0.19                      K228500300591 
      1.042      -0.35       3.15       0.18                      K228500300592 
      1.042      -0.25       3.16       0.21                      K228500300593 
      1.042      -0.15       3.06       0.15                      K228500300594 
      1.042      -0.05       2.61       0.10                      K228500300595 
      1.042       0.05       2.30       0.09                      K228500300596 
      1.042       0.15       2.32       0.08                      K228500300597 
      1.042       0.25       2.44       0.08                      K228500300598 
      1.042       0.35       2.42       0.08                      K228500300599 
      1.042       0.45       2.69       0.08                      K228500300600 
      1.042       0.55       3.33       0.09                      K228500300601 
      1.042       0.65       3.67       0.11                      K228500300602 
      1.042       0.75       4.44       0.17                      K228500300603 
      1.042       0.85       3.95       0.47                      K228500300604 
      1.053      -0.85       3.18       0.50                      K228500300605 
      1.053      -0.75       3.59       0.43                      K228500300606 
      1.053      -0.65       3.38       0.25                      K228500300607 
      1.053      -0.55       3.33       0.23                      K228500300608 
      1.053      -0.45       3.25       0.19                      K228500300609 
      1.053      -0.35       2.91       0.18                      K228500300610 
      1.053      -0.25       2.94       0.19                      K228500300611 
      1.053      -0.15       2.56       0.26                      K228500300612 
      1.053      -0.05       2.43       0.09                      K228500300613 
      1.053       0.05       2.21       0.09                      K228500300614 
      1.053       0.15       2.15       0.08                      K228500300615 
      1.053       0.25       2.26       0.07                      K228500300616 
      1.053       0.35       2.37       0.08                      K228500300617 
      1.053       0.45       2.72       0.08                      K228500300618 
      1.053       0.55       3.21       0.09                      K228500300619 
      1.053       0.65       3.52       0.10                      K228500300620 
      1.053       0.75       4.34       0.17                      K228500300621 
      1.053       0.85       3.37       0.46                      K228500300622 
      1.065      -0.85       3.15       0.54                      K228500300623 
      1.065      -0.75       3.48       0.44                      K228500300624 
      1.065      -0.65       3.53       0.27                      K228500300625 
      1.065      -0.55       3.86       0.25                      K228500300626 
      1.065      -0.45       3.31       0.20                      K228500300627 
      1.065      -0.35       2.62       0.18                      K228500300628 
      1.065      -0.25       2.89       0.20                      K228500300629 
      1.065      -0.15       2.23       0.25                      K228500300630 
      1.065      -0.05       2.43       0.10                      K228500300631 
      1.065       0.05       2.19       0.10                      K228500300632 
      1.065       0.15       2.10       0.09                      K228500300633 
      1.065       0.25       2.33       0.08                      K228500300634 
      1.065       0.35       2.21       0.09                      K228500300635 
      1.065       0.45       2.86       0.10                      K228500300636 
      1.065       0.55       3.34       0.11                      K228500300637 
      1.065       0.65       3.42       0.12                      K228500300638 
      1.065       0.75       4.21       0.19                      K228500300639 
      1.065       0.85       3.12       0.51                      K228500300640 
      1.073      -0.85       2.63       0.54                      K228500300641 
      1.073      -0.75       3.04       0.42                      K228500300642 
      1.073      -0.65       3.73       0.31                      K228500300643 
      1.073      -0.55       3.29       0.24                      K228500300644 
      1.073      -0.45       2.85       0.19                      K228500300645 
      1.073      -0.35       2.98       0.19                      K228500300646 
      1.073      -0.25       2.52       0.28                      K228500300647 
      1.073      -0.15       2.16       0.24                      K228500300648 
      1.073      -0.05       2.07       0.09                      K228500300649 
      1.073       0.05       2.00       0.09                      K228500300650 
      1.073       0.15       2.04       0.09                      K228500300651 
      1.073       0.25       2.05       0.08                      K228500300652 
      1.073       0.35       2.39       0.08                      K228500300653 
      1.073       0.45       2.90       0.10                      K228500300654 
      1.073       0.55       3.21       0.11                      K228500300655 
      1.073       0.65       3.76       0.12                      K228500300656 
      1.073       0.75       4.11       0.19                      K228500300657 
      1.073       0.85       2.95       0.50                      K228500300658 
      1.084      -0.85       2.90       0.51                      K228500300659 
      1.084      -0.75       3.06       0.41                      K228500300660 
      1.084      -0.65       3.22       0.26                      K228500300661 
      1.084      -0.55       3.02       0.23                      K228500300662 
      1.084      -0.45       2.78       0.24                      K228500300663 
      1.084      -0.35       2.66       0.20                      K228500300664 
      1.084      -0.25       2.44       0.20                      K228500300665 
      1.084      -0.15       2.13       0.13                      K228500300666 
      1.084      -0.05       2.08       0.10                      K228500300667 
      1.084       0.05       2.00       0.11                      K228500300668 
      1.084       0.15       2.04       0.09                      K228500300669 
      1.084       0.25       1.96       0.09                      K228500300670 
      1.084       0.35       2.13       0.10                      K228500300671 
      1.084       0.45       3.01       0.11                      K228500300672 
      1.084       0.55       3.15       0.12                      K228500300673 
      1.084       0.65       3.77       0.14                      K228500300674 
      1.084       0.75       4.34       0.22                      K228500300675 
      1.084       0.85       3.28       0.67                      K228500300676 
      1.091      -0.85       2.58       0.48                      K228500300677 
      1.091      -0.75       2.91       0.40                      K228500300678 
      1.091      -0.65       2.85       0.26                      K228500300679 
      1.091      -0.55       3.06       0.22                      K228500300680 
