 2.         2135.37      0.08    -0.14        0.02                41105  3   73 
 2.         2198.65      0.09     0.13        0.03                41105  3   74 
 2.         2201.90      0.14     0.43        0.10                41105  3   75 
 2.         2215.0       0.2      0.37        0.07                41105  3   76 
 2.         2231.97      0.08    -0.15        0.04                41105  3   77 
 2.         2366.6       0.2     -0.04        0.03                41105  3   78 
 2.         2377.2       0.2      0.36        0.08                41105  3   79 
 2.         2426.36      0.03     0.250       0.009               41105  3   80 
 2.         2452.3       0.3     -0.08        0.08                41105  3   81 
 2.         2472.2       0.2      0.23        0.05                41105  3   82 
 2.         2592.6       0.3      0.16        0.04                41105  3   83 
 2.         2630.3       0.4     -0.22        0.08                41105  3   84 
 2.         2670.6       0.2      0.18        0.05                41105  3   85 
 2.         2698.9       0.4      0.31        0.05                41105  3   86 
 2.         2703.31      0.08     0.20        0.02                41105  3   87 
 2.         2831.9       0.3     -0.08        0.08                41105  3   88 
 2.         2875.8       0.4      0.18        0.06                41105  3   89 
 2.         2942.4       0.4     -0.09        0.09                41105  3   90 
 2.         2962.4       0.3      0.11        0.05                41105  3   91 
 2.         3076.3       0.3      0.16        0.07                41105  3   92 
 2.         3214.39      0.13     0.27        0.02                41105  3   93 
 2.         3227.8       0.2      0.04        0.04                41105  3   94 
 2.         3264.59      0.13     0.26        0.03                41105  3   95 
 2.         3333.7       0.4      0.23        0.06                41105  3   96 
 2.         3410.4       0.2     -0.11        0.08                41105  3   97 
 2.         3490.13      0.14    -0.11        0.04                41105  3   98 
 2.         3583.6       0.4      0.22        0.05                41105  3   99 
 2.         3697.3       0.4     -0.05        0.06                41105  3  100 
 2.         3710.4       0.4      0.25        0.05                41105  3  101 
 2.         3762.0       0.4      0.25        0.08                41105  3  102 
 2.         3963.0       0.6      0.09        0.10                41105  3  103 
 2.         4075.3       0.8      0.30        0.08                41105  3  104 
 4.          102.91      0.02    -0.025       0.007               41105  3  105 
 4.          120.39      0.03     0.00        0.03                41105  3  106 
 4.          133.52      0.13     0.                              41105  3  107 
 4.          150.3       0.2      0.06        0.26                41105  3  108 
 4.          234.95      0.07     0.07        0.06                41105  3  109 
 4.          243.13      0.03    -0.08        0.05                41105  3  110 
 4.          249.72      0.02    -0.03        0.03                41105  3  111 
 4.          253.42      0.04     0.                              41105  3  112 
 4.          355.75      0.12    -0.07        0.12                41105  3  113 
 4.          363.52      0.03    -0.011       0.019               41105  3  114 
 4.          373.75      0.13     0.                              41105  3  115 
 4.          385.38      0.05     0.00        0.03                41105  3  116 
 4.          409.83      0.02    -0.018       0.009               41105  3  117 
 4.          497.16      0.02     0.006       0.011               41105  3  118 
 4.          531.1       0.2     -0.03        0.08                41105  3  119 
 4.          548.43      0.02    -0.010       0.010               41105  3  120 
 4.          614.77      0.06     0.13        0.09                41105  3  121 
 4.          630.35      0.14    -0.02        0.10                41105  3  122 
 4.          650.51      0.04    -0.03        0.03                41105  3  123 
 4.          686.2       0.2     -0.16        0.17                41105  3  124 
 4.          706.98      0.04     0.05        0.03                41105  3  125 
 4.          717.68      0.08    -0.18        0.05                41105  3  126 
