           Emin  Emax   Spectrum      Emin   Emax   Spectrum      2317000100049 
            keV   keV                  keV    keV                 2317000100050 
           ------------------------ ---------------------------   2317000100051 
MONIT-REF  (,,3,ENDF/B-VII.1,7925,2011)                           2317000200005 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   2317000200006 
STATUS     (TABLE) Table XXXVI of Nucl.Data Sheets 112(2011)2887  2317000200007 
           (SPSDD,23170008) Final data given                      2317000200008 
HISTORY    (20140801A) M.M. Superseded.                           2317000200009 
ENDBIB               7          0                                 2317000200010 
NOCOMMON             0          0                                 2317000200011 
DATA                 4          1                                 2317000200012 
KT         DATA       DATA-ERR   MONIT                            2317000200013 
KEV        B          B          B                                2317000200014 
 25.        0.646      0.040      0.626                           2317000200015 
ENDDATA              3          0                                 2317000200016 
ENDSUBENT           15          0                                 2317000299999 
SUBENT        23170003   20150520                             22422317000300001 
BIB                  6          7                                 2317000300002 
REACTION   (92-U-238(N,G)92-U-239,,SIG,,SPA)                      2317000300003 
MONITOR    (79-AU-197(N,G)79-AU-198,,SIG,,SPA)                    2317000300004 
MONIT-REF  (,,3,ENDF/B-VII.1,7925,2011)                           2317000300005 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   2317000300006 
STATUS     (TABLE) Table XXXVI of Nucl.Data Sheets 112(2011)2887  2317000300007 
           (SPSDD,23170009) Final data given                      2317000300008 
HISTORY    (20140801A) M.M. Superseded.                           2317000300009 
ENDBIB               7          0                                 2317000300010 
NOCOMMON             0          0                                 2317000300011 
DATA                 4          1                                 2317000300012 
KT         DATA       DATA-ERR   MONIT                            2317000300013 
KEV        B          B          B                                2317000300014 
 25.        0.386      0.025      0.626                           2317000300015 
ENDDATA              3          0                                 2317000300016 
ENDSUBENT           15          0                                 2317000399999 
SUBENT        23170004   20150520                             22422317000400001 
BIB                  5          9                                 2317000400002 
REACTION   ((92-U-238(N,G)92-U-239,,SIG,,SPA)/                    2317000400003 
           (92-U-235(N,G)92-U-236,,SIG,,SPA))                     2317000400004 
COMMENT    By Anton Wallner (2012-04-27):                         2317000400005 
            Independent of the Au monitor reaction (independent   2317000400006 
            of the neutron fluence)                               2317000400007 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   2317000400008 
STATUS     (TABLE) Text (p2969) of Nucl.Data Sheets 112(2011)2887 2317000400009 
           (SPSDD,23170013) Final data given                      2317000400010 
HISTORY    (20140801A) M.M. Superseded.                           2317000400011 
ENDBIB               9          0                                 2317000400012 
NOCOMMON             0          0                                 2317000400013 
DATA                 3          1                                 2317000400014 
KT         DATA       DATA-ERR                                    2317000400015 
KEV        NO-DIM     NO-DIM                                      2317000400016 
 25.        0.60       0.05                                       2317000400017 
ENDDATA              3          0                                 2317000400018 
ENDSUBENT           17          0                                 2317000499999 
SUBENT        23170005   20150520                             22422317000500001 
BIB                  6          7                                 2317000500002 
REACTION   (92-U-235(N,G)92-U-236,,SIG,,SPA)                      2317000500003 
MONITOR    (79-AU-197(N,G)79-AU-198,,SIG,,SPA)                    2317000500004 
MONIT-REF  (,,3,ENDF/B-VII.1,7925,2011)                           2317000500005 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   2317000500006 
STATUS     (TABLE) Table XXXVI of Nucl.Data Sheets 112(2011)2887  2317000500007 
           (SPSDD,23170011) Final data given                      2317000500008 
HISTORY    (20140801A) M.M. Superseded.                           2317000500009 
ENDBIB               7          0                                 2317000500010 
NOCOMMON             0          0                                 2317000500011 
DATA                 5          1                                 2317000500012 
EN         EN-RSL-FW  DATA       DATA-ERR   MONIT                 2317000500013 
KEV        KEV        B          B          B                     2317000500014 
 426.       150.       0.167      0.013      0.1571               2317000500015 
ENDDATA              3          0                                 2317000500016 
ENDSUBENT           15          0                                 2317000599999 
SUBENT        23170006   20150520                             22422317000600001 
BIB                  6          7                                 2317000600002 
REACTION   (92-U-238(N,G)92-U-239,,SIG,,SPA)                      2317000600003 
MONITOR    (79-AU-197(N,G)79-AU-198,,SIG,,SPA)                    2317000600004 
MONIT-REF  (,,3,ENDF/B-VII.1,7925,2011)                           2317000600005 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   2317000600006 
STATUS     (TABLE) Table XXXVI of Nucl.Data Sheets 112(2011)2887  2317000600007 
           (SPSDD,23170012) Final data given                      2317000600008 
HISTORY    (20140801A) M.M. Superseded.                           2317000600009 
ENDBIB               7          0                                 2317000600010 
NOCOMMON             0          0                                 2317000600011 
DATA                 5          1                                 2317000600012 
EN         EN-RSL-FW  DATA       DATA-ERR   MONIT                 2317000600013 
KEV        KEV        B          B          B                     2317000600014 
 426.       150.       0.108      0.004      0.1571               2317000600015 
ENDDATA              3          0                                 2317000600016 
ENDSUBENT           15          0                                 2317000699999 
SUBENT        23170007   20150520                             22422317000700001 
BIB                  5          9                                 2317000700002 
REACTION   ((92-U-238(N,G)92-U-239,,SIG,,SPA)/                    2317000700003 
           (92-U-235(N,G)92-U-236,,SIG,,SPA))                     2317000700004 
COMMENT    By Anton Wallner (2012-04-27):                         2317000700005 
            Independent of the Au monitor reaction (independent   2317000700006 
            of the neutron fluence)                               2317000700007 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   2317000700008 
STATUS     (TABLE) Text (p2969) of Nucl.Data Sheets 112(2011)2887 2317000700009 
           (SPSDD,23170013) Final data given                      2317000700010 
HISTORY    (20140801A) M.M. Superseded.                           2317000700011 
ENDBIB               9          0                                 2317000700012 
NOCOMMON             0          0                                 2317000700013 
DATA                 4          1                                 2317000700014 
EN         EN-RSL-FW  DATA       DATA-ERR                         2317000700015 
KEV        KEV        NO-DIM     NO-DIM                           2317000700016 
 426.       150.       0.65       0.05                            2317000700017 
ENDDATA              3          0                                 2317000700018 
ENDSUBENT           17          0                                 2317000799999 
SUBENT        23170008   20150520                             22422317000800001 
BIB                  6         19                                 2317000800002 
REACTION   (92-U-235(N,G)92-U-236,,SIG,,SPA)                      2317000800003 
MONITOR    ((MONIT1)79-AU-197(N,G)79-AU-198,,SIG,,SPA)            2317000800004 
           ((MONIT2)92-U-235(N,G)92-U-236,,SIG)                   2317000800005 
MONIT-REF  ((MONIT1),,3,ENDF/B-VII.1,7925,2011)                   2317000800006 
ERR-ANALYS (ERR-T) Total uncertainty                        (5.3%)2317000800007 
            Fluence determination (2.3%), Other (4.7%)            2317000800008 
           (MONIT1-ERR,,1.) Au cross section                 (<1%)2317000800009 
           (ERR-1)          Au counting detector efficiency   (2%)2317000800010 
           (ERR-2)          Au counting sample position     (0.2%)2317000800011 
           (ERR-3)          Au sample mass                  (0.2%)2317000800012 
           (ERR-4)          Au gamma-ray intensity          (0.1%)2317000800013 
           (ERR-S,,1.)     AMS statistical uncertainty       (<1%)2317000800014 
           (ERR-5,,0.5)    AMS spike (IRMM reference)      (<0.5%)2317000800015 
           (ERR-6)         AMS background                     (1%)2317000800016 
           (ERR-7)         AMS normalization,reproducibility  (4%)2317000800017 
           (ERR-8,,2.)     PINO energy distribution          (<2%)2317000800018 
STATUS     (TABLE) Table II of Phys.Rev.Lett.112(2014)192501      2317000800019 
HISTORY    (20140801C) M.M.                                       2317000800020 
           (20150520A) On. Recompiled.                            2317000800021 
ENDBIB              19          0                                 2317000800022 
COMMON               6          3                                 2317000800023 
ERR-1      ERR-2      ERR-3      ERR-4      ERR-6      ERR-7      2317000800024 
