ENTRY            C0765   20010302                             C089C076500000001 
SUBENT        C0765001   20010302                             C089C076500100001 
BIB                 11         17                                 C076500100002 
INSTITUTE  (1CANSFU,1CANTMF)                                      C076500100003 
REFERENCE  (J,PR/C,29,1806,198405)                                C076500100004 
AUTHOR     (R.E.L.Green,R.G.Korteling,K.P.Jackson)                C076500100005 
TITLE      Inclusive production of isotopically resolved Li       C076500100006 
            through Mg fragments by 480 MeV p+Ag reactions        C076500100007 
FACILITY   (MESON,1CANTMF)                                        C076500100008 
SAMPLE     Natural silver targets, either evaporated onto VYNS    C076500100009 
            films or in the form of thin free-standing foils.     C076500100010 
EN-SEC     Energy given is mid-point of energy bin. Resolution    C076500100011 
            is the bin width.                                     C076500100012 
CORRECTION Corrected for background and multiple scattering.      C076500100013 
ERR-ANALYS (ERR-S) Statistical uncertainties given.               C076500100014 
           Relative normalization uncertainty estimated at 10%.   C076500100015 
           Absolute normalization uncertainty 30%.                C076500100016 
STATUS     Data received from R. Korteling, September 1987.       C076500100017 
           No reply received from R. Korteling to author proof.   C076500100018 
HISTORY    (20001219C) VM                                         C076500100019 
ENDBIB              17          0                                 C076500100020 
COMMON               1          3                                 C076500100021 
EN                                                                C076500100022 
MEV                                                               C076500100023 
480.                                                              C076500100024 
ENDCOMMON            3          0                                 C076500100025 
ENDSUBENT           24          0                                 C076500199999 
SUBENT        C0765002   20010123                             0000C076500200001 
BIB                  3          4                                 C076500200002 
REACTION   (47-AG-0(P,X)5-B-10,,DA/DE)                            C076500200003 
METHOD     (TOF)                                                  C076500200004 
DETECTOR   (TELES,SOLST) Telescopes composed of silicon surface-  C076500200005 
            barrier detectors.                                    C076500200006 
ENDBIB               4          0                                 C076500200007 
NOCOMMON             0          0                                 C076500200008 
DATA                 5        134                                 C076500200009 
ANG        E-MEAN     E-RSL      DATA       ERR-S                 C076500200010 
120.        72.         8.          78.         3.                C076503900214 
120.        80.         8.          41.         2.                C076503900215 
120.        88.         8.          21.         1.                C076503900216 
120.        96.         8.           8.2        0.9               C076503900217 
120.       104.         8.           3.5        0.6               C076503900218 
120.       112.         8.           1.6        0.4               C076503900219 
120.       120.         8.           0.94       0.32              C076503900220 
120.       128.         8.           0.33       0.19              C076503900221 
120.       136.         8.           0.12       0.11              C076503900222 
160.        11.         2.         792.       279.                C076503900223 
160.        13.         2.        4040.       193.                C076503900224 
160.        15.         2.        7232.       187.                C076503900225 
160.        17.         2.        9578.       163.                C076503900226 
160.        19.         2.        9695.       153.                C076503900227 
160.        22.         4.        8181.        51.                C076503900228 
160.        25.         2.        4771.        55.                C076503900229 
160.        27.         2.        3564.        48.                C076503900230 
160.        29.         2.        2660.        41.                C076503900231 
160.        31.         2.        2001.        36.                C076503900232 
160.        33.         2.        1447.        30.                C076503900233 
160.        35.         2.        1065.        26.                C076503900234 
160.        37.         2.         857.        23.                C076503900235 
160.        39.         2.         663.        21.                C076503900236 
160.        42.         4.         423.        12.                C076503900237 
160.        46.         4.         294.        10.                C076503900238 
160.        50.         4.         183.         8.                C076503900239 
160.        54.         4.         125.         6.                C076503900240 
160.        58.         4.          84.         5.                C076503900241 
160.        64.         8.          45.         3.                C076503900242 
160.        72.         8.          19.         2.                C076503900243 
160.        80.         8.           8.1        1.1               C076503900244 
160.        88.         8.           4.0        0.8               C076503900245 
160.        96.         8.           2.2        0.6               C076503900246 
160.       104.         8.           0.80       0.36              C076503900247 
160.       112.         8.           0.48       0.28              C076503900248 
160.       120.         8.           0.16       0.16              C076503900249 
ENDDATA            231          0                                 C076503900250 
ENDSUBENT          249          0                                 C076503999999 
SUBENT        C0765040   20010123                             0000C076504000001 
BIB                  5         13                                 C076504000002 
REACTION   (47-AG-0(P,X)3-LI-7,,DA/DE)                            C076504000003 
SAMPLE     Sample thickness about 2 mg/cm2.                       C076504000004 
METHOD     (EDE)                                                  C076504000005 
DETECTOR   (TELES,SOLST) etector telescope consisting of 5 siliconC076504000006 
            surface barrier detectors.                            C076504000007 
CORRECTION All 10 degree data may be systematically low,          C076504000008 
            especially at higher fragment energies. The correctionC076504000009 
            is estimated <50%.                                    C076504000010 
           For runs at 10, 65, and 70 degrees, no data suitable   C076504000011 
            for subtracting light mass contaminants in target are C076504000012 
            available. Contributions from these contaminants are  C076504000013 
            estimated <15% at lowest energies and decreasing as   C076504000014 
            fragment energy increases.                            C076504000015 
ENDBIB              13          0                                 C076504000016 
NOCOMMON             0          0                                 C076504000017 
DATA                 5        236                                 C076504000018 
ANG        E-MEAN     E-RSL      DATA       ERR-S                 C076504000019 
ADEG       MEV        MEV        NB/SR/MEV  NB/SR/MEV             C076504000020 
 10.        27.         2.       17150.       181.                C076504000021 
 10.        29.         2.       15510.       172.                C076504000022 
 10.        31.         2.       13720.       162.                C076504000023 
 10.        33.         2.       12340.       153.                C076504000024 
 10.        35.         2.       10870.       144.                C076504000025 
 10.        37.         2.       10060.       138.                C076504000026 
 10.        39.         2.        8620.       128.                C076504000027 
 10.        42.         4.        7497.        85.                C076504000028 
 10.        46.         4.        5868.        75.                C076504000029 
 10.        50.         4.        4921.        68.                C076504000030 
 10.        54.         4.        3967.        61.                C076504000031 
 10.        58.         4.        3200.        55.                C076504000032 
 10.        64.         8.        2363.        34.                C076504000033 
 10.        72.         8.        1420.        26.                C076504000034 
 10.        80.         8.         803.        20.                C076504000035 
 10.        88.         8.         502.        15.                C076504000036 
 10.        96.         8.         374.        13.                C076504000037 
 10.       104.         8.         214.        10.                C076504000038 
 20.        13.         2.        3306.       285.                C076504000039 
 20.        15.         2.        5945.       297.                C076504000040 
 20.        17.         2.       11020.       339.                C076504000041 
 20.        19.         2.       18910.       406.                C076504000042 
 20.        21.         2.       23430.       438.                C076504000043 
 20.        24.         4.       24770.       313.                C076504000044 
 20.        27.         2.       21190.       406.                C076504000045 
 20.        29.         2.       17790.       372.                C076504000046 
 20.        31.         2.       16610.       358.                C076504000047 
 20.        33.         2.       14600.       335.                C076504000048 
 20.        35.         2.       13060.       317.                C076504000049 
 20.        37.         2.       11380.       294.                C076504000050 
 20.        39.         2.        9711.       273.                C076504000051 
 20.        42.         4.        8336.       178.                C076504000052 
 20.        46.         4.        6763.       160.                C076504000053 
 20.        50.         4.        5453.       143.                C076504000054 
 20.        54.         4.        4466.       129.                C076504000055 
 20.        58.         4.        3573.       116.                C076504000056 
 20.        64.         8.        2467.        68.                C076504000057 
 20.        72.         8.        1577.        54.                C076504000058 
 20.        80.         8.        1116.        45.                C076504000059 
 20.        88.         8.         727.        36.                C076504000060 
 20.        96.         8.         530.        31.                C076504000061 
 20.       104.         8.         358.        26.                C076504000062 
 20.       112.         8.         249.        21.                C076504000063 
 20.       120.         8.         145.        16.                C076504000064 
 20.       128.         8.         115.        14.                C076504000065 
 20.       136.         8.          56.        10.                C076504000066 
 20.       144.         8.          35.         8.                C076504000067 
 40.        19.         2.       19530.       133.                C076504000068 
 40.        21.         2.       22220.       140.                C076504000069 
 40.        24.         4.       19490.        93.                C076504000070 
 40.        27.         2.       16370.       120.                C076504000071 
 40.        29.         2.       14490.       113.                C076504000072 
 40.        31.         2.       12550.       105.                C076504000073 
 40.        33.         2.       11050.        98.                C076504000074 
 40.        35.         2.        9727.        92.                C076504000075 
 40.        37.         2.        8400.        86.                C076504000076 
 40.        39.         2.        7528.        81.                C076504000077 
 40.        42.         4.        6322.        52.                C076504000078 
 40.        46.         4.        4867.        46.                C076504000079 
 40.        50.         4.        3844.        41.                C076504000080 
 40.        54.         4.        3042.        36.                C076504000081 
 40.        58.         4.        2363.        32.                C076504000082 
 40.        64.         8.        1736.        19.                C076504000083 
 40.        72.         8.        1076.        15.                C076504000084 
 40.        80.         8.         626.        12.                C076504000085 
 40.        88.         8.         389.         9.                C076504000086 
 40.        96.         8.         259.         7.                C076504000087 
 40.       104.         8.         166.         6.                C076504000088 
 40.       112.         8.         125.         5.                C076504000089 
 40.       120.         8.          74.         4.                C076504000090 
 40.       128.         8.          42.         3.                C076504000091 
 60.        19.         2.       19960.       117.                C076504000092 
 60.        21.         2.       21360.       120.                C076504000093 
 60.        24.         4.       18530.        78.                C076504000094 
 60.        27.         2.       14900.        99.                C076504000095 
 60.        29.         2.       12970.        92.                C076504000096 
 60.        31.         2.       11090.        85.                C076504000097 
 60.        33.         2.        9725.        80.                C076504000098 
 60.        35.         2.        8459.        74.                C076504000099 
 60.        37.         2.        7243.        68.                C076504000100 
 60.        39.         2.        6205.        64.                C076504000101 
 60.        42.         4.        5057.        41.                C076504000102 
 60.        46.         4.        3933.        36.                C076504000103 
 60.        50.         4.        3003.        31.                C076504000104 
 60.        54.         4.        2313.        27.                C076504000105 
 60.        58.         4.        1802.        24.                C076504000106 
 60.        64.         8.        1252.        14.                C076504000107 
 60.        72.         8.         723.        11.                C076504000108 
 60.        80.         8.         391.         8.                C076504000109 
 60.        88.         8.         245.         6.                C076504000110 
 60.        96.         8.         154.         5.                C076504000111 
 60.       104.         8.          94.         4.                C076504000112 
 60.       112.         8.          65.         3.                C076504000113 
 60.       120.         8.          34.         2.                C076504000114 
 60.       128.         8.          18.         2.                C076504000115 
 65.        15.         2.       10920.       185.                C076504000116 
 65.        17.         2.       15910.       223.                C076504000117 
 65.        19.         2.       20380.       253.                C076504000118 
 65.        21.         2.       22090.       263.                C076504000119 
 65.        24.         4.       19480.       175.                C076504000120 
 65.        27.         2.       14780.       215.                C076504000121 
 65.        29.         2.       12420.       197.                C076504000122 
 65.        31.         2.       11140.       187.                C076504000123 
 65.        33.         2.        9080.       169.                C076504000124 
 65.        35.         2.        7860.       157.                C076504000125 
 65.        37.         2.        6853.       146.                C076504000126 
 65.        39.         2.        5721.       134.                C076504000127 
 65.        42.         4.        4658.        85.                C076504000128 
 65.        46.         4.        3445.        73.                C076504000129 
 65.        50.         4.        2824.        66.                C076504000130 
 65.        54.         4.        2004.        56.                C076504000131 
 65.        58.         4.        1591.        50.                C076504000132 
 65.        64.         8.        1002.        28.                C076504000133 
 65.        72.         8.         597.        22.                C076504000134 
 65.        80.         8.         368.        17.                C076504000135 
 65.        88.         8.         229.        13.                C076504000136 
 65.        96.         8.         143.        11.                C076504000137 
 65.       104.         8.          80.         8.                C076504000138 
 65.       112.         8.          48.         6.                C076504000139 
 65.       120.         8.          25.         4.                C076504000140 
 65.       128.         8.          14.         3.                C076504000141 
 65.       136.         8.           8.7        2.6               C076504000142 
 65.       144.         8.           3.0        1.5               C076504000143 
 70.        15.         2.       11340.       168.                C076504000144 
 70.        17.         2.       16350.       202.                C076504000145 
 70.        19.         2.       21270.       231.                C076504000146 
 70.        21.         2.       22380.       237.                C076504000147 
 70.        24.         4.       19230.       155.                C076504000148 
 70.        27.         2.       14480.       190.                C076504000149 
 70.        29.         2.       12090.       174.                C076504000150 
 70.        31.         2.       10670.       163.                C076504000151 
 70.        33.         2.        8796.       148.                C076504000152 
 70.        35.         2.        7573.       138.                C076504000153 
 70.        37.         2.        3644.       126.                C076504000154 
 70.        39.         2.        2207.       117.                C076504000155 
 70.        42.         4.        4382.        74.                C076504000156 
 70.        46.         4.        3273.        64.                C076504000157 
 70.        50.         4.        2428.        55.                C076504000158 
 70.        54.         4.        1822.        48.                C076504000159 
 70.        58.         4.        1411.        42.                C076504000160 
 70.        64.         8.         898.        24.                C076504000161 
 70.        72.         8.         501.        18.                C076504000162 
 70.        80.         8.         318.        14.                C076504000163 
 70.        88.         8.         176.        10.                C076504000164 
 70.        96.         8.         104.         8.                C076504000165 
 70.       104.         8.          65.         6.                C076504000166 
 70.       112.         8.          46.         5.                C076504000167 
 70.       120.         8.          21.         4.                C076504000168 
 70.       128.         8.          13.         3.                C076504000169 
 70.       136.         8.          10.         2.                C076504000170 
 70.       144.         8.           2.5        1.3               C076504000171 
 90.         9.         2.         633.       132.                C076504000172 
 90.        11.         2.        2276.       116.                C076504000173 
 90.        13.         2.        4627.       113.                C076504000174 
 90.        15.         2.        9196.       121.                C076504000175 
 90.        17.         2.       14270.       134.                C076504000176 
 90.        19.         2.       17250.       140.                C076504000177 
 90.        21.         2.       17310.       137.                C076504000178 
 90.        24.         4.       13820.        85.                C076504000179 
 90.        27.         2.        9887.       102.                C076504000180 
 90.        29.         2.        8000.        91.                C076504000181 
 90.        31.         2.        6537.        82.                C076504000182 
 90.        33.         2.        5362.        75.                C076504000183 
 90.        35.         2.        4409.        67.                C076504000184 
 90.        37.         2.        3686.        61.                C076504000185 
 90.        39.         2.        3091.        56.                C076504000186 
 90.        42.         4.        2347.        34.                C076504000187 
 90.        46.         4.        1740.        29.                C076504000188 
 90.        50.         4.        1197.        24.                C076504000189 
 90.        54.         4.         889.        21.                C076504000190 
 90.        58.         4.         600.        17.                C076504000191 
 90.        64.         8.         389.        10.                C076504000192 
 90.        72.         8.         208.         7.                C076504000193 
 90.        80.         8.         109.         5.                C076504000194 
 90.        88.         8.          59.         4.                C076504000195 
 90.        96.         8.          28.         3.                C076504000196 
 90.       104.         8.          20.         2.                C076504000197 
 90.       112.         8.          10.         2.                C076504000198 
 90.       120.         8.           6.1        1.2               C076504000199 
 90.       128.         8.           3.1        0.9               C076504000200 
 90.       136.         8.           1.8        0.7               C076504000201 
120.         9.         2.        1931.        33.                C076504000202 
120.        11.         2.        2812.        37.                C076504000203 
120.        13.         2.        2441.        44.                C076504000204 
120.        15.         2.        9249.        64.                C076504000205 
120.        17.         2.       15210.        82.                C076504000206 
120.        19.         2.       15780.        83.                C076504000207 
120.        21.         2.       13930.        78.                C076504000208 
120.        24.         4.       10040.        47.                C076504000209 
120.        27.         2.        6523.        53.                C076504000210 
120.        29.         2.        4963.        46.                C076504000211 
120.        31.         2.        3865.        41.                C076504000212 
120.        33.         2.        3069.        37.                C076504000213 
120.        35.         2.        2380.        32.                C076504000214 
120.        37.         2.        1846.        28.                C076504000215 
120.        39.         2.        1448.        25.                C076504000216 
120.        42.         4.        1051.        15.                C076504000217 
120.        46.         4.         689.        12.                C076504000218 
120.        50.         4.         452.        10.                C076504000219 
120.        54.         4.         301.         8.                C076504000220 
120.        58.         4.         197.         7.                C076504000221 
120.        64.         8.         118.         4.                C076504000222 
120.        72.         8.          58.         3.                C076504000223 
120.        80.         8.          26.         2.                C076504000224 
120.        88.         8.          12.         1.                C076504000225 
120.        96.         8.           5.2        0.8               C076504000226 
120.       104.         8.           1.9        0.5               C076504000227 
120.       112.         8.           0.87       0.31              C076504000228 
120.       120.         8.           0.22       0.15              C076504000229 
160.         9.         2.        1212.       251.                C076504000230 
160.        11.         2.        3073.       178.                C076504000231 
160.        13.         2.        5997.       173.                C076504000232 
160.        15.         2.       10020.       121.                C076504000233 
160.        17.         2.       12010.       105.                C076504000234 
160.        19.         2.       11480.       118.                C076504000235 
160.        21.         2.        9299.       104.                C076504000236 
160.        24.         4.        5984.        44.                C076504000237 
160.        27.         2.        3410.        47.                C076504000238 
160.        29.         2.        2480.        40.                C076504000239 
160.        31.         2.        1800.        34.                C076504000240 
160.        33.         2.        1362.        30.                C076504000241 
160.        35.         2.        1029.        26.                C076504000242 
160.        37.         2.         739.        22.                C076504000243 
160.        39.         2.         576.        19.                C076504000244 
160.        42.         4.         394.        11.                C076504000245 
160.        46.         4.         226.         9.                C076504000246 
160.        50.         4.         146.         7.                C076504000247 
160.        54.         4.          99.         6.                C076504000248 
160.        58.         4.          57.         4.                C076504000249 
160.        64.         8.          29.         2.                C076504000250 
160.        72.         8.          12.         1.                C076504000251 
160.        80.         8.           5.         1.                C076504000252 
160.        88.         8.           3.         0.7               C076504000253 
160.        96.         8.           0.         0.24              C076504000254 
160.       104.         8.           0.         0.36              C076504000255 
160.       112.         8.           0.         0.16              C076504000256 
ENDDATA            238          0                                 C076504000257 
ENDSUBENT          256          0                                 C076504099999 
SUBENT        C0765041   20010123                             0000C076504100001 
BIB                  5         13                                 C076504100002 
REACTION   (47-AG-0(P,X)3-LI-8,,DA/DE)                            C076504100003 
SAMPLE     Sample thickness about 2 mg/cm2.                       C076504100004 
METHOD     (EDE)                                                  C076504100005 
DETECTOR   (TELES,SOLST) etector telescope consisting of 5 siliconC076504100006 
            surface barrier detectors.                            C076504100007 
CORRECTION All 10 degree data may be systematically low,          C076504100008 
            especially at higher fragment energies. The correctionC076504100009 
            is estimated <50%.                                    C076504100010 
           For runs at 10, 65, and 70 degrees, no data suitable   C076504100011 
            for subtracting light mass contaminants in target are C076504100012 
            available. Contributions from these contaminants are  C076504100013 
            estimated <15% at lowest energies and decreasing as   C076504100014 
            fragment energy increases.                            C076504100015 
ENDBIB              13          0                                 C076504100016 
NOCOMMON             0          0                                 C076504100017 
DATA                 5        191                                 C076504100018 
ANG        E-MEAN     E-RSL      DATA       ERR-S                 C076504100019 
ADEG       MEV        MEV        NB/SR/MEV  NB/SR/MEV             C076504100020 
 10.        27.         2.        2541.        70.                C076504100021 
 10.        29.         2.        2056.        63.                C076504100022 
 10.        31.         2.        1865.        60.                C076504100023 
 10.        33.         2.        1716.        57.                C076504100024 
 10.        35.         2.        1552.        54.                C076504100025 
 10.        37.         2.        1394.        52.                C076504100026 
 10.        39.         2.        1308.        50.                C076504100027 
 10.        42.         4.        1097.        32.                C076504100028 
 10.        46.         4.         860.        29.                C076504100029 
 10.        50.         4.         686.        26.                C076504100030 
 10.        54.         4.         553.        23.                C076504100031 
 10.        58.         4.         449.        21.                C076504100032 
 10.        64.         8.         318.        12.                C076504100033 
 10.        72.         8.         233.        11.                C076504100034 
 10.        80.         8.         112.         7.                C076504100035 
 10.        88.         8.          65.         6.                C076504100036 
 10.        96.         8.          51.         5.                C076504100037 
 10.       104.         8.          35.         4.                C076504100038 
 10.       112.         8.          30.         4.                C076504100039 
 10.       120.         8.           9.5        2.1               C076504100040 
 10.       128.         8.           4.3        1.4               C076504100041 
 20.        27.         2.        2974.       147.                C076504100042 
 20.        29.         2.        8722.       141.                C076504100043 
 20.        31.         2.        8711.       140.                C076504100044 
 20.        33.         2.        2078.       123.                C076504100045 
 20.        35.         2.        1796.       114.                C076504100046 
 20.        37.         2.        1555.       106.                C076504100047 
 20.        39.         2.        1295.        97.                C076504100048 
 20.        42.         4.        1253.        68.                C076504100049 
 20.        46.         4.         945.        59.                C076504100050 
 20.        50.         4.         686.        50.                C076504100051 
 20.        54.         4.         636.        48.                C076504100052 
 20.        58.         4.         452.        41.                C076504100053 
 20.        64.         8.         337.        25.                C076504100054 
 20.        72.         8.         202.        19.                C076504100055 
 20.        80.         8.         160.        17.                C076504100056 
 20.        88.         8.          98.        13.                C076504100057 
 20.        96.         8.          56.        10.                C076504100058 
 20.       104.         8.          51.        10.                C076504100059 
 20.       112.         8.          33.         8.                C076504100060 
 20.       120.         8.          20.         6.                C076504100061 
 20.       128.         8.          24.         7.                C076504100062 
 20.       136.         8.           9.1        4.1               C076504100063 
 20.       144.         8.           9.1        4.1               C076504100064 
 40.        27.         2.        2147.        43.                C076504100065 
 40.        29.         2.        1892.        40.                C076504100066 
 40.        31.         2.        1664.        38.                C076504100067 
 40.        33.         2.        1543.        36.                C076504100068 
 40.        35.         2.        1347.        34.                C076504100069 
 40.        37.         2.        1175.        32.                C076504100070 
 40.        39.         2.        1065.        30.                C076504100071 
 40.        42.         4.         909.        20.                C076504100072 
 40.        46.         4.         711.        17.                C076504100073 
 40.        50.         4.         524.        15.                C076504100074 
 40.        54.         4.         443.        14.                C076504100075 
 40.        58.         4.         334.        12.                C076504100076 
 40.        64.         8.         258.         7.                C076504100077 
 40.        72.         8.         157.         6.                C076504100078 
 40.        80.         8.          97.         5.                C076504100079 
 40.        88.         8.          60.         4.                C076504100080 
 40.        96.         8.          46.         3.                C076504100081 
 40.       104.         8.          27.         2.                C076504100082 
 40.       112.         8.          20.         2.                C076504100083 
 40.       120.         8.          13.         2.                C076504100084 
 40.       128.         8.           5.2        1.1               C076504100085 
 40.       136.         8.           4.7        1.0               C076504100086 
 60.        27.         2.        1904.        35.                C076504100087 
 60.        29.         2.        1688.        33.                C076504100088 
 60.        31.         2.        1448.        30.                C076504100089 
 60.        33.         2.        1314.        29.                C076504100090 
 60.        35.         2.        1142.        27.                C076504100091 
 60.        37.         2.        1019.        25.                C076504100092 
 60.        39.         2.         941.        24.                C076504100093 
 60.        42.         4.         711.        15.                C076504100094 
 60.        46.         4.         557.        13.                C076504100095 
 60.        50.         4.         427.        12.                C076504100096 
 60.        54.         4.         327.        10.                C076504100097 
 60.        58.         4.         242.         9.                C076504100098 
 60.        64.         8.         182.         5.                C076504100099 
 60.        72.         8.         108.         4.                C076504100100 
 60.        80.         8.          61.         3.                C076504100101 
 60.        88.         8.          36.         2.                C076504100102 
 60.        96.         8.          24.         2.                C076504100103 
 60.       104.         8.          17.         2.                C076504100104 
 60.       112.         8.          11.         1.                C076504100105 
 60.       120.         8.           5.2        0.9               C076504100106 
 60.       128.         8.           3.4        0.7               C076504100107 
 60.       136.         8.           0.32       0.22              C076504100108 
 65.        27.         2.        1694.        73.                C076504100109 
 65.        29.         2.        1690.        73.                C076504100110 
 65.        31.         2.        1313.        64.                C076504100111 
 65.        33.         2.        1131.        59.                C076504100112 
 65.        35.         2.        1035.        57.                C076504100113 
 65.        37.         2.         911.        53.                C076504100114 
 65.        39.         2.         713.        47.                C076504100115 
 65.        42.         4.         614.        31.                C076504100116 
 65.        46.         4.         483.        27.                C076504100117 
 65.        50.         4.         396.        25.                C076504100118 
 65.        54.         4.         307.        22.                C076504100119 
 65.        58.         4.         185.        17.                C076504100120 
 65.        64.         8.         128.        10.                C076504100121 
 65.        72.         8.          93.         9.                C076504100122 
 65.        80.         8.          50.         6.                C076504100123 
 65.        88.         8.          21.         4.                C076504100124 
 65.        96.         8.          23.         4.                C076504100125 
 65.       104.         8.          14.         3.                C076504100126 
 65.       112.         8.           5.5        2.1               C076504100127 
 65.       120.         8.           4.7        1.9               C076504100128 
 65.       128.         8.           3.1        1.6               C076504100129 
 65.       136.         8.           2.3        1.4               C076504100130 
 65.       144.         8.           0.78       0.78              C076504100131 
 70.        27.         2.        1642.        64.                C076504100132 
 70.        29.         2.        1624.        64.                C076504100133 
 70.        31.         2.        1271.        56.                C076504100134 
 70.        33.         2.        1129.        53.                C076504100135 
 70.        35.         2.         950.        49.                C076504100136 
 70.        37.         2.         859.        46.                C076504100137 
 70.        39.         2.         776.        44.                C076504100138 
 70.        42.         4.         554.        26.                C076504100139 
 70.        46.         4.         455.        24.                C076504100140 
 70.        50.         4.         327.        20.                C076504100141 
 70.        54.         4.         234.        17.                C076504100142 
 70.        58.         4.         200.        16.                C076504100143 
 70.        64.         8.         109.         8.                C076504100144 
 70.        72.         8.          70.         7.                C076504100145 
 70.        80.         8.          44.         5.                C076504100146 
 70.        88.         8.          27.         4.                C076504100147 
 70.        96.         8.          13.         3.                C076504100148 
 70.       104.         8.           9.6        2.5               C076504100149 
 70.       112.         8.           3.1        1.4               C076504100150 
 70.       120.         8.           1.2        0.9               C076504100151 
 70.       128.         8.           2.5        1.3               C076504100152 
 70.       136.         8.           1.2        0.9               C076504100153 
 70.       144.         8.        1642.        64.                C076504100154 
 90.        27.         2.        1324.        64.                C076504100155 
 90.        29.         2.        1271.        56.                C076504100156 
 90.        31.         2.        1129.        53.                C076504100157 
 90.        33.         2.         950.        49.                C076504100158 
 90.        35.         2.         859.        46.                C076504100159 
 90.        37.         2.         776.        44.                C076504100160 
 90.        39.         2.         554.        26.                C076504100161 
 90.        42.         4.         455.        24.                C076504100162 
 90.        46.         4.         327.        20.                C076504100163 
 90.        50.         4.         234.        17.                C076504100164 
 90.        54.         4.         200.        16.                C076504100165 
 90.        58.         4.         109.         8.                C076504100166 
 90.        64.         8.          70.         7.                C076504100167 
 90.        72.         8.          44.         5.                C076504100168 
 90.        80.         8.          27.         4.                C076504100169 
 90.        88.         8.          13.         3.                C076504100170 
 90.        96.         8.           9.6        2.5               C076504100171 
 90.       104.         8.           3.1        1.4               C076504100172 
 90.       112.         8.           1.2        0.9               C076504100173 
 90.       120.         8.           2.5        1.3               C076504100174 
 90.       128.         8.           1.2        0.9               C076504100175 
120.        27.         2.         692.        17.                C076504100176 
120.        29.         2.         608.        16.                C076504100177 
120.        31.         2.         466.        14.                C076504100178 
120.        33.         2.         389.        13.                C076504100179 
120.        35.         2.         314.        12.                C076504100180 
120.        37.         2.         230.        10.                C076504100181 
120.        39.         2.         185.         9.                C076504100182 
120.        42.         4.         138.         5.                C076504100183 
120.        46.         4.          85.         4.                C076504100184 
120.        50.         4.          65.         4.                C076504100185 
120.        54.         4.          40.         3.                C076504100186 
120.        58.         4.          25.         2.                C076504100187 
120.        64.         8.          14.         1.                C076504100188 
120.        72.         8.           6.8        0.9               C076504100189 
120.        80.         8.           2.9        0.6               C076504100190 
120.        88.         8.           0.98       0.33              C076504100191 
120.        96.         8.           0.43       0.22              C076504100192 
120.       104.         8.           0.11       0.11              C076504100193 
120.       112.         8.           0.11       0.11              C076504100194 
120.       120.         8.           0.11       0.11              C076504100195 
160.        27.         2.         366.        15.                C076504100196 
160.        29.         2.         288.        14.                C076504100197 
160.        31.         2.         212.        12.                C076504100198 
160.        33.         2.         170.        10.                C076504100199 
160.        35.         2.         125.         9.                C076504100200 
160.        37.         2.          88.         7.                C076504100201 
160.        39.         2.          70.         7.                C076504100202 
160.        42.         4.          51.         4.                C076504100203 
160.        46.         4.          32.         3.                C076504100204 
160.        50.         4.          15.         2.                C076504100205 
160.        54.         4.          14.         2.                C076504100206 
160.        58.         4.           8.3        1.6               C076504100207 
160.        64.         8.           4.3        0.8               C076504100208 
160.        72.         8.           1.6        0.5               C076504100209 
160.        80.         8.           2.0        0.6               C076504100210 
160.        88.         8.           0.16       0.16              C076504100211 
ENDDATA            193          0                                 C076504100212 
ENDSUBENT          211          0                                 C076504199999 
SUBENT        C0765042   20010123                             0000C076504200001 
BIB                  5         13                                 C076504200002 
REACTION   (47-AG-0(P,X)3-LI-9,,DA/DE)                            C076504200003 
SAMPLE     Sample thickness about 2 mg/cm2.                       C076504200004 
METHOD     (EDE)                                                  C076504200005 
DETECTOR   (TELES,SOLST) etector telescope consisting of 5 siliconC076504200006 
            surface barrier detectors.                            C076504200007 
CORRECTION All 10 degree data may be systematically low,          C076504200008 
            especially at higher fragment energies. The correctionC076504200009 
            is estimated <50%.                                    C076504200010 
           For runs at 10, 65, and 70 degrees, no data suitable   C076504200011 
            for subtracting light mass contaminants in target are C076504200012 
            available. Contributions from these contaminants are  C076504200013 
            estimated <15% at lowest energies and decreasing as   C076504200014 
            fragment energy increases.                            C076504200015 
ENDBIB              13          0                                 C076504200016 
NOCOMMON             0          0                                 C076504200017 
DATA                 5        160                                 C076504200018 
ANG        E-MEAN     E-RSL      DATA       ERR-S                 C076504200019 
ADEG       MEV        MEV        NB/SR/MEV  NB/SR/MEV             C076504200020 
 10.        29.         2.         438.        29.                C076504200021 
 10.        31.         2.         317.        25.                C076504200022 
 10.        33.         2.         273.        23.                C076504200023 
 10.        35.         2.         259.        22.                C076504200024 
 10.        37.         2.         224.        21.                C076504200025 
 10.        39.         2.         199.        19.                C076504200026 
 10.        42.         4.         179.        13.                C076504200027 
 10.        46.         4.         133.        11.                C076504200028 
 10.        50.         4.         103.        10.                C076504200029 
 10.        54.         4.          87.         9.                C076504200030 
 10.        58.         4.          76.         9.                C076504200031 
 10.        64.         8.          49.         5.                C076504200032 
 10.        72.         8.          48.         5.                C076504200033 
 10.        80.         8.          21.         3.                C076504200034 
 10.        88.         8.          14.         3.                C076504200035 
 10.        96.         8.          13.         2.                C076504200036 
 10.       104.         8.           7.9        1.9               C076504200037 
 10.       112.         8.           2.4        1.1               C076504200038 
 10.       120.         8.           4.3        1.4               C076504200039 
 10.       128.         8.           0.48       0.48              C076504200040 
 10.       136.         8.         407.        54.                C076504200041 
 20.        29.         2.         432.        56.                C076504200042 
