ENTRY            C0077   20040310                             0000C007700000001 
SUBENT        C0077001   20040310                             0000C007700100001 
BIB                 13         26                                 C007700100002 
INSTITUTE  (1USACLA)                                              C007700100003 
REFERENCE  (J,PR,167,915,196803)                                  C007700100004 
AUTHOR     (H.B.Eldridge,S.N.Bunker,J.M.Cameron,J.R.Richardson,   C007700100005 
           W.T.H.van Oers)                                        C007700100006 
TITLE      Studies of the Energy Dependence of p-O16 Interactions C007700100007 
            between 20 and 50 MeV.  II. Measurements of the       C007700100008 
            Polarizations of Protons Elastically Scattered by O16 C007700100009 
            at 24.5, 27.3, 30.1, 34.1, 36.8, and 39.7 MeV         C007700100010 
FACILITY   (CYCLO,1USACLA) UCLA sector-focused cyclotron.         C007700100011 
INC-SOURCE (POLIS) Beam polarized by carbon scatterer.            C007700100012 
SAMPLE     Disk of ice held in copper frame using Mylar foils.    C007700100013 
            Copper frame attached via a manifold to a reservoir   C007700100014 
            filled with liquid nitrogen, both target and manifold C007700100015 
            encased in evacuated scattering chamber.              C007700100016 
METHOD     (PHD)                                                  C007700100017 
           Beam energy determined by measuring range of protons   C007700100018 
            in calibrated aluminum absorbers.                     C007700100019 
DETECTOR   (NAICR) Scattered protons detected using 4 NaI(Tl)     C007700100020 
            integral line detectors, placed in pairs at equal     C007700100021 
            angles to left and right of incident beam.            C007700100022 
CORRECTION Corrected for scattering from hydrogen.                C007700100023 
ERR-ANALYS (DATA-ERR) No information on source of uncertainty     C007700100024 
STATUS     Data received from W.H.T. vanOers, 97/9.               C007700100025 
           (APRVD) Approved by W.T.H. vanOers, 97/12/10.          C007700100026 
HISTORY    (19970716C)                                            C007700100027 
           (20040310A) Updated to new date formats.               C007700100028 
ENDBIB              26          0                                 C007700100029 
COMMON               1          3                                 C007700100030 
ANG-ERR                                                           C007700100031 
ADEG                                                              C007700100032 
 0.1                                                              C007700100033 
ENDCOMMON            3          0                                 C007700100034 
ENDSUBENT           33          0                                 C007700199999 
SUBENT        C0077002   19970716                             0000C007700200001 
BIB                  1          1                                 C007700200002 
REACTION   (8-O-16(P,EL)8-O-16,,POL/DA,,ANA)                      C007700200003 
ENDBIB               1          0                                 C007700200004 
NOCOMMON             0          0                                 C007700200005 
DATA                 5        258                                 C007700200006 
EN         EN-RSL-FW  ANG-CM     DATA       DATA-ERR              C007700200007 
 36.8       1.8        77.5       0.143      0.014                C007700200203 
 36.8       1.8        81.7       0.083      0.014                C007700200204 
 36.8       1.8        85.9       0.137      0.017                C007700200205 
 36.8       1.8        90.        0.243      0.026                C007700200206 
 36.8       1.8        93.7       0.452      0.035                C007700200207 
 36.8       1.8        98.4       0.586      0.041                C007700200208 
 36.8       1.8       102.        0.770      0.052                C007700200209 
 36.8       1.8       105.9       0.824      0.056                C007700200210 
 36.8       1.8       110.        0.864      0.058                C007700200211 
 36.8       1.8       113.5       0.921      0.062                C007700200212 
 36.8       1.8       117.3       0.920      0.062                C007700200213 
 36.8       1.8       121.3       0.822      0.060                C007700200214 
 36.8       1.8       125.        0.601      0.061                C007700200215 
 36.8       1.8       129.        0.472      0.074                C007700200216 
 36.8       1.8       132.9       0.330      0.066                C007700200217 
 36.8       1.8       136.6       0.306      0.059                C007700200218 
 36.8       1.8       140.3       0.222      0.042                C007700200219 
 36.8       1.8       144.5       0.126      0.038                C007700200220 
 36.8       1.8       148.2       0.336      0.045                C007700200221 
 36.8       1.8       151.9       0.446      0.047                C007700200222 
 36.8       1.8       155.5       0.430      0.048                C007700200223 
 36.8       1.8       159.1       0.515      0.059                C007700200224 
 39.7       1.5        17.0      -0.001      0.001                C007700200225 
 39.7       1.5        19.2      -0.039      0.002                C007700200226 
 39.7       1.5        21.3      -0.048      0.004                C007700200227 
 39.7       1.5        24.0      -0.071      0.004                C007700200228 
 39.7       1.5        26.5      -0.063      0.004                C007700200229 
 39.7       1.5        29.3      -0.135      0.007                C007700200230 
 39.7       1.5        32.0      -0.185      0.008                C007700200231 
 39.7       1.5        34.5      -0.167      0.009                C007700200232 
 39.7       1.5        37.1      -0.141      0.010                C007700200233 
 39.7       1.5        39.8      -0.074      0.010                C007700200234 
 39.7       1.5        42.4      +0.147      0.013                C007700200235 
 39.7       1.5        45.0       0.405      0.021                C007700200236 
 39.7       1.5        47.6       0.571      0.025                C007700200237 
 39.7       1.5        50.3       0.665      0.028                C007700200238 
 39.7       1.5        52.9       0.657      0.030                C007700200239 
 39.7       1.5        55.5       0.632      0.028                C007700200240 
 39.7       1.5        58.1       0.577      0.027                C007700200241 
 39.7       1.5        60.7       0.526      0.026                C007700200242 
 39.7       1.5        63.3       0.454      0.023                C007700200243 
 39.7       1.5        65.8       0.433      0.025                C007700200244 
 39.7       1.5        68.4       0.374      0.027                C007700200245 
 39.7       1.5        71.0       0.377      0.027                C007700200246 
 39.7       1.5        73.5       0.247      0.032                C007700200247 
 39.7       1.5        76.1       0.161      0.031                C007700200248 
 39.7       1.5        78.6       0.161      0.014                C007700200249 
 39.7       1.5        83.7       0.183      0.015                C007700200250 
 39.7       1.5        88.7       0.252      0.020                C007700200251 
 39.7       1.5        93.7       0.344      0.020                C007700200252 
 39.7       1.5        98.7       0.482      0.028                C007700200253 
 39.7       1.5       103.7       0.711      0.035                C007700200254 
 39.7       1.5       108.6       0.915      0.052                C007700200255 
 39.7       1.5       113.5       0.927      0.049                C007700200256 
 39.7       1.5       118.4       0.692      0.053                C007700200257 
 39.7       1.5       123.2      +0.476      0.075                C007700200258 
 39.7       1.5       128.1       0.270      0.072                C007700200259 
 39.7       1.5       132.9       0.055      0.114                C007700200260 
 39.7       1.5       137.6      -0.096      0.080                C007700200261 
 39.7       1.5       142.4      -0.412      0.051                C007700200262 
 39.7       1.5       147.1       0.132      0.050                C007700200263 
 39.7       1.5       151.9       0.235      0.053                C007700200264 
 39.7       1.5       156.6       0.556      0.053                C007700200265 
 39.7       1.5       161.3       0.529      0.053                C007700200266 
ENDDATA            260          0                                 C007700200267 
ENDSUBENT          266          0                                 C007700299999 
ENDENTRY             2          0                                 C007799999999 
