ENTRY            C1017   20040412                             0000C101700000001 
SUBENT        C1017001   20040412                             0000C101700100001 
BIB                 10         11                                 C101700100002 
INSTITUTE  (1USAROC)                                              C101700100003 
REFERENCE  (J,PR,115,389,195907)                                  C101700100004 
AUTHOR     (C.A.Preskitt,W.P.Alford)                              C101700100005 
TITLE      Elastic Scattering of Protons by Vanadium, Chromium,   C101700100006 
            Iron, and Cobalt                                      C101700100007 
FACILITY   (CYCLO,1USAROC)                                        C101700100008 
DETECTOR   (CSICR)                                                C101700100009 
MONITOR    (79-AU-197(P,EL)79-AU-197,,DA)                         C101700100010 
ERR-ANALYS (ERR-S) Statistical uncertainty.                       C101700100011 
STATUS     Data taken from tables in reference.                   C101700100012 
BIB                  2          2                                 C101700400002 
REACTION   (26-FE-0(P,EL)26-FE-0,,DA,,RTH)                        C101700400003 
SAMPLE     Natural iron sample, areal density 1.8 mg/cm2.         C101700400004 
ENDBIB               2          0                                 C101700400005 
NOCOMMON             0          0                                 C101700400006 
DATA                 3        202                                 C101700400007 
EN         ANG        DATA                                        C101700400008 
MEV        ADEG       NO-DIM                                      C101700400009 
  3.92      35.        1.005                                      C101700400010 
  3.92      45.        0.985                                      C101700400011 
  3.92      55.        1.020                                      C101700400012 
  3.92      65.        1.000                                      C101700400013 
  3.92      75.        0.995                                      C101700400014 
  3.92      85.        1.010                                      C101700400015 
  3.92      95.        0.980                                      C101700400016 
  3.92     105.        0.975                                      C101700400017 
  3.92     110.        0.970                                      C101700400018 
  3.92     115.        0.980                                      C101700400019 
  3.92     125.        1.000                                      C101700400020 
  3.92     135.        1.030                                      C101700400021 
  3.92     145.        1.080                                      C101700400022 
  3.92     155.        1.175                                      C101700400023 
  3.92     160.        1.195                                      C101700400024 
  4.41      30.        0.980                                      C101700400025 
  4.41      40.        1.005                                      C101700400026 
  4.41      50.        0.980                                      C101700400027 
  4.41      55.        1.015                                      C101700400028 
  4.41      60.        1.000                                      C101700400029 
