 1.13        1.076E+02  1.324E+01  1.548E+00                      E010300400109 
 1.13        1.126E+02  1.351E+01  1.779E+00                      E010300400110 
 1.13        1.178E+02  1.255E+01  1.529E+00                      E010300400111 
 1.13        1.228E+02  1.449E+01  1.699E+00                      E010300400112 
 1.13        1.279E+02  1.559E+01  1.947E+00                      E010300400113 
 1.13        1.329E+02  1.087E+01  1.325E+00                      E010300400114 
 1.13        1.377E+02  8.090E+00  9.465E-01                      E010300400115 
 1.35        1.472E+01  3.919E+01  6.696E+00                      E010300400116 
 1.35        1.973E+01  6.171E+01  7.526E+00                      E010300400117 
 1.35        2.540E+01  6.367E+01  8.188E+00                      E010300400118 
 1.35        3.023E+01  3.413E+01  4.736E+00                      E010300400119 
 1.35        3.593E+01  1.881E+01  2.214E+00                      E010300400120 
 1.35        4.045E+01  3.060E+01  3.446E+00                      E010300400121 
 1.35        4.572E+01  2.610E+01  3.213E+00                      E010300400122 
 1.35        5.057E+01  3.319E+01  4.084E+00                      E010300400123 
 1.35        5.584E+01  2.857E+01  3.662E+00                      E010300400124 
 1.35        6.609E+01  1.474E+01  1.658E+00                      E010300400125 
 1.35        7.191E+01  1.756E+01  2.159E+00                      E010300400126 
 1.35        7.655E+01  1.303E+01  1.469E+00                      E010300400127 
 1.35        8.181E+01  9.896E+00  1.217E+00                      E010300400128 
 1.35        8.662E+01  1.040E+01  1.280E+00                      E010300400129 
 1.35        9.193E+01  1.058E+01  1.249E+00                      E010300400130 
 1.35        9.688E+01  1.232E+01  1.452E+00                      E010300400131 
 1.35        1.017E+02  1.192E+01  1.405E+00                      E010300400132 
 1.47        1.495E+01  6.538E+01  9.530E+00                      E010300400133 
 1.47        2.055E+01  6.390E+01  8.118E+00                      E010300400134 
 1.47        2.604E+01  7.555E+01  9.251E+00                      E010300400135 
 1.47        3.081E+01  4.524E+01  6.306E+00                      E010300400136 
 1.47        3.564E+01  4.054E+01  6.155E+00                      E010300400137 
 1.47        4.133E+01  2.605E+01  2.998E+00                      E010300400138 
 1.47        4.676E+01  2.832E+01  3.678E+00                      E010300400139 
 1.47        5.147E+01  2.409E+01  3.178E+00                      E010300400140 
 1.47        5.588E+01  2.555E+01  2.942E+00                      E010300400141 
 1.47        6.666E+01  2.826E+01  1.202E+00                      E010300400142 
 1.47        7.143E+01  1.665E+01  1.911E+00                      E010300400143 
 1.47        7.671E+01  1.460E+01  1.414E+00                      E010300400144 
 1.47        8.169E+01  1.279E+01  1.469E+00                      E010300400145 
 1.47        8.679E+01  9.120E+00  9.919E-01                      E010300400146 
 1.47        9.157E+01  1.487E+01  1.886E+00                      E010300400147 
 1.47        9.654E+01  1.182E+01  1.501E+00                      E010300400148 
 1.47        1.025E+02  1.187E+01  1.440E+00                      E010300400149 
 1.8         1.512E+01  9.236E+01  1.500E+01                      E010300400150 
 1.8         2.016E+01  7.837E+01  1.045E+01                      E010300400151 
 1.8         2.551E+01  5.218E+01  7.706E+00                      E010300400152 
 1.8         3.042E+01  3.906E+01  5.034E+00                      E010300400153 
 1.8         3.559E+01  7.064E+01  7.131E+00                      E010300400154 
 1.8         4.087E+01  6.408E+01  7.643E+00                      E010300400155 
 1.8         4.614E+01  5.128E+01  5.890E+00                      E010300400156 
 1.8         5.127E+01  3.871E+01  4.632E+00                      E010300400157 
 1.8         5.633E+01  3.410E+01  3.749E+00                      E010300400158 
 1.8         6.125E+01  1.352E+01  1.868E+00                      E010300400159 
 1.8         6.650E+01  1.992E+01  2.283E+00                      E010300400160 
 1.8         7.205E+01  2.332E+01  2.792E+00                      E010300400161 
 1.8         7.672E+01  1.613E+01  2.157E+00                      E010300400162 
 1.8         8.164E+01  1.280E+01  2.391E+00                      E010300400163 
 1.8         8.707E+01  7.269E+00  1.005E+00                      E010300400164 
 1.8         9.152E+01  5.132E+00  9.343E-01                      E010300400165 
 1.8         9.701E+01  8.119E+00  1.164E+00                      E010300400166 
 1.8         1.021E+02  9.667E+00  1.387E+00                      E010300400167 
ENDDATA            153          0                                 E010300400168 
ENDSUBENT          167          0                                 E010300499999 
SUBENT        E0103005   20091023                             E060E010300500001 
BIB                  5          8                                 E010300500002 
REACTION   (40-ZR-94(D,A)39-Y-92,PAR,IPA)                         E010300500003 
EN-SEC     ANG-CM is polar angle (c.m.) between beam and alpha    E010300500004 
