ENTRY            E1986   20130309                             E074E198600000001 
SUBENT        E1986001   20130309                             E074E198600100001 
BIB                 15         42                                 E198600100002 
TITLE      Measurement of neutron emission spectra in Li(d,xn)    E198600100003 
           reaction with thick and thin targets for 40-MeV        E198600100004 
           deuterons                                              E198600100005 
AUTHOR     (M.Hagiwara, T.Itoga, N.Kawata, N.Hirabayashi, T.Oishi,E198600100006 
            T.Yamauchi, M.Baba, M.Sugimoto, T.Muroga)             E198600100007 
INSTITUTE  (2JPNTOH) Cyclotron and Radioisotope Center            E198600100008 
           (2JPNJAE)                                              E198600100009 
           (2JPNNIF)                                              E198600100010 
REFERENCE  (J,FST,48,(3),1320,200511)                             E198600100011 
PART-DET   (N)                                                    E198600100012 
INC-SOURCE Beam intensity is 0.1 to 20 nA.                        E198600100013 
SAMPLE     - Target is natural.                                   E198600100014 
           - Chemical-form of target is element.                  E198600100015 
           - Physical-form of target is solid.                    E198600100016 
           - Backing-thickness: 30-mm diameter x 21.4-mm          E198600100017 
             thickness (thick target) and 30-mm diameter x        E198600100018 
             0.86-mm thickness (thin target)                      E198600100019 
METHOD     (TOF) Flight path of 11/3.45 m for high/low energy     E198600100020 
                 region                                           E198600100021 
FACILITY   (ISOCY,2JPNTOH) AVF cyclotron at Cyclotron and         E198600100022 
                           Radioisotope Center                    E198600100023 
DETECTOR   Solid angle of detector is less than 0.17 msr.         E198600100024 
           (SCIN) To detect neutrons emitted from targets (NE213) E198600100025 
CORRECTION Correction were performed for the effects of (a)       E198600100026 
           neutron attenuation in target and (b) neutron          E198600100027 
           attenuation in the air and the wall of target chamber. E198600100028 
ERR-ANALYS (ERR-1) Uncertainty of detector efficiency with the    E198600100029 
                   SCINFUL-R code                                 E198600100030 
           (ERR-2,,10.) Maximum uncertainty of attenuation in     E198600100031 
                        target (larger at backward angles and     E198600100032 
                        ranged up to 20% at low energy (<8 MeV)   E198600100033 
                        and generally several percent for the air E198600100034 
                        and chamber wall.) (<10%)                 E198600100035 
           (ERR-S,,10.) Maximum statistical uncertainty (larger   E198600100036 
                        than 20% at the highest energy (>40 MeV)) E198600100037 
                        (<10%)                                    E198600100038 
ADD-RES    (N-SPC) Neutron energy spectra from thin lithium       E198600100039 
                   target (Fig.10, p1326 in reference)            E198600100040 
STATUS     (APRVD) Proofread by Masayuki Hagiwara (2006.05.31)    E198600100041 
HISTORY    (20060530R) On. Received by e-mail from M.Hagiwara     E198600100042 
           (20060531C) Kc + On                                    E198600100043 
           (20130205A) MA. 004: REL-REF corrected                 E198600100044 
ENDBIB              42          0                                 E198600100045 
COMMON               1          3                                 E198600100046 
ERR-1                                                             E198600100047 
PER-CENT                                                          E198600100048 
 6.                                                               E198600100049 
ENDCOMMON            3          0                                 E198600100050 
ENDSUBENT           49          0                                 E198600199999 
SUBENT        E1986002   20070208                             E042E198600200001 
BIB                  5         13                                 E198600200002 
REL-REF    (A,,M.J.Saltmarsh+,J,NIM,145,81,1977)                  E198600200003 
           Good agreement with the present data on the whole up   E198600200004 
           to 40 MeV, but their data at 0 deg are rather smaller  E198600200005 
           than the present data and a little bit larger at other E198600200006 
           angles except for the data at 45 deg.                  E198600200007 
REACTION   (3-LI-0(D,X)0-NN-1,,TTY/PY/DA/DE)                      E198600200008 
EN-SEC     ANG is polar angle between beam and neutron in         E198600200009 
           laboratory system                                      E198600200010 
           (E,N)                                                  E198600200011 
ADD-RES    (COMP) Monte-Carlo method (Monte Carlo codes McDeLi,   E198600200012 
                  McDeLicious and MCNPX)                          E198600200013 
STATUS     (TABLE) Data (Fig.5, p1324 in reference) received by   E198600200014 
                   e-mail from M.Hagiwara (2006.05.30)            E198600200015 
ENDBIB              13          0                                 E198600200016 
COMMON               2          3                                 E198600200017 
EN         ANG-RSL                                                E198600200018 
MEV        ADEG                                                   E198600200019 
 40.        0.5                                                   E198600200020 
ENDCOMMON            3          0                                 E198600200021 
DATA                 5        769                                 E198600200022 
ANG        E          E-ERR      DATA       ERR-T                 E198600200023 
 60.        45.         1.472E+00  1.891E+06  2.786E+05           E198600200643 
 60.        46.         1.522E+00  1.015E+06  1.827E+05           E198600200644 
 90.        1.          1.341E-02  4.509E+09  4.161E+08           E198600200645 
 90.        1.1         1.526E-02  4.235E+09  3.978E+08           E198600200646 
 90.        1.2         1.719E-02  4.070E+09  3.897E+08           E198600200647 
 90.        1.3         1.918E-02  3.971E+09  3.892E+08           E198600200648 
 90.        1.4         2.125E-02  3.839E+09  3.693E+08           E198600200649 
 90.        1.5         2.338E-02  3.708E+09  3.534E+08           E198600200650 
 90.        1.6         2.558E-02  3.731E+09  3.509E+08           E198600200651 
 90.        1.7         2.784E-02  3.588E+09  3.354E+08           E198600200652 
 90.        1.8         3.017E-02  3.626E+09  3.369E+08           E198600200653 
 90.        1.9         3.255E-02  3.572E+09  3.298E+08           E198600200654 
 90.        2.          3.499E-02  3.407E+09  3.132E+08           E198600200655 
 90.        2.1         3.750E-02  3.436E+09  3.147E+08           E198600200656 
 90.        2.2         4.005E-02  3.285E+09  2.994E+08           E198600200657 
 90.        2.3         4.267E-02  3.310E+09  3.001E+08           E198600200658 
 90.        2.4         4.533E-02  3.254E+09  2.938E+08           E198600200659 
 90.        2.5         4.805E-02  3.221E+09  2.898E+08           E198600200660 
 90.        2.6         5.082E-02  3.144E+09  2.818E+08           E198600200661 
 90.        2.7         5.365E-02  3.041E+09  2.718E+08           E198600200662 
 90.        2.8         5.652E-02  3.038E+09  2.708E+08           E198600200663 
 90.        2.9         5.944E-02  2.968E+09  2.636E+08           E198600200664 
 90.        3.          6.241E-02  2.985E+09  2.642E+08           E198600200665 
 90.        3.1         6.543E-02  2.818E+09  2.487E+08           E198600200666 
 90.        3.2         6.850E-02  2.808E+09  2.473E+08           E198600200667 
 90.        3.3         7.161E-02  2.664E+09  2.341E+08           E198600200668 
 90.        3.4         7.477E-02  2.559E+09  2.245E+08           E198600200669 
 90.        3.5         7.797E-02  2.420E+09  2.118E+08           E198600200670 
 90.        3.6         8.122E-02  2.285E+09  1.997E+08           E198600200671 
 90.        3.7         8.451E-02  2.162E+09  1.887E+08           E198600200672 
 90.        3.8         8.785E-02  2.018E+09  1.759E+08           E198600200673 
 90.        3.9         9.123E-02  1.905E+09  1.659E+08           E198600200674 
 90.        4.          9.465E-02  1.791E+09  1.558E+08           E198600200675 
 90.        4.1         9.811E-02  1.716E+09  1.491E+08           E198600200676 
 90.        4.2         1.016E-01  1.621E+09  1.408E+08           E198600200677 
 90.        4.3         1.052E-01  1.485E+09  1.290E+08           E198600200678 
 90.        4.4         1.087E-01  1.442E+09  1.251E+08           E198600200679 
 90.        4.5         1.124E-01  1.331E+09  1.156E+08           E198600200680 
 90.        4.6         1.160E-01  1.266E+09  1.099E+08           E198600200681 
 90.        4.7         1.197E-01  1.178E+09  1.023E+08           E198600200682 
 90.        4.8         1.235E-01  1.156E+09  1.004E+08           E198600200683 
 90.        4.9         1.273E-01  1.106E+09  9.609E+07           E198600200684 
 90.        5.          1.311E-01  8.819E+08  7.466E+07           E198600200685 
 90.        6.          1.713E-01  6.064E+08  5.111E+07           E198600200686 
 90.        7.          9.243E-02  5.622E+08  4.731E+07           E198600200687 
 90.        8.          1.122E-01  5.483E+08  4.609E+07           E198600200688 
 90.        9.          1.332E-01  4.492E+08  3.772E+07           E198600200689 
 90.        10.         1.553E-01  3.831E+08  3.213E+07           E198600200690 
 90.        11.         1.786E-01  3.130E+08  2.622E+07           E198600200691 
 90.        12.         2.030E-01  2.679E+08  2.242E+07           E198600200692 
 90.        13.         2.284E-01  2.258E+08  1.888E+07           E198600200693 
 90.        14.         2.549E-01  1.837E+08  1.535E+07           E198600200694 
 90.        15.         2.823E-01  1.419E+08  1.186E+07           E198600200695 
 90.        16.         3.107E-01  1.085E+08  9.072E+06           E198600200696 
 90.        17.         3.399E-01  8.965E+07  7.495E+06           E198600200697 
 90.        18.         3.701E-01  7.597E+07  6.353E+06           E198600200698 
 90.        19.         4.012E-01  6.280E+07  5.254E+06           E198600200699 
 90.        20.         4.331E-01  5.622E+07  4.705E+06           E198600200700 
 90.        21.         4.658E-01  4.865E+07  4.072E+06           E198600200701 
 90.        22.         4.994E-01  3.992E+07  3.346E+06           E198600200702 
 90.        23.         5.338E-01  3.482E+07  2.920E+06           E198600200703 
 90.        24.         5.689E-01  3.118E+07  2.617E+06           E198600200704 
 90.        25.         6.049E-01  2.770E+07  2.328E+06           E198600200705 
 90.        26.         6.416E-01  2.425E+07  2.041E+06           E198600200706 
 90.        27.         6.790E-01  2.255E+07  1.900E+06           E198600200707 
 90.        28.         7.172E-01  1.853E+07  1.568E+06           E198600200708 
 90.        29.         7.562E-01  1.581E+07  1.343E+06           E198600200709 
 90.        30.         7.958E-01  1.288E+07  1.101E+06           E198600200710 
 90.        31.         8.362E-01  1.076E+07  9.274E+05           E198600200711 
 90.        32.         8.772E-01  8.510E+06  7.418E+05           E198600200712 
 90.        33.         9.190E-01  7.201E+06  6.340E+05           E198600200713 
 90.        34.         9.614E-01  5.702E+06  5.110E+05           E198600200714 
 90.        35.         1.005E+00  4.462E+06  4.089E+05           E198600200715 
 90.        36.         1.048E+00  3.205E+06  3.057E+05           E198600200716 
 90.        37.         1.093E+00  1.748E+06  1.849E+05           E198600200717 
 90.        38.         1.138E+00  9.841E+05  1.202E+05           E198600200718 
 90.        39.         1.184E+00  7.033E+05  9.586E+04           E198600200719 
 90.        40.         1.230E+00  3.214E+05  6.022E+04           E198600200720 
 110.       1.          1.341E-02  3.745E+09  7.241E+08           E198600200721 
 110.       1.1         1.526E-02  3.510E+09  7.300E+08           E198600200722 
 110.       1.2         1.719E-02  3.479E+09  7.799E+08           E198600200723 
 110.       1.3         1.918E-02  3.392E+09  8.312E+08           E198600200724 
 110.       1.4         2.125E-02  3.360E+09  7.669E+08           E198600200725 
 110.       1.5         2.338E-02  3.218E+09  7.079E+08           E198600200726 
 110.       1.6         2.558E-02  3.229E+09  6.747E+08           E198600200727 
 110.       1.7         2.784E-02  3.109E+09  6.323E+08           E198600200728 
 110.       1.8         3.017E-02  3.090E+09  6.135E+08           E198600200729 
 110.       1.9         3.255E-02  3.013E+09  5.832E+08           E198600200730 
 110.       2.          3.499E-02  2.941E+09  5.577E+08           E198600200731 
 110.       2.1         3.750E-02  2.900E+09  5.410E+08           E198600200732 
 110.       2.2         4.005E-02  2.864E+09  5.225E+08           E198600200733 
 110.       2.3         4.267E-02  2.786E+09  4.969E+08           E198600200734 
 110.       2.4         4.533E-02  2.763E+09  4.839E+08           E198600200735 
 110.       2.5         4.805E-02  2.657E+09  4.573E+08           E198600200736 
 110.       2.6         5.082E-02  2.637E+09  4.462E+08           E198600200737 
 110.       2.7         5.365E-02  2.593E+09  4.321E+08           E198600200738 
 110.       2.8         5.652E-02  2.469E+09  4.063E+08           E198600200739 
 110.       2.9         5.944E-02  2.396E+09  3.871E+08           E198600200740 
 110.       3.          6.241E-02  2.329E+09  3.707E+08           E198600200741 
 110.       3.1         6.543E-02  2.230E+09  3.496E+08           E198600200742 
 110.       3.2         6.850E-02  2.144E+09  3.319E+08           E198600200743 
 110.       3.3         7.161E-02  2.023E+09  3.093E+08           E198600200744 
 110.       3.4         7.477E-02  1.917E+09  2.896E+08           E198600200745 
 110.       3.5         7.797E-02  1.820E+09  2.716E+08           E198600200746 
 110.       3.6         8.122E-02  1.685E+09  2.488E+08           E198600200747 
 110.       3.7         8.451E-02  1.607E+09  2.350E+08           E198600200748 
 110.       3.8         8.785E-02  1.547E+09  2.240E+08           E198600200749 
 110.       3.9         9.123E-02  1.382E+09  1.982E+08           E198600200750 
 110.       4.          9.465E-02  1.302E+09  1.849E+08           E198600200751 
 110.       4.1         9.811E-02  1.261E+09  1.775E+08           E198600200752 
 110.       4.2         1.016E-01  1.177E+09  1.644E+08           E198600200753 
 110.       4.3         1.052E-01  1.117E+09  1.546E+08           E198600200754 
 110.       4.4         1.087E-01  1.042E+09  1.432E+08           E198600200755 
 110.       4.5         1.124E-01  9.402E+08  1.284E+08           E198600200756 
 110.       4.6         1.160E-01  9.311E+08  1.261E+08           E198600200757 
 110.       4.7         1.197E-01  8.831E+08  1.187E+08           E198600200758 
 110.       4.8         1.235E-01  8.409E+08  1.123E+08           E198600200759 
 110.       4.9         1.273E-01  8.180E+08  1.086E+08           E198600200760 
 110.       5.          1.311E-01  6.450E+08  8.338E+07           E198600200761 
 110.       6.          1.713E-01  4.505E+08  5.766E+07           E198600200762 
 110.       7.          9.243E-02  4.071E+08  5.166E+07           E198600200763 
 110.       8.          1.122E-01  3.803E+08  4.794E+07           E198600200764 
 110.       9.          1.332E-01  2.953E+08  3.697E+07           E198600200765 
 110.       10.         1.553E-01  2.378E+08  2.954E+07           E198600200766 
 110.       11.         1.786E-01  1.914E+08  2.361E+07           E198600200767 
 110.       12.         2.030E-01  1.606E+08  1.971E+07           E198600200768 
 110.       13.         2.284E-01  1.315E+08  1.602E+07           E198600200769 
 110.       14.         2.549E-01  1.054E+08  1.277E+07           E198600200770 
 110.       15.         2.823E-01  8.251E+07  9.933E+06           E198600200771 
 110.       16.         3.107E-01  6.725E+07  8.055E+06           E198600200772 
 110.       17.         3.399E-01  5.592E+07  6.668E+06           E198600200773 
 110.       18.         3.701E-01  4.635E+07  5.500E+06           E198600200774 
 110.       19.         4.012E-01  3.813E+07  4.507E+06           E198600200775 
 110.       20.         4.331E-01  3.012E+07  3.547E+06           E198600200776 
 110.       21.         4.658E-01  2.475E+07  2.900E+06           E198600200777 
 110.       22.         4.994E-01  2.143E+07  2.503E+06           E198600200778 
 110.       23.         5.338E-01  1.850E+07  2.153E+06           E198600200779 
 110.       24.         5.689E-01  1.525E+07  1.770E+06           E198600200780 
 110.       25.         6.049E-01  1.215E+07  1.408E+06           E198600200781 
 110.       26.         6.416E-01  9.131E+06  1.061E+06           E198600200782 
 110.       27.         6.790E-01  7.547E+06  8.780E+05           E198600200783 
 110.       28.         7.172E-01  5.947E+06  6.954E+05           E198600200784 
 110.       29.         7.562E-01  4.659E+06  5.487E+05           E198600200785 
 110.       30.         7.958E-01  3.774E+06  4.484E+05           E198600200786 
 110.       31.         8.362E-01  2.859E+06  3.454E+05           E198600200787 
 110.       32.         8.772E-01  2.040E+06  2.537E+05           E198600200788 
 110.       33.         9.190E-01  1.055E+06  1.436E+05           E198600200789 
 110.       34.         9.614E-01  6.289E+05  9.540E+04           E198600200790 
 110.       35.         1.005E+00  3.741E+05  6.546E+04           E198600200791 
 110.       36.         1.048E+00  1.953E+05  4.343E+04           E198600200792 
 110.       37.         1.093E+00  1.088E+05  3.165E+04           E198600200793 
ENDDATA            771          0                                 E198600200794 
ENDSUBENT          793          0                                 E198600299999 
SUBENT        E1986003   20070208                             E042E198600300001 
BIB                  6         11                                 E198600300002 
REL-REF    (A,,M.J.Saltmarsh+,J,NIM,145,81,1977)                  E198600300003 
REACTION   (3-LI-0(D,X)0-NN-1,,TTY/PY/DA)                         E198600300004 
EN-SEC     ANG is polar angle between beam and neutron in         E198600300005 
           laboratory system                                      E198600300006 
ANALYSIS   (INTED) Assuming the flat spectrum below 1 MeV.        E198600300007 
                   Uncertainty due to the assumption of the flat  E198600300008 
                   spectrum below 1 MeV is not significant (<1%). E198600300009 
ADD-RES    (COMP) Monte-Carlo method (Monte Carlo codes McDeLi,   E198600300010 
                  McDeLicious and MCNPX)                          E198600300011 
STATUS     (TABLE) Data (Fig.8, p1325 in reference) received by   E198600300012 
                   e-mail from M.Hagiwara (2006.05.30)            E198600300013 
ENDBIB              11          0                                 E198600300014 
COMMON               2          3                                 E198600300015 
EN         ANG-RSL                                                E198600300016 
MEV        ADEG                                                   E198600300017 
 40.        0.5                                                   E198600300018 
ENDCOMMON            3          0                                 E198600300019 
DATA                 3          9                                 E198600300020 
ANG        DATA       ERR-T                                       E198600300021 
ADEG       PRD/MUC/SR PRD/MUC/SR                                  E198600300022 
 0.          4.480E+11  4.720E+10                                 E198600300023 
 10.         1.690E+11  1.840E+10                                 E198600300024 
 15.         1.070E+11  1.200E+10                                 E198600300025 
 20.         8.940E+10  1.040E+10                                 E198600300026 
 30.         6.260E+10  7.590E+09                                 E198600300027 
 45.         4.400E+10  5.950E+09                                 E198600300028 
 60.         2.740E+10  3.710E+09                                 E198600300029 
 90.         1.620E+10  1.440E+09                                 E198600300030 
 110.        1.240E+10  2.040E+09                                 E198600300031 
ENDDATA             11          0                                 E198600300032 
ENDSUBENT           31          0                                 E198600399999 
SUBENT        E1986004   20130309                             E074E198600400001 
BIB                  6         24                                 E198600400002 
REACTION   (3-LI-0(D,X)0-NN-1,,TTY/PY)                            E198600400003 
ANALYSIS   (INTAD) Linear extrapolation done beyond 110 deg by    E198600400004 
                   using the values of 90 and 110 deg.            E198600400005 
                   Uncertainty due to the linear extrapolation    E198600400006 
                   beyond 110 deg is very low because the angular E198600400007 
                   dependence of the neutron yields is strongly   E198600400008 
                   forward peaking and the total neutron yield is E198600400009 
                   dominated by the value in the forward angles.  E198600400010 
ERR-ANALYS (ERR-T) Total normalization uncertainties are          E198600400011 
                   generally several percent but are 15 to 25% at E198600400012 
                   the highest energy (>40 MeV) because of the    E198600400013 
                   statistical uncertainties.                     E198600400014 
ADD-RES    (COMP) Monte-Carlo method (Monte Carlo codes McDeLi,   E198600400015 
                  McDeLicious and MCNPX)                          E198600400016 
REL-REF    (N,E1893001,T.Aoki+,J,NST,41,399,2004)                 E198600400017 
           Compared with the present data                         E198600400018 
           (N,,M.A.Lone+,J,NIM,143,331,1977)                      E198600400019 
           Compared with the present data                         E198600400020 
           (N,,D.L.Johnson+,J,JNM,85-86,467,1979)                 E198600400021 
           Compared with the present data                         E198600400022 
           (N,,M.Sugimoto,W,SUGIMOTO,2004)                        E198600400023 
           Compared with the present data                         E198600400024 
STATUS     (TABLE) Data (Fig.9, p1325 in reference) received by   E198600400025 
                   e-mail from M.Hagiwara (2006.05.30)            E198600400026 
ENDBIB              24          0                                 E198600400027 
NOCOMMON             0          0                                 E198600400028 
DATA                 3          1                                 E198600400029 
EN         DATA       ERR-T                                       E198600400030 
MEV        PRD/MUCOUL PRD/MUCOUL                                  E198600400031 
        40.   3.94E+11   5.49E+10                                 E198600400032 
ENDDATA              3          0                                 E198600400033 
ENDSUBENT           32          0                                 E198600499999 
SUBENT        E1986005   20070208                             E042E198600500001 
BIB                  4          8                                 E198600500002 
REACTION   (3-LI-0(D,X)0-NN-1,,DA/DE)                             E198600500003 
EN-SEC     ANG is polar angle between beam and neutron in         E198600500004 
           laboratory system                                      E198600500005 
           (E,N)                                                  E198600500006 
ADD-RES    (COMP) Monte-Carlo method (Monte Carlo codes           E198600500007 
                  McDeLicious)                                    E198600500008 
STATUS     (TABLE) Data (Fig.12, p1327 in reference) received by  E198600500009 
                   e-mail from M.Hagiwara (2006.05.30)            E198600500010 
ENDBIB               8          0                                 E198600500011 
COMMON               2          3                                 E198600500012 
EN         ANG-RSL                                                E198600500013 
MEV        ADEG                                                   E198600500014 
 40.        0.5                                                   E198600500015 
ENDCOMMON            3          0                                 E198600500016 
DATA                 5        739                                 E198600500017 
ANG        E          E-ERR      DATA       ERR-T                 E198600500018 
ADEG       MEV        MEV        MB/SR/MEV  MB/SR/MEV             E198600500019 
 0.         1.1         1.341E-02  2.300E+01  2.878E+00           E198600500020 
 0.         1.1         1.526E-02  2.319E+01  2.945E+00           E198600500021 
 0.         1.2         1.719E-02  2.193E+01  2.882E+00           E198600500022 
 0.         1.3         1.918E-02  2.202E+01  3.018E+00           E198600500023 
 0.         1.4         2.125E-02  2.179E+01  2.861E+00           E198600500024 
 0.         1.5         2.338E-02  2.236E+01  2.861E+00           E198600500025 
 0.         1.6         2.558E-02  2.129E+01  2.658E+00           E198600500026 
 0.         1.7         2.784E-02  1.957E+01  2.427E+00           E198600500027 
 0.         1.8         3.017E-02  2.082E+01  2.529E+00           E198600500028 
 0.         1.9         3.255E-02  1.825E+01  2.217E+00           E198600500029 
 0.         2.          3.499E-02  1.786E+01  2.149E+00           E198600500030 
 0.         2.1         3.750E-02  1.889E+01  2.241E+00           E198600500031 
 0.         2.2         4.005E-02  1.729E+01  2.048E+00           E198600500032 
 0.         2.3         4.267E-02  1.713E+01  2.008E+00           E198600500033 
 0.         2.4         4.533E-02  1.768E+01  2.048E+00           E198600500034 
 0.         2.5         4.805E-02  1.745E+01  2.008E+00           E198600500035 
 0.         2.6         5.082E-02  1.694E+01  1.941E+00           E198600500036 
 0.         2.7         5.365E-02  1.655E+01  1.889E+00           E198600500037 
 0.         2.8         5.652E-02  1.650E+01  1.873E+00           E198600500038 
 0.         2.9         5.944E-02  1.739E+01  1.951E+00           E198600500039 
 0.         3.          6.241E-02  1.525E+01  1.722E+00           E198600500040 
 0.         3.1         6.543E-02  1.531E+01  1.721E+00           E198600500041 
 0.         3.2         6.850E-02  1.497E+01  1.682E+00           E198600500042 
 0.         3.3         7.161E-02  1.442E+01  1.619E+00           E198600500043 
 0.         3.4         7.477E-02  1.541E+01  1.708E+00           E198600500044 
 0.         3.5         7.797E-02  1.401E+01  1.566E+00           E198600500045 
 0.         3.6         8.122E-02  1.478E+01  1.633E+00           E198600500046 
 0.         3.7         8.451E-02  1.400E+01  1.553E+00           E198600500047 
 0.         3.8         8.785E-02  1.314E+01  1.467E+00           E198600500048 
 0.         3.9         9.123E-02  1.394E+01  1.536E+00           E198600500049 
 0.         4.          9.465E-02  1.288E+01  1.432E+00           E198600500050 
 0.         4.1         9.811E-02  1.395E+01  1.528E+00           E198600500051 
 0.         4.2         1.016E-01  1.181E+01  1.326E+00           E198600500052 
 0.         4.3         1.052E-01  1.320E+01  1.449E+00           E198600500053 
 0.         4.4         1.087E-01  1.231E+01  1.364E+00           E198600500054 
 0.         4.5         1.124E-01  1.237E+01  1.365E+00           E198600500055 
 0.         4.6         1.160E-01  1.134E+01  1.271E+00           E198600500056 
 0.         4.7         1.197E-01  1.240E+01  1.369E+00           E198600500057 
 0.         4.8         1.235E-01  1.159E+01  1.297E+00           E198600500058 
 0.         4.9         1.273E-01  1.174E+01  1.315E+00           E198600500059 
 0.         5.          1.311E-01  1.017E+01  9.624E-01           E198600500060 
 0.         6.          1.713E-01  8.570E+00  7.935E-01           E198600500061 
 0.         7.          9.243E-02  7.323E+00  6.758E-01           E198600500062 
 0.         8.          1.122E-01  8.927E+00  8.208E-01           E198600500063 
 0.         9.          1.332E-01  9.474E+00  8.682E-01           E198600500064 
 0.         10.         1.553E-01  1.133E+01  1.034E+00           E198600500065 
 0.         11.         1.786E-01  1.384E+01  1.258E+00           E198600500066 
 0.         12.         2.030E-01  1.835E+01  1.663E+00           E198600500067 
 0.         13.         2.284E-01  2.545E+01  2.298E+00           E198600500068 
 0.         14.         2.549E-01  3.477E+01  3.129E+00           E198600500069 
 0.         15.         2.823E-01  4.635E+01  4.159E+00           E198600500070 
 0.         16.         3.107E-01  5.837E+01  5.224E+00           E198600500071 
 0.         17.         3.399E-01  7.237E+01  6.463E+00           E198600500072 
 0.         18.         3.701E-01  8.559E+01  7.625E+00           E198600500073 
 0.         19.         4.012E-01  9.301E+01  8.271E+00           E198600500074 
 0.         20.         4.331E-01  9.584E+01  8.503E+00           E198600500075 
 0.         21.         4.658E-01  9.280E+01  8.214E+00           E198600500076 
 0.         22.         4.994E-01  8.545E+01  7.551E+00           E198600500077 
 0.         23.         5.338E-01  7.497E+01  6.612E+00           E198600500078 
 0.         24.         5.689E-01  6.402E+01  5.636E+00           E198600500079 
 0.         25.         6.049E-01  5.355E+01  4.707E+00           E198600500080 
 0.         26.         6.416E-01  4.464E+01  3.918E+00           E198600500081 
 0.         27.         6.790E-01  3.794E+01  3.325E+00           E198600500082 
 0.         28.         7.172E-01  3.325E+01  2.911E+00           E198600500083 
 0.         29.         7.562E-01  2.973E+01  2.599E+00           E198600500084 
 0.         30.         7.958E-01  2.699E+01  2.357E+00           E198600500085 
 0.         31.         8.362E-01  2.163E+01  1.887E+00           E198600500086 
 0.         32.         8.772E-01  1.613E+01  1.407E+00           E198600500087 
 0.         33.         9.190E-01  1.201E+01  1.048E+00           E198600500088 
 0.         34.         9.614E-01  9.181E+00  8.021E-01           E198600500089 
 0.         35.         1.005E+00  7.408E+00  6.478E-01           E198600500090 
 0.         36.         1.048E+00  5.832E+00  5.111E-01           E198600500091 
 0.         37.         1.093E+00  3.409E+00  3.017E-01           E198600500092 
 0.         38.         1.138E+00  9.356E-01  8.853E-02           E198600500093 
 0.         39.         1.184E+00  3.326E-01  3.644E-02           E198600500094 
 0.         40.         1.230E+00  4.421E-01  4.598E-02           E198600500095 
 0.         41.         1.277E+00  4.465E-01  4.643E-02           E198600500096 
 0.         42.         1.325E+00  3.968E-01  4.216E-02           E198600500097 
 0.         43.         1.373E+00  2.140E-01  2.622E-02           E198600500098 
 0.         44.         1.422E+00  1.161E-01  1.746E-02           E198600500099 
 0.         45.         1.472E+00  1.224E-01  1.810E-02           E198600500100 
 0.         46.         1.522E+00  1.856E-01  2.380E-02           E198600500101 
 0.         47.         1.573E+00  2.662E-01  3.098E-02           E198600500102 
 0.         48.         1.624E+00  4.705E-01  4.871E-02           E198600500103 
 0.         49.         1.676E+00  7.111E-01  6.937E-02           E198600500104 
 0.         50.         1.729E+00  8.621E-01  8.230E-02           E198600500105 
 0.         51.         1.782E+00  8.257E-01  7.923E-02           E198600500106 
 0.         52.         1.835E+00  7.199E-01  7.022E-02           E198600500107 
 0.         53.         1.890E+00  5.437E-01  5.525E-02           E198600500108 
 0.         54.         1.945E+00  2.660E-01  3.132E-02           E198600500109 
 0.         55.         2.000E+00  1.427E-01  2.041E-02           E198600500110 
 10.        1.1         1.341E-02  1.451E+01  1.675E+00           E198600500111 
 10.        1.1         1.526E-02  1.391E+01  1.660E+00           E198600500112 
 10.        1.2         1.719E-02  1.277E+01  1.587E+00           E198600500113 
 10.        1.3         1.918E-02  1.306E+01  1.702E+00           E198600500114 
 10.        1.4         2.125E-02  1.183E+01  1.483E+00           E198600500115 
 10.        1.5         2.338E-02  1.160E+01  1.423E+00           E198600500116 
 10.        1.6         2.558E-02  1.109E+01  1.324E+00           E198600500117 
 10.        1.7         2.784E-02  1.093E+01  1.287E+00           E198600500118 
 10.        1.8         3.017E-02  1.024E+01  1.192E+00           E198600500119 
 10.        1.9         3.255E-02  1.025E+01  1.176E+00           E198600500120 
 10.        2.          3.499E-02  9.646E+00  1.098E+00           E198600500121 
 10.        2.1         3.750E-02  9.322E+00  1.054E+00           E198600500122 
 10.        2.2         4.005E-02  9.514E+00  1.062E+00           E198600500123 
 10.        2.3         4.267E-02  8.738E+00  9.687E-01           E198600500124 
 10.        2.4         4.533E-02  8.701E+00  9.563E-01           E198600500125 
 10.        2.5         4.805E-02  8.349E+00  9.120E-01           E198600500126 
 10.        2.6         5.082E-02  8.556E+00  9.256E-01           E198600500127 
 10.        2.7         5.365E-02  7.714E+00  8.336E-01           E198600500128 
 10.        2.8         5.652E-02  7.827E+00  8.400E-01           E198600500129 
 10.        2.9         5.944E-02  8.002E+00  8.512E-01           E198600500130 
 10.        3.          6.241E-02  7.263E+00  7.708E-01           E198600500131 
 10.        3.1         6.543E-02  7.217E+00  7.618E-01           E198600500132 
 10.        3.2         6.850E-02  8.235E+00  8.578E-01           E198600500133 
 10.        3.3         7.161E-02  7.339E+00  7.655E-01           E198600500134 
 10.        3.4         7.477E-02  7.606E+00  7.877E-01           E198600500135 
 10.        3.5         7.797E-02  7.301E+00  7.541E-01           E198600500136 
 10.        3.6         8.122E-02  7.070E+00  7.284E-01           E198600500137 
 10.        3.7         8.451E-02  7.163E+00  7.342E-01           E198600500138 
 10.        3.8         8.785E-02  6.937E+00  7.096E-01           E198600500139 
 10.        3.9         9.123E-02  6.646E+00  6.792E-01           E198600500140 
