E          E-ERR      E-LVL-INI  E-LVL-ERR  DATA       ERR-S      3158900200011 
KEV        KEV        KEV        KEV        PC/INC     PER-CENT   3158900200012 
 2106.6      0.32       3355.20     0.32       0.07      50.      3158900200316 
 2107.8      0.20       2710.62     0.08       0.40      11.      3158900200317 
 2120.2      0.20       4302.58     0.21       0.11      12.      3158900200318 
 2125.2      0.22       3450.79     0.09       0.11      33.      3158900200319 
 2134.8      0.21       3460.32     0.19       0.13      10.      3158900200320 
 2144.3      0.10       2747.10     0.05       0.91       1.      3158900200321 
 2153.8      0.14       3479.38     0.14       0.07       9.      3158900200322 
 2164.1      0.10       2766.92     0.12       0.26       1.      3158900200323 
 2182.3      0.11       2182.38     0.06       0.63       6.      3158900200324 
 2188.0      0.15       2790.38     0.22       0.09      10.      3158900200325 
 2195.2      0.10       4379.19     0.21       0.08      12.      3158900200326 
 2205.0      0.51       3529.98     0.10       0.07      50.      3158900200327 
 2206.0      0.11       2808.74     0.06       0.31      12.      3158900200328 
 2208.5      0.41       3456.61     0.14       0.07      40.      3158900200329 
 2214.6      0.10       2817.47     0.09       0.87       1.      3158900200330 
 2233.0      0.10       2834.97     0.07       0.22      33.      3158900200331 
 2249.0      0.23       3497.55     0.23       0.07      22.      3158900200332 
 2256.4      0.10       2859.11     0.10       0.68       2.      3158900200333 
 2283.5      0.11       2886.12     0.16       0.36       3.      3158900200334 
 2287.9      0.21       3945.23     0.22       0.07      11.      3158900200335 
 2296.6      0.14       3622.11     0.09       0.10       7.      3158900200336 
 2303.1      0.21       3628.49     0.08       0.06      16.      3158900200337 
 2311.2      0.91       3967.35     0.16       0.02      30.      3158900200338 
 2319.2      0.85       4643.31     0.33       0.02      81.      3158900200339 
 2323.1      0.15       2322.96     0.07       0.17       8.      3158900200340 
 2327.3      0.17       3652.81     0.12       0.11      12.      3158900200341 
 2328.2      0.61       3576.01     0.23       0.04      60.      3158900200342 
 2341.4      0.15       3666.95     0.10       0.18       7.      3158900200343 
 2345.0      0.12       2947.65     0.18       0.29       5.      3158900200344 
 2350.6      0.41       3599.30     0.29       0.05      23.      3158900200345 
 2352.6      0.91       4010.95     0.14       0.04      60.      3158900200346 
 2355.0      0.16       2957.53     0.10       0.08      14.      3158900200347 
 2360.3      0.71       2963.28     0.65       0.10       7.      3158900200348 
 2372.7      0.16       2975.39     0.10       0.20       9.      3158900200349 
 2380.4      0.20       2982.69     0.12       0.25      10.      3158900200350 
 2385.6      0.10       2988.34     0.06       1.12       1.      3158900200351 
 2397.5      0.51       3723.63     0.19       0.06      14.      3158900200352 
 2405.6      0.82       3654.80     0.27       0.02      54.      3158900200353 
 2409.1      0.51       5155.89     0.16       0.08      16.      3158900200354 
 2413.5      0.41       3662.00     0.12       0.05      26.      3158900200355 
 2437.1      0.12       3039.03     0.66       0.04      60.      3158900200356 
 2442.8      0.10       3045.46     0.07       0.60       1.      3158900200357 
 2446.9      0.61       3048.83     0.22       0.07      60.      3158900200358 
 2448.2      0.10       3774.66     0.34       0.22       3.      3158900200359 
 2453.1      0.10       3056.49     0.14       0.38       2.      3158900200360 
 2475.1      0.16       3723.63     0.19       0.15       9.      3158900200361 
 2479.9      0.15       3805.42     0.13       0.18       6.      3158900200362 
 2488.3      0.51       3091.86     0.11       0.16      10.      3158900200363 
 2489.6      0.51       4580.46     0.28       0.06      63.      3158900200364 
 2492.2      0.12       3095.07     0.06       0.42       4.      3158900200365 
 2499.0      0.10       3100.92     0.05       0.04      40.      3158900200366 
 2505.0      0.14       3107.60     0.09       0.19       7.      3158900200367 
 2515.9      0.22       3118.52     0.14       0.38       4.      3158900200368 
 2537.4      0.54       3862.49     0.12       0.06      60.      3158900200369 
 2540.3      0.21       3143.22     0.11       0.25      11.      3158900200370 
 2551.5      0.40       4643.31     0.33       0.05      22.      3158900200371 
 2554.8      0.20       3880.15     0.19       0.11       9.      3158900200372 
 2581.6      0.51       4764.76     0.40       0.21       6.      3158900200373 
 2601.2      0.10       2601.03     0.06       0.58       1.      3158900200374 
 2603.6      0.10       3929.53     0.09       0.06      50.      3158900200375 
 2609.4      0.10       3212.25     0.07       1.12       1.      3158900200376 
 2615.2      0.17       3217.59     0.14       0.25      19.      3158900200377 
 2617.9      0.22       3220.72     0.17       0.55       7.      3158900200378 
 2632.6      0.32       3235.35     0.32       0.08      31.      3158900200379 
 2635.7      0.12       3238.19     0.08       0.64       3.      3158900200380 
 2636.2      0.51       4818.28     0.25       0.06      50.      3158900200381 
 2641.6      0.22       3967.35     0.16       0.15      50.      3158900200382 
 2664.8      0.15       3987.92     0.53       0.06      12.      3158900200383 
 2670.8      0.14       3996.34     0.14       0.07       8.      3158900200384 
 2677.3      0.12       3280.07     0.17       0.14       4.      3158900200385 
 2681.5      0.15       2681.49     0.07       0.12       5.      3158900200386 
 2685.9      0.22       3288.90     0.09       0.11       5.      3158900200387 
 2701.8      0.14       5155.89     0.16       0.10       6.      3158900200388 
 2719.6      0.81       4043.87     0.22       0.01      50.      3158900200389 
 2747.0      0.10       2747.10     0.05       4.46       1.      3158900200390 
 2767.7      0.12       3370.45     0.12       0.09       5.      3158900200391 
 2783.3      0.10       2783.20     0.07       1.18       2.      3158900200392 
 2789.8      0.61       3393.69     0.15       0.23       6.      3158900200393 
