 3127.40        0.29      0.20                 30.                3153900200365 
 3185.7         0.5       0.06                                    3153900200366 
 3239.2         0.5       0.29                 31.                3153900200367 
 3244.5         0.4       0.33                 21.                3153900200368 
 3255.3         0.3       0.23                 21.                3153900200369 
 3259.1         0.7       0.10                 30.                3153900200370 
 3288.13        0.20      0.47                 11.        1.0     3153900200371 
 3296.9         0.3       0.48                 10.        1.0     3153900200372 
 3328.64        0.25      0.56                 10.        1.0     3153900200373 
 3351.24        0.18      0.24                 21.        1.0     3153900200374 
 3370.6         0.5       0.28                 18.                3153900200375 
 3423.3         0.3       0.42                 10.                3153900200376 
 3436.96        0.20      0.55                 11.                3153900200377 
 3479.6         0.9       0.10                 50.                3153900200378 
 3492.4         0.4       0.41                 10.                3153900200379 
 3499.9         0.3       0.66                 11.                3153900200380 
 3533.0         0.7       0.09                                    3153900200381 
 3547.8         0.4       0.26                 11.                3153900200382 
 3554.34        0.18      1.10                 27.                3153900200383 
 3662.14        0.23      0.29                 10.                3153900200384 
 3696.9         0.4       0.34                 21.                3153900200385 
 3707.3         0.3       0.12                 22.                3153900200386 
 3732.19        0.18      0.41                 10.                3153900200387 
 3743.4         0.4       0.10                 30.                3153900200388 
 3753.59        0.18      0.49                 10.                3153900200389 
 3774.8         0.17      0.03                                    3153900200390 
 3799.03        0.18      1.29                 10.                3153900200391 
 3827.21        0.21      0.22                 18.                3153900200392 
 3847.12        0.20      0.65                 22.                3153900200393 
 3851.86        0.18      1.95                 5.                 3153900200394 
 3889.54        0.18      0.68                 10.                3153900200395 
 3924.73        0.18      0.47                 11.                3153900200396 
 3957.58        0.23      0.77                 10.                3153900200397 
 3977.64        0.23      2.58                 5.                 3153900200398 
 3982.5         0.4       0.92                 20.                3153900200399 
 4011.93        0.23      0.34                 6.                 3153900200400 
 4037.3         0.8       0.06                                    3153900200401 
 4054.0         0.8       0.12                 25.                3153900200402 
 4065.36        0.17      0.97                 10.                3153900200403 
 4079.2         0.4       0.17                 12.                3153900200404 
 4200.52        0.17      0.62                 5.                 3153900200405 
 4241.0         0.6       0.23                 30.                3153900200406 
 4337.5         0.3       0.24                 29.                3153900200407 
 4373.12        0.11      1.78                 19.                3153900200408 
 4464.58        0.18      0.33                 9.                 3153900200409 
 4541.67        0.14      0.60                 10.                3153900200410 
 4577.5         0.3       0.16                 19.                3153900200411 
 4608.38        0.11      0.78                 5.                 3153900200412 
 4649.1         0.3       0.15                 33.                3153900200413 
 5443.01        0.10      1.15                 4.                 3153900200414 
 5649.31        0.9       5.70                 5.                 3153900200415 
 5695.03        0.10      21.30                 6.                3153900200416 
ENDDATA            408          0                                 3153900200417 
ENDSUBENT          416          0                                 3153900299999 
ENDENTRY             2          0                                 3153999999999 
