ENTRY            A1183   19990319                             0000A118300000001 
SUBENT        A1183001   19990319                             0000A118300100001 
BIB                  8         11                                 A118300100002 
INSTITUTE  (2SWTETH)                                              A118300100003 
REFERENCE  (J,NP/A,324,(1),99,197907)                             A118300100004 
AUTHOR     (B.JENNY,W.GRUEBLER,V.KONIG,P.A.SCHMELZBACH,R.RISLER,  A118300100005 
           H.R.BURGI,D.O.BOERMA)                                  A118300100006 
TITLE      Analyzing power and cross-section measurements for     A118300100007 
           3He(d,d)3He scattering                                 A118300100008 
FACILITY   (VDGT)                                                 A118300100009 
SAMPLE     3He gas target (purity 99.9%)                          A118300100010 
DETECTOR   (SOLST) SILICON SURFACE-BARRIER                        A118300100011 
HISTORY    (19830818C) Compilation produced by Arzamas RFNC-VNIIEFA118300100012 
           (19990220U)CNPD: corrected 4-dig. year and lower cases.A118300100013 
ENDBIB              11          0                                 A118300100014 
NOCOMMON             0          0                                 A118300100015 
ENDSUBENT           14          0                                 A118300199999 
SUBENT        A1183002   19990319                             0000A118300200001 
BIB                  4          8                                 A118300200002 
REACTION   (2-HE-3(D,EL)2-HE-3,,DA,,,EXP)                         A118300200003 
ERR-ANALYS (ANG-ERR) Digitizing error                             A118300200004 
           (DATA-ERR) Digitizing error                            A118300200005 
           (DATA-ERR1) Absolute error above 5 MeV                 A118300200006 
           (DATA-ERR2) Absolute error later 5 MeV                 A118300200007 
FLAG       (1.) REACTION (2-HE-3(D,EL)2-HE-3,,DA,D,EXP)           A118300200008 
           (2.) REACTION (2-HE-3(D,EL)2-HE-3,,DA,HE3,EXP)         A118300200009 
STATUS     (CURVE) fig 1                                          A118300200010 
ENDBIB               8          0                                 A118300200011 
COMMON               3          3                                 A118300200012 
ANG-ERR    DATA-ERR1  DATA-ERR2                                   A118300200013 
ADEG       PER-CENT   PER-CENT                                    A118300200014 
  1.         3.         7.                                        A118300200015 
ENDCOMMON            3          0                                 A118300200016 
DATA                 5        376                                 A118300200017 
EN         ANG-CM     DATA-CM    DATA-ERR   FLAG                  A118300200018 
     7.       160.9      389.1       18.92       1.               A118300200218 
     7.       166.8      454.6      108.5        1.               A118300200219 
     8.        14.16    2465.        88.99       2.               A118300200220 
     8.        17.24    1009.        36.42       2.               A118300200221 
     8.        22.84     733.3       26.47       2.               A118300200222 
     8.        26.18     562.7       20.32       2.               A118300200223 
     8.        29.55     479.5       17.31       2.               A118300200224 
     8.        34.07     408.2       14.74       2.               A118300200225 
     8.        37.38     297.3       10.73       2.               A118300200226 
     8.        41.83     216.3        7.807      2.               A118300200227 
     8.        46.29     157.3        5.68       2.               A118300200228 
     8.        50.72     108.6        3.921      2.               A118300200229 
     8.        53.97      67.6        2.44       2.               A118300200230 
     8.        58.36      42.03       1.517      2.               A118300200231 
     8.        61.65      29.04       1.048      2.               A118300200232 
     8.        66.15      23.46       0.847      2.               A118300200233 
     8.        70.82      28.82       1.04       2.               A118300200234 
     8.        74.36      37.34       1.348      2.               A118300200235 
     8.        77.9       48.38       1.747      2.               A118300200236 
     8.        81.4       56.45       2.038      2.               A118300200237 
     8.        84.92      69.41       2.506      2.               A118300200238 
     8.        88.4       76.85       2.774      2.               A118300200239 
     8.        95.31      84.85       3.063      2.               A118300200240 
     8.        99.92      89.07       3.215      2.               A118300200241 
     8.       103.3       84.28       3.043      2.               A118300200242 
     8.       106.8       84.04       3.034      2.               A118300200243 
     8.       110.2       75.46       2.724      2.               A118300200244 
     8.       112.4       61.08       2.205      2.               A118300200245 
     8.       115.8       60.9        2.199      1.               A118300200246 
     8.       119.1       42.09       1.519      1.               A118300200247 
     8.       119.2       49.25       1.778      2.               A118300200248 
     8.       124.8       35.79       1.292      2.               A118300200249 
     8.       127.        30.53       1.102      1.               A118300200250 
     8.       130.5       35.62       1.286      1.               A118300200251 
     8.       132.8       35.55       1.283      2.               A118300200252 
     8.       135.1       39.4        1.423      2.               A118300200253 
     8.       135.2       46.11       1.665      1.               A118300200254 
     8.       141.1       73.53       2.654      1.               A118300200255 
     8.       145.9      123.7        4.464      1.               A118300200256 
     8.       151.8      177.6        6.411      1.               A118300200257 
     8.       156.5      242.2        8.745      1.               A118300200258 
     8.       161.2      348.2       12.57       1.               A118300200259 
     8.       167.       450.2       16.25       1.               A118300200260 
     9.        11.25    1608.        92.84       2.               A118300200261 
     9.        16.74     771.7       44.56       2.               A118300200262 
     9.        22.45     623.5       36.         2.               A118300200263 
     9.        25.82     479.1       27.67       2.               A118300200264 
     9.        30.4      408.2       23.57       2.               A118300200265 
     9.        32.63     330.8       19.1        2.               A118300200266 
     9.        37.16     253.9       14.66       2.               A118300200267 
     9.        41.67     185.1       10.69       2.               A118300200268 
     9.        46.16     128.         7.392      2.               A118300200269 
     9.        50.64      88.56       5.114      2.               A118300200270 
     9.        53.94      58.22       3.362      2.               A118300200271 
     9.        57.22      36.33       2.098      2.               A118300200272 
     9.        61.69      23.86       1.378      2.               A118300200273 
     9.        65.1       20.34       1.175      2.               A118300200274 
     9.        68.65      23.71       1.369      2.               A118300200275 
     9.        73.43      32.27       1.863      2.               A118300200276 
     9.        78.17      39.58       2.286      2.               A118300200277 
     9.        80.58      48.64       2.809      2.               A118300200278 
     9.        84.18      62.91       3.633      2.               A118300200279 
     9.        87.73      73.32       4.234      2.               A118300200280 
     9.        92.4       76.93       4.442      2.               A118300200281 
     9.        95.91      80.79       4.665      2.               A118300200282 
     9.       100.6       80.46       4.646      2.               A118300200283 
     9.       102.9       80.3        4.637      2.               A118300200284 
     9.       106.3       72.14       4.166      2.               A118300200285 
     9.       108.6       71.99       4.157      2.               A118300200286 
     9.       112.1       61.39       3.545      2.               A118300200287 
     9.       116.5       42.47       2.453      2.               A118300200288 
     9.       116.7       58.04       3.352      1.               A118300200289 
     9.       121.2       42.3        2.443      1.               A118300200290 
     9.       122.3       36.15       2.087      2.               A118300200291 
     9.       124.6       32.51       1.877      2.               A118300200292 
     9.       125.7       30.82       1.78       1.               A118300200293 
     9.       128.        27.72       1.601      2.               A118300200294 
     9.       129.1       23.69       1.368      2.               A118300200295 
     9.       131.4       26.23       1.515      1.               A118300200296 
     9.       133.8       27.58       1.593      2.               A118300200297 
     9.       136.1       30.54       1.764      1.               A118300200298 
     9.       142.1       48.55       2.803      1.               A118300200299 
     9.       145.8       77.33       4.465      1.               A118300200300 
     9.       150.7      116.8        6.744      1.               A118300200301 
     9.       156.6      167.3        9.66       1.               A118300200302 
     9.       161.4      227.7       13.15       1.               A118300200303 
     9.       167.3      279.        82.94       1.               A118300200304 
    10.        14.24    1516.        64.16       2.               A118300200305 
    10.        18.6      888.1       37.58       2.               A118300200306 
    10.        23.08     715.4       30.27       2.               A118300200307 
    10.        27.57     576.2       24.38       2.               A118300200308 
    10.        30.92     464.6       19.66       2.               A118300200309 
    10.        34.24     355.2       15.03       2.               A118300200310 
    10.        37.59     286.4       12.12       2.               A118300200311 
    10.        43.18     207.3        8.77       2.               A118300200312 
    10.        46.46     142.5        6.03       2.               A118300200313 
    10.        52.01      92.73       3.924      2.               A118300200314 
    10.        55.22      54.37       2.301      2.               A118300200315 
    10.        58.48      35.45       1.5        2.               A118300200316 
    10.        60.6       23.14       0.9791     2.               A118300200317 
    10.        66.21      17.66       0.7471     2.               A118300200318 
    10.        69.7       20.64       0.8735     2.               A118300200319 
    10.        73.26      28.3        1.197      2.               A118300200320 
    10.        77.97      38.76       1.64       2.               A118300200321 
    10.        81.51      50.39       2.132      2.               A118300200322 
    10.        83.84      55.92       2.366      2.               A118300200323 
    10.        87.31      62.         2.624      2.               A118300200324 
    10.        91.95      72.41       3.064      2.               A118300200325 
    10.        96.55      76.06       3.218      2.               A118300200326 
    10.       100.        79.96       3.384      2.               A118300200327 
    10.       102.3       79.81       3.377      2.               A118300200328 
    10.       106.8       75.38       3.19       2.               A118300200329 
    10.       110.2       64.09       2.712      2.               A118300200330 
    10.       112.4       57.52       2.434      2.               A118300200331 
    10.       114.7       54.44       2.303      1.               A118300200332 
    10.       116.9       46.33       1.961      2.               A118300200333 
    10.       119.2       39.43       1.668      2.               A118300200334 
    10.       121.4       39.35       1.665      1.               A118300200335 
    10.       124.8       28.53       1.207      1.               A118300200336 
    10.       124.8       28.53       1.207      2.               A118300200337 
    10.       126.9       21.84       0.9241     2.               A118300200338 
    10.       130.3       20.65       0.8737     1.               A118300200339 
    10.       130.4       22.96       0.9715     2.               A118300200340 
    10.       133.8       21.71       0.9186     2.               A118300200341 
    10.       134.9       20.56       0.8702     2.               A118300200342 
    10.       136.1       24.09       1.019      1.               A118300200343 
    10.       140.9       34.79       1.472      1.               A118300200344 
    10.       145.6       58.92       2.493      1.               A118300200345 
    10.       151.6       94.54       4.001      1.               A118300200346 
    10.       156.3      151.8        6.425      1.               A118300200347 
    10.       161.       197.2        8.345      1.               A118300200348 
    10.       166.8      255.9       60.53       1.               A118300200349 
    11.5       11.1     1222.        55.97       2.               A118300200350 
    11.5       16.71     751.        34.41       2.               A118300200351 
    11.5       21.26     603.9       27.67       2.               A118300200352 
    11.5       25.81     485.6       22.25       2.               A118300200353 
    11.5       29.2      390.9       17.91       2.               A118300200354 
    11.5       33.76     314.3       14.4        2.               A118300200355 
    11.5       37.13     239.8       10.99       2.               A118300200356 
    11.5       41.64     173.3        7.938      2.               A118300200357 
