ENTRY            A0113   20210211                             A096A0113  0    1 
SUBENT        A0113001   20210211                             A096A0113  1    1 
BIB                 10         21                                 A0113  1    2 
TITLE      Projectile-fragment yields as a probe for the          A0113  1    3 
           collective enhancement in the nuclear level density    A0113  1    4 
AUTHOR     (A.R.Junghans, M.De Jong, H.-G.Clerc,                  A0113  1    5 
           A.V.Ignatyuk, G.A.Kudyaev, K.-H.Schmidt)               A0113  1    6 
INSTITUTE  (2GERTHD,4RUSFEI,2GERGSI)                              A0113  1    7 
REFERENCE  (J,NP/A,629,635,1998)                                  A0113  1    8 
REL-REF    (M,O0956001,H.-G.Clerc+,J,NP/A,590,785,1995)           A0113  1    9 
           (I,A0106001,M.de Jong+,J,NP/A,628,479,1998)            A0113  1   10 
FACILITY   (SYNCH,2GERGSI)                                        A0113  1   11 
           (OLMS,2GERGSI)                                         A0113  1   12 
METHOD     (SITA,OLMS,TOF,EDE)                                    A0113  1   13 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  A0113  1   14 
STATUS     (TABLE) All data were received from Web-site of GSI.   A0113  1   15 
HISTORY    (20010321C)                                            A0113  1   16 
           (20010613U) Last checking has been done.               A0113  1   17 
           (20200530A) SD: Corrections in all Subents. COMMENT    A0113  1   18 
           deleted (abstract of the article useless in the entry).A0113  1   19 
           Energy units in the COMMON changed. Subents 002-251    A0113  1   20 
           were merged.                                           A0113  1   21 
           (20210211A) SD: Subents 003-251 deleted (info moves to A0113  1   22 
           Subent 002).                                           A0113  1   23 
ENDBIB              21          0                                 A0113  1   24 
COMMON               1          3                                 A0113  1   25 
EN                                                                A0113  1   26 
MEV/A                                                             A0113  1   27 
NOSUBENT      A0113062   20210211                             A096A0113 62    1 
NOSUBENT      A0113063   20210211                             A096A0113 63    1 
NOSUBENT      A0113064   20210211                             A096A0113 64    1 
NOSUBENT      A0113065   20210211                             A096A0113 65    1 
NOSUBENT      A0113066   20210211                             A096A0113 66    1 
NOSUBENT      A0113067   20210211                             A096A0113 67    1 
NOSUBENT      A0113068   20210211                             A096A0113 68    1 
NOSUBENT      A0113069   20210211                             A096A0113 69    1 
NOSUBENT      A0113070   20210211                             A096A0113 70    1 
NOSUBENT      A0113071   20210211                             A096A0113 71    1 
NOSUBENT      A0113072   20210211                             A096A0113 72    1 
NOSUBENT      A0113073   20210211                             A096A0113 73    1 
NOSUBENT      A0113074   20210211                             A096A0113 74    1 
NOSUBENT      A0113075   20210211                             A096A0113 75    1 
NOSUBENT      A0113076   20210211                             A096A0113 76    1 
NOSUBENT      A0113077   20210211                             A096A0113 77    1 
NOSUBENT      A0113078   20210211                             A096A0113 78    1 
NOSUBENT      A0113079   20210211                             A096A0113 79    1 
NOSUBENT      A0113080   20210211                             A096A0113 80    1 
NOSUBENT      A0113081   20210211                             A096A0113 81    1 
NOSUBENT      A0113082   20210211                             A096A0113 82    1 
NOSUBENT      A0113083   20210211                             A096A0113 83    1 
NOSUBENT      A0113084   20210211                             A096A0113 84    1 
NOSUBENT      A0113085   20210211                             A096A0113 85    1 
NOSUBENT      A0113086   20210211                             A096A0113 86    1 
NOSUBENT      A0113087   20210211                             A096A0113 87    1 
NOSUBENT      A0113088   20210211                             A096A0113 88    1 
NOSUBENT      A0113089   20210211                             A096A0113 89    1 
NOSUBENT      A0113090   20210211                             A096A0113 90    1 
