ENTRY            A1253   20120327                             A077A125300000001 
SUBENT        A1253001   20120327                             A077A125300100001 
BIB                  7         12                                 A125300100002 
INSTITUTE  (4RUSJIA)                                              A125300100003 
REFERENCE  (J,YF,29,(5),1137,1979)                                A125300100004 
           (J,SNP,29,585,1979) English translation                A125300100005 
AUTHOR     (I.Ja.Barit,Ju.G.Balashko,L.S.Dulkova,V.P.Zavarzina)   A125300100006 
TITLE      D-helium differential cross section scattering         A125300100007 
           in deuteron energy range 870 to 1430 keV               A125300100008 
FACILITY   (VDG)                                                  A125300100009 
SAMPLE     Gas targets- 4He (four series of exp.) and  4He+H.     A125300100010 
HISTORY    (19881214C) compilation produced by Arzamas RFNC-VNIIEFA125300100011 
           (19990315U)cnpd: corrected 4-dig. year and lower cases.A125300100012 
           (20120327A) BIB section upgrated                       A125300100013 
           English translation of 'YF' was added-sb               A125300100014 
ENDBIB              12          0                                 A125300100015 
NOCOMMON             0          0                                 A125300100016 
ENDSUBENT           15          0                                 A125300199999 
SUBENT        A1253002   19990322                             0000A125300200001 
BIB                  3          5                                 A125300200002 
REACTION   (2-HE-4(D,EL)2-HE-4,,DA,,,EXP)                         A125300200003 
ERR-ANALYS (EN-ERR) Digitizing error                              A125300200004 
           (DATA-ERR) Digitizing error                            A125300200005 
           (ERR-T) Absolute error                                 A125300200006 
STATUS     (CURVE) Fig 2                                          A125300200007 
ENDBIB               5          0                                 A125300200008 
COMMON               1          3                                 A125300200009 
EN-ERR                                                            A125300200010 
MEV                                                               A125300200011 
  0.001                                                           A125300200012 
ENDCOMMON            3          0                                 A125300200013 
DATA                 5        302                                 A125300200014 
EN         ANG-CM     ERR-T      DATA-CM    DATA-ERR              A125300200015 
     1.178     38.75       6.         1.001      0.0124           A125300200276 
     1.178     60.25       6.         0.2266     0.0014           A125300200277 
     1.179     48.9        6.         0.455      0.0065           A125300200278 
     1.181     38.75       6.         0.8833     0.0443           A125300200279 
     1.188     48.9        6.         0.4467     0.0065           A125300200280 
     1.191     48.9        6.         0.4772     0.0065           A125300200281 
     1.2       38.75       6.         0.9249     0.0124           A125300200282 
     1.201     60.25       6.         0.2451     0.0014           A125300200283 
     1.205     48.9        6.         0.4686     0.0309           A125300200284 
     1.205    125.        10.         0.1438     0.003            A125300200285 
     1.206     38.75       6.         0.9094     0.0124           A125300200286 
     1.206     60.25       6.         0.2451     0.0014           A125300200287 
     1.206     90.         6.         0.1264     0.0076           A125300200288 
     1.209     38.75       6.         0.9384     0.0124           A125300200289 
     1.21      38.75       6.         0.85       0.0443           A125300200290 
     1.211     60.25       6.         0.2206     0.0153           A125300200291 
     1.214     48.9        6.         0.4218     0.0065           A125300200292 
     1.218     38.75       6.         0.7903     0.0124           A125300200293 
     1.219     60.25       6.         0.2206     0.0123           A125300200294 
     1.222     48.9        6.         0.4367     0.0387           A125300200295 
     1.23      38.75       6.         0.8915     0.0124           A125300200296 
     1.251     48.9        6.         0.4347     0.0065           A125300200297 
     1.318     48.9        6.         0.384      0.0065           A125300200298 
     1.332     38.75       6.         0.7899     0.0124           A125300200299 
     1.335     48.9        6.         0.3829     0.0065           A125300200300 
     1.409     48.9        6.         0.3702     0.0065           A125300200301 
     1.409     60.25       6.         0.218      0.0123           A125300200302 
     1.413     60.25       6.         0.2088     0.0014           A125300200303 
     1.414     38.75       6.         0.6907     0.0124           A125300200304 
     1.416     48.9        6.         0.3313     0.0065           A125300200305 
     1.416    125.        10.         0.119      0.003            A125300200306 
     1.419     38.75       6.         0.6314     0.0124           A125300200307 
     1.42      60.25       6.         0.215      0.0153           A125300200308 
     1.423     38.75       6.         0.6601     0.0124           A125300200309 
     1.424     48.9        6.         0.3615     0.0065           A125300200310 
     1.426     38.75       6.         0.5863     0.0124           A125300200311 
     1.426     60.25       6.         0.1997     0.0014           A125300200312 
     1.429     48.9        6.         0.3304     0.0065           A125300200313 
     1.43      38.75       6.         0.6591     0.0124           A125300200314 
     1.431     38.75       6.         0.7474     0.0124           A125300200315 
     1.434     60.25       6.         0.2488     0.0014           A125300200316 
     1.434    125.        10.         0.1256     0.003            A125300200317 
     1.435     60.25       6.         0.1874     0.0153           A125300200318 
ENDDATA            304          0                                 A125300200319 
ENDSUBENT          318          0                                 A125300299999 
ENDENTRY             2          0                                 A125399999999 
