ENTRY            A0301   19870425                             0000A030100000001 
SUBENT        A0301001   19870425                             0000A030100100001 
BIB                  9         17                                 A030100100002 
INSTITUTE  (4CCPFEI)                                              A030100100003 
REFERENCE  (C,83KIEV,3,283,84)                                    A030100100004 
AUTHOR     (N.S.BIRYUKOV, B.V.ZHURAVLEV, A.P.RUDENKO,             A030100100005 
           O.A.SALNIKOV, V.I.TRYKOVA)                             A030100100006 
TITLE      NEUTRONS FROM (D,N) REACTION ON 115IN.                 A030100100007 
FACILITY   (CYCLO,4CCPFEI)                                        A030100100008 
METHOD     (TOF,BCINT,SITA)                                       A030100100009 
PART-DET   (N)                                                    A030100100010 
ERR-ANALYS (EN-ERR).ANY ADDITIONAL INFORMATION IS ABSENT.         A030100100011 
           (DATA-ERR).TOTAL UNCERTAINTY.                          A030100100012 
HISTORY    (860215C).BY AUTHORS.                                  A030100100013 
           (860517T).BY CAJAD.                                    A030100100014 
           (860620L).                                             A030100100015 
           (860915U)                                              A030100100016 
           (870422A). ACCORDING TO MEMO CP-D/161.                 A030100100017 
           (860915U)                                              A030100100018 
           (870425U)                                              A030100100019 
ENDBIB              17          0                                 A030100100020 
COMMON               2          3                                 A030100100021 
EN         EN-ERR                                                 A030100100022 
MEV        MEV                                                    A030100100023 
    22.3        0.3                                               A030100100024 
ENDCOMMON            3          0                                 A030100100025 
ENDSUBENT           24          0                                 A030100199999 
SUBENT        A0301002   19870425                             0000A030100200001 
BIB                  2          2                                 A030100200002 
REACTION   (49-IN-115(D,X)0-NN-1,,DA/DE,,,EXP)                    A030100200003 
SAMPLE     IN-115(99.98 PERCENT).THICKNESS OF FOIL=4.00E-3G/CM**2 A030100200004 
ENDBIB               2          0                                 A030100200005 
NOCOMMON             0          0                                 A030100200006 
DATA                 4        343                                 A030100200007 
E          ANG        DATA       DATA-ERR                         A030100200008 
MEV        ADEG       MB/SR/MEV  MB/SR/MEV                        A030100200009 
   12.18      30.         6.43       1.54                         A030100200270 
   12.18      60.         1.82       0.44                         A030100200271 
   12.18      90.         0.79       0.19                         A030100200272 
   12.18     120.         0.16       0.05                         A030100200273 
   12.18     150.         0.42       0.11                         A030100200274 
   12.53      30.         6.04       1.52                         A030100200275 
   12.53      60.         1.60       0.41                         A030100200276 
   12.53      90.         0.85       0.22                         A030100200277 
   12.53     120.         0.20       0.05                         A030100200278 
   12.53     150.         0.61       0.17                         A030100200279 
   12.89      30.         5.62       1.42                         A030100200280 
   12.89      60.         1.33       0.34                         A030100200281 
   12.89      90.         0.74       0.19                         A030100200282 
   12.89     120.         0.22       0.07                         A030100200283 
   12.89     150.         0.47       0.13                         A030100200284 
   13.28      30.         5.26       1.33                         A030100200285 
   13.28      60.         1.28       0.33                         A030100200286 
   13.28      90.         0.73       0.19                         A030100200287 
   13.28     120.         0.09       0.02                         A030100200288 
   13.28     150.         0.25       0.07                         A030100200289 
   13.67      30.         4.70       1.19                         A030100200290 
   13.67      60.         1.24       0.32                         A030100200291 
   13.67      90.         0.63       0.16                         A030100200292 
   13.67     120.         0.05       0.10                         A030100200293 
   13.67     150.         0.13       0.04                         A030100200294 
   14.09      30.         4.34       1.10                         A030100200295 
   14.09      60.         1.10       0.28                         A030100200296 
   14.09      90.         0.60       0.16                         A030100200297 
   14.09     120.         0.03       0.01                         A030100200298 
   14.09     150.         0.06       0.02                         A030100200299 
   14.53      30.         4.04       1.02                         A030100200300 
   14.53      60.         0.98       0.25                         A030100200301 
   14.53      90.         0.47       0.12                         A030100200302 
   14.53     120.         0.02       0.01                         A030100200303 
   14.53     150.         0.02       0.01                         A030100200304 
   14.99      30.         3.65       0.92                         A030100200305 
   14.99      60.         1.01       0.26                         A030100200306 
   14.99      90.         0.48       0.12                         A030100200307 
   14.99     120.         0.01       0.01                         A030100200308 
   14.99     150.         0.01       0.01                         A030100200309 
   15.46      30.         3.29       0.83                         A030100200310 
   15.46      60.         0.98       0.25                         A030100200311 
   15.46      90.         0.41       0.11                         A030100200312 
   15.97      30.         2.96       0.75                         A030100200313 
   15.97      60.         0.90       0.23                         A030100200314 
   15.97      90.         0.27       0.07                         A030100200315 
   16.50      30.         2.73       0.69                         A030100200316 
   16.50      60.         0.56       0.14                         A030100200317 
   16.50      90.         0.39       0.10                         A030100200318 
   17.05      30.         2.32       0.59                         A030100200319 
   17.05      60.         0.64       0.17                         A030100200320 
   17.05      90.         0.39       0.10                         A030100200321 
   17.63      30.         2.03       0.51                         A030100200322 
   17.63      60.         0.62       0.16                         A030100200323 
   17.63      90.         0.34       0.09                         A030100200324 
   18.25      30.         1.86       0.47                         A030100200325 
   18.25      60.         0.46       0.12                         A030100200326 
   18.25      90.         0.16       0.05                         A030100200327 
   18.90      30.         1.60       0.40                         A030100200328 
   18.90      60.         0.56       0.14                         A030100200329 
   18.90      90.         0.04       0.01                         A030100200330 
   19.58      30.         1.45       0.37                         A030100200331 
   19.58      60.         0.51       0.13                         A030100200332 
   19.58      90.         0.02       0.01                         A030100200333 
   20.30      30.         1.26       0.32                         A030100200334 
   20.30      60.         0.47       0.12                         A030100200335 
   20.30      90.         0.02       0.01                         A030100200336 
   21.06      30.         1.25       0.32                         A030100200337 
   21.06      60.         0.44       0.11                         A030100200338 
