REACTION   (3-LI-6(D,A)2-HE-4,,POL/DA,,VAP)                       A1536  4    3 
ERR-ANALYS (ANG-ERR-D)  Angle digitizing error                    A1536  4    4 
           (ERR-DIG)    Data digitizing error                     A1536  4    5 
SAMPLE     The target thickness was 270 mu-g/cm2.                 A1536  4    6 
STATUS     (CURVE) Fig.3                                          A1536  4    7 
HISTORY    (20160707C)                                            A1536  4    8 
ENDBIB               6          0                                 A1536  4    9 
COMMON               3          3                                 A1536  4   10 
EN         ANG-ERR-D  ERR-DIG                                     A1536  4   11 
MEV        ADEG       NO-DIM                                      A1536  4   12 
        1.5       0.60     0.0060                                 A1536  4   13 
ENDCOMMON            3          0                                 A1536  4   14 
DATA                 2         11                                 A1536  4   15 
ANG-CM     DATA                                                   A1536  4   16 
ADEG       NO-DIM                                                 A1536  4   17 
      20.41    -0.0936                                            A1536  4   18 
      29.41    -0.1294                                            A1536  4   19 
      37.81    -0.2070                                            A1536  4   20 
      45.01    -0.2727                                            A1536  4   21 
      53.40    -0.3324                                            A1536  4   22 
      61.80    -0.3264                                            A1536  4   23 
      70.20    -0.3085                                            A1536  4   24 
      77.41    -0.2250                                            A1536  4   25 
      81.01    -0.2011                                            A1536  4   26 
      85.21    -0.0817                                            A1536  4   27 
      88.21    -0.0459                                            A1536  4   28 
ENDDATA             13          0                                 A1536  4   29 
ENDSUBENT           28          0                                 A1536  499999 
SUBENT        A1536005   20160707                             A085A1536  5    1 
BIB                  5          6                                 A1536  5    2 
REACTION   (3-LI-6(D,A)2-HE-4,,POL/DA,,VAP)                       A1536  5    3 
ERR-ANALYS (ANG-ERR-D)  Angle digitizing error                    A1536  5    4 
           (ERR-DIG)    Data digitizing error                     A1536  5    5 
SAMPLE     The target thickness was 270 mu-g/cm2.                 A1536  5    6 
STATUS     (CURVE) Fig.3                                          A1536  5    7 
HISTORY    (20160707C)                                            A1536  5    8 
ENDBIB               6          0                                 A1536  5    9 
COMMON               3          3                                 A1536  5   10 
EN         ANG-ERR-D  ERR-DIG                                     A1536  5   11 
MEV        ADEG       NO-DIM                                      A1536  5   12 
        2.0       0.64     0.0048                                 A1536  5   13 
ENDCOMMON            3          0                                 A1536  5   14 
DATA                 2         11                                 A1536  5   15 
ANG-CM     DATA                                                   A1536  5   16 
ADEG       NO-DIM                                                 A1536  5   17 
      19.81    -0.1326                                            A1536  5   18 
      27.80    -0.2293                                            A1536  5   19 
      37.02    -0.3321                                            A1536  5   20 
      45.62    -0.4348                                            A1536  5   21 
      51.16    -0.5194                                            A1536  5   22 
      60.35    -0.5373                                            A1536  5   23 
      68.91    -0.5067                                            A1536  5   24 
      77.44    -0.3792                                            A1536  5   25 
      81.69    -0.2760                                            A1536  5   26 
      84.71    -0.1789                                            A1536  5   27 
      88.95    -0.0455                                            A1536  5   28 
ENDDATA             13          0                                 A1536  5   29 
ENDSUBENT           28          0                                 A1536  599999 
SUBENT        A1536006   20160707                             A085A1536  6    1 
BIB                  5          6                                 A1536  6    2 
REACTION   (3-LI-6(D,A)2-HE-4,,POL/DA,,VAP)                       A1536  6    3 
ERR-ANALYS (ANG-ERR-D)  Angle digitizing error                    A1536  6    4 
           (ERR-DIG)    Data digitizing error                     A1536  6    5 
SAMPLE     The target thickness was 270 mu-g/cm2.                 A1536  6    6 
STATUS     (CURVE) Fig.3                                          A1536  6    7 
HISTORY    (20160707C)                                            A1536  6    8 
ENDBIB               6          0                                 A1536  6    9 
COMMON               3          3                                 A1536  6   10 
