EN         ANG-CM     DATA-CM    DATA-ERR                         A111300200015 
MEV        ADEG       MB/SR      MB/SR                            A111300200016 
     3.006    154.9      256.                                     A111300300059 
     3.006    160.       271.                                     A111300300060 
     3.006    164.4      280.                                     A111300300061 
     4.006     25.1      734.                                     A111300300062 
     4.006     25.58     729.                                     A111300300063 
     4.006     30.89     600.                                     A111300300064 
     4.006     35.07     522.                                     A111300300065 
     4.006     40.07     468.                                     A111300300066 
     4.006     44.98     423.                                     A111300300067 
     4.006     49.03     384.                                     A111300300068 
     4.006     54.7      336.                                     A111300300069 
     4.006     60.       295.                                     A111300300070 
     4.006     70.1      222.                                     A111300300071 
     4.006     80.       166.                                     A111300300072 
     4.006     85.       144.                                     A111300300073 
     4.006     90.       121.                                     A111300300074 
     4.006    100.        93.8                                    A111300300075 
     4.006    106.9       86.                                     A111300300076 
     4.006    109.9       82.6                                    A111300300077 
     4.006    120.6       86.4                                    A111300300078 
     4.006    122.8       85.9                                    A111300300079 
     4.006    130.9       95.1                                    A111300300080 
     4.006    140.8      114.                                     A111300300081 
     4.006    145.       122.                                     A111300300082 
     4.006    149.4      132.                                     A111300300083 
     4.006    154.9      145.                                     A111300300084 
     4.006    160.       151.                                     A111300300085 
     4.006    164.4      157.                                     A111300300086 
     5.011     25.1      613.                                     A111300300087 
     5.011     25.58     581.                                     A111300300088 
     5.011     30.89     512.                                     A111300300089 
     5.011     35.07     454.                                     A111300300090 
     5.011     40.07     413.                                     A111300300091 
     5.011     44.98     370.                                     A111300300092 
     5.011     49.03     341.                                     A111300300093 
     5.011     54.7      298.                                     A111300300094 
     5.011     60.       262.                                     A111300300095 
     5.011     70.1      197.                                     A111300300096 
     5.011     80.       146.                                     A111300300097 
     5.011     81.93     133.                                     A111300300098 
     5.011     90.       104.                                     A111300300099 
     5.011     90.9      102.                                     A111300300100 
     5.011    100.3       76.9                                    A111300300101 
     5.011    106.9       67.7                                    A111300300102 
     5.011    107.2       67.5                                    A111300300103 
     5.011    109.9       65.3                                    A111300300104 
     5.011    115.3       63.2                                    A111300300105 
     5.011    120.6       65.5                                    A111300300106 
     5.011    122.8       66.6                                    A111300300107 
     5.011    130.9       74.9                                    A111300300108 
     5.011    140.8       89.6                                    A111300300109 
     5.011    145.        96.2                                    A111300300110 
     5.011    149.4      105.                                     A111300300111 
     5.011    154.9      113.                                     A111300300112 
     5.011    160.       119.                                     A111300300113 
     5.011    164.4      126.                                     A111300300114 
     6.016     25.1      535.                                     A111300300115 
     6.016     25.58     530.                                     A111300300116 
     6.016     30.89     467.                                     A111300300117 
     6.016     35.07     405.                                     A111300300118 
     6.016     40.07     375.                                     A111300300119 
     6.016     44.98     336.                                     A111300300120 
     6.016     49.03     306.                                     A111300300121 
     6.016     54.7      269.                                     A111300300122 
     6.016     60.       235.                                     A111300300123 
     6.016     64.2      208.                                     A111300300124 
     6.016     70.1      175.                                     A111300300125 
     6.016     80.       126.                                     A111300300126 
     6.016     81.93     118.                                     A111300300127 
     6.016     90.        86.5                                    A111300300128 
     6.016     90.9       84.2                                    A111300300129 
     6.016    100.        62.5                                    A111300300130 
     6.016    100.3       62.5                                    A111300300131 
     6.016    107.2       52.8                                    A111300300132 
     6.016    109.9       51.4                                    A111300300133 
     6.016    115.3       49.8                                    A111300300134 
     6.016    120.6       50.6                                    A111300300135 
     6.016    130.9       61.4                                    A111300300136 
     6.016    140.8       75.3                                    A111300300137 
     6.016    145.        84.                                     A111300300138 
     6.016    149.4       90.                                     A111300300139 
     6.016    154.9       99.                                     A111300300140 
     6.016    160.       107.                                     A111300300141 
     6.016    164.4      113.                                     A111300300142 
     6.977     25.1      484.                                     A111300300143 
     6.977     25.58     486.                                     A111300300144 
     6.977     30.89     425.                                     A111300300145 
     6.977     35.07     383.                                     A111300300146 
     6.977     40.07     347.                                     A111300300147 
     6.977     44.98     315.                                     A111300300148 
     6.977     49.03     291.                                     A111300300149 
     6.977     54.7      250.                                     A111300300150 
     6.977     60.       220.                                     A111300300151 
     6.977     64.2      193.                                     A111300300152 
     6.977     70.1      160.                                     A111300300153 
     6.977     80.       111.                                     A111300300154 
     6.977     81.93     103.                                     A111300300155 
     6.977     90.        75.3                                    A111300300156 
     6.977     90.9       72.5                                    A111300300157 
     6.977    100.        52.6                                    A111300300158 
     6.977    100.3       50.9                                    A111300300159 
     6.977    106.9       41.3                                    A111300300160 
     6.977    107.2       42.4                                    A111300300161 
     6.977    109.9       40.3                                    A111300300162 
     6.977    120.6       42.                                     A111300300163 
     6.977    122.9       43.1                                    A111300300164 
     6.977    130.9       53.1                                    A111300300165 
     6.977    140.8       68.2                                    A111300300166 
     6.977    149.4       81.                                     A111300300167 
     6.977    154.9       91.1                                    A111300300168 
     6.977    160.       100.                                     A111300300169 
     6.977    164.4      106.                                     A111300300170 
     7.967     25.1      443.                                     A111300300171 
     7.967     25.58     443.                                     A111300300172 
     7.967     30.89     398.                                     A111300300173 
     7.967     35.07     354.                                     A111300300174 
     7.967     49.03     266.                                     A111300300175 
     7.967     54.7      234.                                     A111300300176 
     7.967     60.       203.                                     A111300300177 
     7.967     70.1      145.                                     A111300300178 
     7.967     80.        99.9                                    A111300300179 
     7.967     90.        64.7                                    A111300300180 
     7.967     94.07      53.                                     A111300300181 
     7.967    100.        41.3                                    A111300300182 
     7.967    106.9       33.6                                    A111300300183 
     7.967    109.9       31.7                                    A111300300184 
     7.967    120.6       34.5                                    A111300300185 
     7.967    122.8       34.5                                    A111300300186 
     7.967    130.1       44.                                     A111300300187 
     7.967    134.9       48.                                     A111300300188 
     7.967    140.8       60.1                                    A111300300189 
     7.967    145.        66.8                                    A111300300190 
     7.967    149.4       74.8                                    A111300300191 
     7.967    154.9       83.4                                    A111300300192 
     7.967    160.        91.6                                    A111300300193 
     7.967    164.4       97.9                                    A111300300194 
     8.96      25.1      406.                                     A111300300195 
     8.96      25.58     401.                                     A111300300196 
     8.96      30.89     364.                                     A111300300197 
     8.96      35.89     329.                                     A111300300198 
     8.96      49.03     246.                                     A111300300199 
     8.96      54.7      219.                                     A111300300200 
     8.96      60.       188.                                     A111300300201 
     8.96      70.1      136.                                     A111300300202 
     8.96      80.        91.6                                    A111300300203 
     8.96      89.72      56.7                                    A111300300204 
     8.96      90.        54.1                                    A111300300205 
     8.96      94.07      44.5                                    A111300300206 
     8.96     100.        34.6                                    A111300300207 
     8.96     106.9       26.2                                    A111300300208 
     8.96     109.9       25.                                     A111300300209 
     8.96     120.6       27.4                                    A111300300210 
     8.96     122.8       29.                                     A111300300211 
     8.96     130.1       36.8                                    A111300300212 
     8.96     130.9       38.5                                    A111300300213 
     8.96     134.9       41.9                                    A111300300214 
     8.96     140.8       52.7                                    A111300300215 
     8.96     145.        59.4                                    A111300300216 
     8.96     149.4       67.7                                    A111300300217 
     8.96     154.9       76.6                                    A111300300218 
     8.96     160.        85.                                     A111300300219 
     8.96     164.4       92.3                                    A111300300220 
     9.954     25.1      371.                                     A111300300221 
     9.954     30.89     339.                                     A111300300222 
     9.954     35.07     305.                                     A111300300223 
     9.954     49.03     232.                                     A111300300224 
     9.954     54.7      205.                                     A111300300225 
     9.954     60.       176.                                     A111300300226 
     9.954     70.1      124.                                     A111300300227 
     9.954     80.        82.                                     A111300300228 
     9.954     90.        49.2                                    A111300300229 
     9.954     94.07      39.1                                    A111300300230 
     9.954    102.2       26.2                                    A111300300231 
     9.954    106.9       22.                                     A111300300232 
     9.954    109.9       21.                                     A111300300233 
     9.954    120.6       23.                                     A111300300234 
     9.954    122.8       24.5                                    A111300300235 
     9.954    130.1       31.9                                    A111300300236 
     9.954    130.9       33.2                                    A111300300237 
     9.954    134.9       37.8                                    A111300300238 
     9.954    140.8       47.3                                    A111300300239 
     9.954    145.        54.                                     A111300300240 
     9.954    149.4       61.6                                    A111300300241 
     9.954    154.9       70.4                                    A111300300242 
     9.954    160.        78.4                                    A111300300243 
     9.954    164.4       84.9                                    A111300300244 
    11.16      25.1      340.                                     A111300300245 
    11.16      25.58     337.                                     A111300300246 
    11.16      30.89     318.                                     A111300300247 
    11.16      35.07     299.                                     A111300300248 
    11.16      49.03     226.                                     A111300300249 
    11.16      54.7      196.                                     A111300300250 
    11.16      60.       170.                                     A111300300251 
    11.16      70.1      123.                                     A111300300252 
    11.16      80.        73.2                                    A111300300253 
    11.16      89.72      45.                                     A111300300254 
    11.16      90.        43.5                                    A111300300255 
    11.16      94.07      34.6                                    A111300300256 
    11.16     100.        24.9                                    A111300300257 
