      4.786      1240.        1.8                                 O140800400288 
      4.786      1360.       8.57                                 O140800400289 
      4.812       110.       5.79                                 O140800400290 
      4.812       197.      16.83                                 O140800400291 
      4.812      1240.       1.94                                 O140800400292 
      4.812      1360.       8.71                                 O140800400293 
      4.837       110.       6.35                                 O140800400294 
      4.837       197.      15.93                                 O140800400295 
      4.837      1240.       2.44                                 O140800400296 
      4.837      1360.       9.04                                 O140800400297 
      4.863       110.       6.75                                 O140800400298 
      4.863       197.        15.                                 O140800400299 
      4.863      1240.       2.19                                 O140800400300 
      4.863      1360.       8.89                                 O140800400301 
      4.888       110.       7.02                                 O140800400302 
      4.888       197.      14.45                                 O140800400303 
      4.888      1240.       2.33                                 O140800400304 
      4.888      1360.       9.28                                 O140800400305 
      4.913       110.       7.73                                 O140800400306 
      4.913       197.       14.8                                 O140800400307 
      4.913      1240.       2.56                                 O140800400308 
      4.913      1360.       9.72                                 O140800400309 
      4.939       110.       8.71                                 O140800400310 
      4.939       197.      14.72                                 O140800400311 
      4.939      1240.       3.33                                 O140800400312 
      4.939      1360.       10.8                                 O140800400313 
      4.964       110.       9.29                                 O140800400314 
      4.964       197.      13.24                                 O140800400315 
      4.964      1240.       3.59                                 O140800400316 
      4.964      1360.       9.71                                 O140800400317 
       4.99       110.      11.01                                 O140800400318 
       4.99       197.      12.46                                 O140800400319 
       4.99      1240.       4.45                                 O140800400320 
       4.99      1360.       9.14                                 O140800400321 
      5.015       110.      11.26                                 O140800400322 
      5.015       197.      11.29                                 O140800400323 
      5.015      1240.       5.49                                 O140800400324 
      5.015      1360.       8.87                                 O140800400325 
       5.04       110.       8.95                                 O140800400326 
       5.04       197.      11.45                                 O140800400327 
       5.04      1240.       4.15                                 O140800400328 
       5.04      1360.       9.08                                 O140800400329 
      5.066       110.       8.37                                 O140800400330 
      5.066       197.      12.04                                 O140800400331 
      5.066      1240.       3.41                                 O140800400332 
      5.066      1360.       10.1                                 O140800400333 
      5.091       110.       8.13                                 O140800400334 
      5.091       197.      12.58                                 O140800400335 
      5.091      1240.       3.05                                 O140800400336 
      5.091      1360.       9.99                                 O140800400337 
      5.116       110.       7.55                                 O140800400338 
      5.116       197.      13.22                                 O140800400339 
      5.116      1240.        2.9                                 O140800400340 
      5.116      1360.         9.                                 O140800400341 
      5.142       110.        7.5                                 O140800400342 
      5.142       197.      13.14                                 O140800400343 
      5.142      1240.       2.93                                 O140800400344 
      5.142      1360.       8.04                                 O140800400345 
      5.167       110.       6.35                                 O140800400346 
      5.167       197.      11.54                                 O140800400347 
      5.167      1240.       2.23                                 O140800400348 
      5.167      1360.       7.86                                 O140800400349 
      5.193       110.       6.15                                 O140800400350 
      5.193       197.      11.78                                 O140800400351 
      5.193      1240.       1.78                                 O140800400352 
      5.193      1360.       8.32                                 O140800400353 
      5.218       110.       6.05                                 O140800400354 
      5.218       197.      12.16                                 O140800400355 
      5.218      1240.       1.82                                 O140800400356 
      5.218      1360.       9.03                                 O140800400357 
      5.243       110.       6.05                                 O140800400358 
      5.243       197.      12.41                                 O140800400359 
      5.243      1240.       1.75                                 O140800400360 
      5.243      1360.       8.88                                 O140800400361 
      5.269       110.       6.26                                 O140800400362 
